lanes,shards,tickers,seconds,order_every,zipf,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us,started_at
1,1,2700,5,0,1.0,0,5.0,46194944,9238808,7866621,14.9,0,0,0,4096,0,0,6861069,0,0,0,0,0.0,0.0,0.0,11:24:42
1,2,2700,5,0,1.0,0,5.0,41561856,8311994,8214590,1.2,0,0,0,4096,0,0,487041,0,0,0,0,0.0,0.0,0.0,11:24:49
1,4,2700,5,0,1.0,0,5.0,38840576,7767938,7712569,0.7,0,0,0,4096,0,0,276851,0,0,0,0,0.0,0.0,0.0,11:24:56
1,8,2700,5,0,1.0,0,5.0,39619072,7923330,7385610,6.8,0,0,0,4096,0,0,2688765,0,0,0,0,0.0,0.0,0.0,11:25:03
2,1,2700,5,0,1.0,0,5.0,81290496,16252988,11968340,26.4,0,0,0,4096,0,0,21429977,0,0,0,0,0.0,0.0,0.0,11:25:10
2,2,2700,5,0,1.0,0,5.0,80756480,16150928,15965196,1.1,0,0,0,4096,0,0,928679,0,0,0,0,0.0,0.0,0.0,11:25:17
2,4,2700,5,0,1.0,0,5.0,76705792,15340734,15309933,0.2,0,0,0,4096,0,0,154008,0,0,0,0,0.0,0.0,0.0,11:25:24
2,8,2700,5,0,1.0,0,5.0,66993664,13398397,12887950,3.8,0,0,0,4096,0,0,2552296,0,0,0,0,0.0,0.0,0.0,11:25:31
4,1,2700,5,0,1.0,0,5.0,65780992,13155740,13147459,0.1,0,0,0,4096,0,0,41405,0,0,0,0,0.0,0.0,0.0,11:25:38
4,2,2700,5,0,1.0,0,5.0,69972992,13980312,8954693,35.9,0,0,0,4096,0,0,25153772,0,0,0,0,0.0,0.0,0.0,11:25:45
4,4,2700,5,0,1.0,0,5.0,73292288,14657960,14145061,3.5,0,0,0,4096,0,0,2564584,0,0,0,0,0.0,0.0,0.0,11:25:52
4,8,2700,5,0,1.0,0,5.0,74279936,14855328,13533133,8.9,0,0,0,4096,0,0,6611270,0,0,0,0,0.0,0.0,0.0,11:25:59
8,1,2700,5,0,1.0,0,5.0,51011328,10201540,9717657,4.7,0,0,0,4096,0,0,2419589,0,0,0,0,0.0,0.0,0.0,11:26:06
8,2,2700,5,0,1.0,0,5.0,50691072,10137778,9924576,2.1,0,0,0,4096,0,0,1066056,0,0,0,0,0.0,0.0,0.0,11:26:13
8,4,2700,5,0,1.0,0,5.0,51029248,10205341,9938194,2.6,0,0,0,4096,0,0,1335799,0,0,0,0,0.0,0.0,0.0,11:26:20
8,8,2700,5,0,1.0,0,5.0,55212032,11041916,9648505,12.6,0,0,0,4096,0,0,6967365,0,0,0,0,0.0,0.0,0.0,11:26:27
1,1,2700,5,1,1.0,1000000,5.0,4997120,997354,606393,39.2,2551452,892,178,4096,1024,3,1958858,486810,2549820,0,893,3844240.0,6953936.0,7006382.0,11:26:34
1,2,2700,5,1,1.0,1000000,5.0,4993536,997818,979902,1.8,2719056,1015,202,4096,1024,3,89664,2184816,2717387,0,1016,4072386.0,6941774.0,6997661.0,11:26:41
1,4,2700,5,1,1.0,1000000,5.0,4999680,997256,993630,0.4,2243236,936,186,4096,1024,3,18181,2738263,2241609,0,937,3916183.0,6964053.0,7025527.0,11:26:48
1,8,2700,5,1,1.0,1000000,5.0,4987904,995884,994230,0.2,3306657,670,133,4096,1024,3,8284,1672963,3305264,0,671,4621712.0,6983836.0,7019326.0,11:26:55
2,1,2700,5,1,1.0,1000000,5.0,4992256,997071,765844,23.2,2909104,1005,200,4096,1024,4,1157735,925417,2907469,0,1006,4056621.0,6955568.0,7014419.0,11:27:02
2,2,2700,5,1,1.0,1000000,5.0,4998912,997146,820553,17.7,2262828,1038,207,4096,1024,3,885297,1850787,2261167,0,1039,4115371.0,6912791.0,6955651.0,11:27:09
2,4,2700,5,1,1.0,1000000,5.0,4988672,997236,991994,0.5,2323793,1080,215,4096,1024,4,26226,2638653,2322106,0,1081,4073403.0,6685280.0,6728043.0,11:27:17
2,8,2700,5,1,1.0,1000000,5.0,4986368,997051,997051,0.0,2338926,1032,206,2743,1024,4,0,2647442,2337238,0,1033,3935918.0,6912741.0,6956815.0,11:27:24
4,1,2700,5,1,1.0,1000000,5.0,4999424,997203,996233,0.1,3521023,1007,200,4096,1024,4,4864,1473537,3519366,0,1008,3951711.0,6967818.0,7021161.0,11:27:31
4,2,2700,5,1,1.0,1000000,5.0,5000192,997243,996892,0.0,2810110,906,180,4096,1024,4,1760,2188322,2808457,0,907,3695157.0,6976432.0,7032124.0,11:27:38
4,4,2700,5,1,1.0,1000000,5.0,4993280,996908,995937,0.1,2100661,898,179,4096,1024,3,4863,2887756,2099092,0,899,4187453.0,6967416.0,7011535.0,11:27:45
4,8,2700,5,1,1.0,1000000,5.0,4988928,997193,996964,0.0,2230178,980,195,4096,1024,4,1146,2757604,2228532,0,981,3851055.0,6967891.0,7013357.0,11:27:52
8,1,2700,5,1,1.0,1000000,5.0,4990976,997233,997233,0.0,3531497,969,193,2181,1024,4,0,1459479,3529841,0,970,3866595.0,6976747.0,7021954.0,11:27:59
8,2,2700,5,1,1.0,1000000,5.0,4997120,997317,997317,0.0,2574131,935,186,2304,1024,4,0,2422989,2572520,0,936,3857547.0,6969257.0,7016824.0,11:28:06
8,4,2700,5,1,1.0,1000000,5.0,4999680,997111,997111,0.0,2204546,972,193,2304,1024,4,0,2795134,2202880,0,973,3781030.0,6940979.0,7034498.0,11:28:13
8,8,2700,5,1,1.0,1000000,5.0,4988928,997073,997073,0.0,2113273,971,194,2304,1024,5,0,2875655,2111640,0,972,4019130.0,6928532.0,7031336.0,11:28:20
4,4,2700,5,1,1.0,100,10.3,1024,99,99,0.0,1024,1024,99,256,1019,0,0,0,0,0,1024,3993446.0,7311211.0,7396068.0,11:28:27
4,4,2700,5,1,1.0,200,5.1,1024,199,199,0.0,1024,1024,199,146,1023,0,0,0,0,0,1024,3460487.0,6910095.0,6966367.0,11:28:40
4,4,2700,5,1,1.0,400,5.1,2048,399,399,0.0,2048,1051,204,196,1024,292,0,0,596,0,1052,3376280.0,6752817.0,6824083.0,11:28:47
4,4,2700,5,1,1.0,100000,5.0,500736,99855,99855,0.0,500736,776,154,1014,1024,6,0,0,499240,0,777,4145464.0,6966270.0,7008294.0,11:28:54
4,4,2700,5,1,1.0,200000,5.0,997376,199438,199438,0.0,997376,808,161,1024,1024,6,0,0,995772,0,809,3153937.0,6892058.0,7028108.0,11:29:01
4,4,2700,5,1,1.0,400000,5.0,1999104,398850,398850,0.0,1863788,729,145,3328,1024,4,0,135316,1862294,0,730,4112041.0,6978362.0,7030969.0,11:29:08
4,4,2700,5,1,1.0,800000,5.0,3997440,796357,796220,0.0,2397917,742,147,4096,1024,3,685,1598838,2396404,0,743,3634678.0,6979846.0,7026057.0,11:29:15
