lanes,shards,order_every,rate,accepted_per_sec,drop_pct,orders_per_sec,cpu_samples,cpu_avg_cores,cpu_max_cores,threads_max,started_at
1,1,0,0,7866621,14.9,0,2,1.67,1.73,15,11:24:42
1,2,0,0,8214590,1.2,0,3,2.20,2.78,16,11:24:49
1,4,0,0,7712569,0.7,0,3,3.46,4.26,18,11:24:56
1,8,0,0,7385610,6.8,0,2,5.96,7.90,22,11:25:03
2,1,0,0,11968340,26.4,0,2,2.89,2.92,16,11:25:10
2,2,0,0,15965196,1.1,0,2,3.88,3.91,17,11:25:17
2,4,0,0,15309933,0.2,0,3,4.36,5.81,19,11:25:24
2,8,0,0,12887950,3.8,0,2,7.44,7.50,23,11:25:31
4,1,0,0,13147459,0.1,0,3,3.88,4.79,18,11:25:38
4,2,0,0,8954693,35.9,0,3,3.21,4.74,16,11:25:45
4,4,0,0,14145061,3.5,0,3,5.73,7.42,18,11:25:52
4,8,0,0,13533133,8.9,0,2,7.49,7.78,22,11:25:59
8,1,0,0,9717657,4.7,0,3,6.61,8.16,19,11:26:06
8,2,0,0,9924576,2.1,0,3,7.32,9.07,20,11:26:13
8,4,0,0,9938194,2.6,0,2,9.75,10.47,22,11:26:20
8,8,0,0,9648505,12.6,0,3,7.36,9.05,26,11:26:27
1,1,1,1000000,606393,39.2,178,1,1.98,1.98,15,11:26:34
1,2,1,1000000,979902,1.8,202,2,2.19,2.30,16,11:26:41
1,4,1,1000000,993630,0.4,186,3,1.78,1.95,18,11:26:48
1,8,1,1000000,994230,0.2,133,3,1.53,1.95,22,11:26:55
2,1,1,1000000,765844,23.2,200,3,1.82,2.20,16,11:27:02
2,2,1,1000000,820553,17.7,207,3,1.80,2.11,17,11:27:09
2,4,1,1000000,991994,0.5,215,3,1.83,2.02,19,11:27:17
2,8,1,1000000,997051,0.0,206,2,2.08,2.14,23,11:27:24
4,1,1,1000000,996233,0.1,200,3,1.96,2.41,18,11:27:31
4,2,1,1000000,996892,0.0,180,3,2.01,2.22,16,11:27:38
4,4,1,1000000,995937,0.1,179,3,1.64,1.92,18,11:27:45
4,8,1,1000000,996964,0.0,195,2,2.16,2.47,22,11:27:52
8,1,1,1000000,997233,0.0,193,3,1.90,2.45,19,11:27:59
8,2,1,1000000,997317,0.0,186,3,1.86,2.16,20,11:28:06
8,4,1,1000000,997111,0.0,193,3,2.40,3.21,22,11:28:13
8,8,1,1000000,997073,0.0,194,3,1.85,2.28,26,11:28:20
4,4,1,100,99,0.0,99,1,0.93,0.93,21,11:28:27
4,4,1,200,199,0.0,199,3,0.87,0.94,21,11:28:40
4,4,1,400,399,0.0,204,3,1.19,1.50,21,11:28:47
4,4,1,100000,99855,0.0,154,2,1.47,1.59,21,11:28:54
4,4,1,200000,199438,0.0,161,3,1.61,1.74,21,11:29:01
4,4,1,400000,398850,0.0,145,3,1.55,1.92,21,11:29:08
4,4,1,800000,796220,0.0,147,3,1.88,1.95,21,11:29:15
