at,cpu_percent,memory_mb,threads
11:24:44,172.9,22,14
11:24:46,161.7,29,15
11:24:49,25.8,29,14
11:24:51,278.1,31,16
11:24:53,271.0,31,16
11:24:55,110.2,31,15
11:24:57,273.4,34,18
11:24:59,425.6,34,18
11:25:01,339.8,34,17
11:25:03,187.5,41,22
11:25:05,789.6,41,22
11:25:08,402.3,41,22
11:25:10,36.7,41,21
11:25:12,285.1,31,16
11:25:15,292.1,31,14
11:25:17,63.3,34,17
11:25:19,385.1,34,17
11:25:22,391.4,33,15
11:25:24,57.0,39,19
11:25:26,581.2,39,19
11:25:28,578.8,39,19
11:25:30,147.6,39,17
11:25:33,738.3,50,23
11:25:36,749.9,50,23
11:25:38,117.9,50,21
11:25:40,439.8,33,18
11:25:42,478.8,34,15
11:25:44,246.8,33,11
11:25:46,297.6,39,16
11:25:49,474.0,39,16
11:25:51,190.6,39,12
11:25:53,359.3,49,18
11:25:55,742.1,49,18
11:25:57,618.6,49,14
11:25:59,145.3,68,22
11:26:01,777.9,69,22
11:26:04,720.7,69,22
11:26:06,131.2,69,18
11:26:08,719.4,39,19
11:26:10,816.1,39,19
11:26:12,448.4,39,11
11:26:14,439.7,49,20
11:26:16,906.9,49,20
11:26:18,850.6,49,12
11:26:20,141.4,67,22
11:26:22,902.9,67,22
11:26:24,1047.4,67,22
11:26:27,251.5,67,14
11:26:29,715.9,104,26
11:26:31,905.3,104,26
11:26:33,585.8,103,18
11:26:39,197.6,31,15
11:26:41,96.9,31,14
11:26:43,209.3,33,16
11:26:45,229.6,33,16
11:26:48,193.7,32,15
11:26:50,158.6,36,18
11:26:52,195.3,37,18
11:26:54,179.7,37,17
11:26:57,126.5,42,22
11:26:59,195.3,42,22
11:27:01,135.9,42,21
11:27:03,132.8,33,16
11:27:06,220.3,34,16
11:27:08,193.7,33,14
11:27:10,123.3,36,17
11:27:12,205.3,36,17
11:27:14,210.9,36,17
11:27:16,106.2,35,15
11:27:18,201.5,42,19
11:27:20,196.6,42,19
11:27:22,151.5,42,17
11:27:24,175.6,52,23
11:27:27,214.0,52,23
11:27:29,202.3,52,21
11:27:31,96.9,36,18
11:27:33,207.8,37,18
11:27:35,241.4,37,15
11:27:37,139.0,36,11
11:27:39,221.8,41,16
11:27:41,207.0,42,16
11:27:44,174.2,41,12
11:27:46,107.0,52,18
11:27:48,192.1,51,18
11:27:50,191.4,51,14
11:27:52,129.7,71,22
11:27:54,185.9,71,22
11:27:57,246.9,72,18
11:27:59,100.0,39,19
11:28:01,176.5,42,19
11:28:03,245.3,42,19
11:28:05,148.4,42,11
11:28:07,175.0,51,20
11:28:10,216.4,51,20
11:28:12,167.9,51,12
11:28:14,143.7,70,22
11:28:16,255.4,70,22
11:28:18,321.0,70,22
11:28:20,93.7,71,4
11:28:22,228.1,108,26
11:28:24,189.8,108,26
11:28:26,136.7,108,18
11:28:32,92.9,50,21
11:28:35,87.5,51,21
11:28:37,2.3,51,21
11:28:39,2.3,50,17
11:28:41,78.1,50,21
11:28:44,89.0,51,21
11:28:46,93.7,52,17
11:28:48,93.7,51,21
11:28:50,112.5,52,21
11:28:52,149.9,52,17
11:28:54,91.4,52,21
11:28:56,135.1,52,21
11:28:58,158.6,52,21
11:29:01,119.5,52,17
11:29:03,166.4,52,21
11:29:05,174.2,52,21
11:29:07,143.7,52,17
11:29:09,114.8,53,21
11:29:11,192.1,53,21
11:29:14,159.3,53,17
11:29:16,194.5,53,21
11:29:18,190.6,53,21
11:29:20,179.7,54,17
13:41:33,3.9,40,22
13:41:35,3.9,47,23
13:41:37,6.2,48,23
13:41:39,2.3,48,23
13:41:41,0.8,48,23
13:41:43,0.8,48,23
13:41:46,0.8,48,23
13:41:48,7.8,48,23
13:41:50,3.9,48,23
13:41:52,3.9,48,19
13:41:58,0.0,48,23
13:42:00,3.1,48,23
13:42:02,2.3,48,23
13:42:04,0.8,48,23
13:42:06,3.1,48,23
13:42:08,1.6,48,23
13:42:10,0.8,48,23
13:42:13,3.9,48,23
13:42:15,0.0,48,19
13:42:19,7.8,47,23
13:42:21,7.8,48,23
13:42:23,6.2,48,23
13:42:25,5.5,48,23
13:42:27,0.0,48,23
13:42:30,7.0,48,23
13:42:32,7.0,48,23
13:42:34,3.1,48,23
13:42:36,0.0,48,19
13:42:42,0.0,48,23
13:42:44,6.2,48,23
13:42:46,21.1,48,23
13:42:49,48.4,48,23
13:42:51,48.4,48,23
13:42:53,7.8,48,23
13:42:55,0.0,48,23
13:42:57,24.2,48,23
