lanes,shards,tickers,seconds,order_every,zipf,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us
1,1,2700,5,0,1.0,0,5.0,52510976,10502022,10501439,0.0,0,0,0,4096,0,0,2915,0,0,0,0,0.0,0.0,0.0
1,2,2700,5,0,1.0,0,5.0,46203648,9240543,9237000,0.0,0,0,0,4096,0,0,17716,0,0,0,0,0.0,0.0,0.0
1,4,2700,5,0,1.0,0,5.0,41810688,8361532,8349134,0.1,0,0,0,4096,0,0,61993,0,0,0,0,0.0,0.0,0.0
1,8,2700,5,0,1.0,0,5.0,37953024,7590431,7506965,1.1,0,0,0,4096,0,0,417339,0,0,0,0,0.0,0.0,0.0
2,1,2700,5,0,1.0,0,5.0,87578368,17515356,11956765,31.7,0,0,0,4096,0,0,27793456,0,0,0,0,0.0,0.0,0.0
2,2,2700,5,0,1.0,0,5.0,82900992,16579560,16093313,2.9,0,0,0,4096,0,0,2431326,0,0,0,0,0.0,0.0,0.0
2,4,2700,5,0,1.0,0,5.0,72693760,14538296,14514985,0.2,0,0,0,4096,0,0,116561,0,0,0,0,0.0,0.0,0.0
2,8,2700,5,0,1.0,0,5.0,69334272,13866450,13840112,0.2,0,0,0,4096,0,0,131692,0,0,0,0,0.0,0.0,0.0
4,1,2700,5,0,1.0,0,5.0,95072256,19013572,13464873,29.2,0,0,0,4096,0,0,27744777,0,0,0,0,0.0,0.0,0.0
4,2,2700,5,0,1.0,0,5.0,99214848,19842342,19705445,0.7,0,0,0,4096,0,0,684505,0,0,0,0,0.0,0.0,0.0
4,4,2700,5,0,1.0,0,5.0,113166080,22632594,22161731,2.1,0,0,0,4096,0,0,2354375,0,0,0,0,0.0,0.0,0.0
4,8,2700,5,0,1.0,0,5.0,111963136,22386256,21164969,5.5,0,0,0,4096,0,0,6108169,0,0,0,0,0.0,0.0,0.0
8,1,2700,5,0,1.0,0,5.0,65728256,13145168,12705158,3.3,0,0,0,4096,0,0,2200134,0,0,0,0,0.0,0.0,0.0
8,2,2700,5,0,1.0,0,5.0,65666816,13132879,12711137,3.2,0,0,0,4096,0,0,2108784,0,0,0,0,0.0,0.0,0.0
8,4,2700,5,0,1.0,0,5.0,67923712,13584270,13346548,1.7,0,0,0,4096,0,0,1188651,0,0,0,0,0.0,0.0,0.0
8,8,2700,5,0,1.0,0,5.0,82254848,16449050,11562856,29.7,0,0,0,4096,0,0,24433820,0,0,0,0,0.0,0.0,0.0
lanes,shards,tickers,seconds,order_every,zipf,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us
4,4,2700,5,1,1.0,100000,5.0,499456,99582,99582,0.0,499456,1328,264,512,1024,11,0,0,497590,0,1329,3938608.0,5723518.0,5744252.0
4,4,2700,5,1,1.0,200000,5.0,997376,199420,199420,0.0,997376,1180,235,1280,1024,6,0,0,995612,0,1181,4105328.0,6208822.0,6240604.0
4,4,2700,5,1,1.0,400000,5.0,1998592,398903,398903,0.0,1826234,1144,228,3072,1024,7,0,172358,1824495,0,1145,4063091.0,6286917.0,6323507.0
4,4,2700,5,1,1.0,800000,5.0,3993088,797546,797444,0.0,2076107,1186,236,4096,1024,4,511,1916470,2074333,0,1187,4005890.0,6256574.0,6293279.0
lanes,shards,tickers,seconds,order_every,zipf,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us
4,4,2700,10,1,1.0,100,10.2,1024,99,99,0.0,1024,1024,99,179,1023,0,0,0,0,0,1024,2352660.0,4736916.0,4782339.0
4,4,2700,10,1,1.0,200,10.2,2048,199,199,0.0,2048,2048,199,255,1023,715,0,0,0,0,2048,2997685.0,5976425.0,6056666.0
4,4,2700,10,1,1.0,400,10.2,4096,399,399,0.0,4096,1918,187,256,1024,422,0,0,1917,0,1919,4845478.0,8024230.0,8121911.0
1,1,2700,5,1,1.0,1000000,5.0,4990976,997601,664961,33.3,2816091,1092,218,4096,1024,3,1664189,510696,2814373,0,1093,3933137.0,6634893.0,6672594.0
1,2,2700,5,1,1.0,1000000,5.0,4986112,997052,954858,4.2,2622936,937,187,4096,1024,8,211007,2152169,2621336,0,938,3827365.0,6959971.0,6999409.0
1,4,2700,5,1,1.0,1000000,5.0,4987392,997383,996067,0.1,2222177,896,179,4096,1024,3,6580,2758635,2220569,0,897,3749305.0,6952496.0,6999321.0
1,8,2700,5,1,1.0,1000000,5.0,4987136,997270,997270,0.0,2780231,926,185,3481,1024,3,0,2206905,2778621,0,927,4071518.0,6944255.0,7017192.0
2,1,2700,5,1,1.0,1000000,5.0,4987136,997169,791527,20.6,2943370,924,184,4096,1024,3,1028476,1015290,2941773,0,925,4035321.0,6950825.0,7004554.0
2,2,2700,5,1,1.0,1000000,5.0,4990208,997088,850207,14.7,2387426,900,179,4096,1024,4,735110,1867672,2385829,0,901,4007093.0,6930854.0,7000094.0
2,4,2700,5,1,1.0,1000000,5.0,4970752,989575,895921,9.5,2748184,711,141,4096,1024,4,470435,1752133,2746687,0,712,3743893.0,6980871.0,7036494.0
2,8,2700,5,1,1.0,1000000,5.1,4934400,963340,871110,9.6,2726250,533,104,4096,1024,2,472421,1735729,2724913,0,534,4325198.0,7057493.0,7119787.0
4,1,2700,5,1,1.0,1000000,5.0,4992256,998149,983175,1.5,3339885,568,113,4096,1024,24,74893,1577478,3338552,0,569,4706439.0,6960663.0,6996309.0
4,2,2700,5,1,1.0,1000000,5.0,4994048,996969,994568,0.2,2876615,898,179,4096,1024,5,12028,2105405,2875082,0,899,4470586.0,6982135.0,7019744.0
4,4,2700,5,1,1.0,1000000,5.0,4988928,997211,997154,0.0,1885329,1070,213,4096,1024,4,288,3103311,1883623,0,1071,3985071.0,6734582.0,6776903.0
4,8,2700,5,1,1.0,1000000,5.0,4989184,997089,997089,0.0,2071671,968,193,2363,1024,5,0,2917513,2069999,0,969,3749618.0,6958837.0,7010951.0
8,1,2700,5,1,1.0,1000000,5.0,4988928,997347,997333,0.0,3329175,908,181,4096,1024,4,70,1659683,3327576,0,909,3824180.0,6959597.0,7010070.0
8,2,2700,5,1,1.0,1000000,5.0,4993024,997126,997126,0.0,2536266,897,179,3072,1024,4,0,2456758,2534682,0,898,3942659.0,6970859.0,7019403.0
8,4,2700,5,1,1.0,1000000,5.0,4993280,998598,998598,0.0,2115360,856,171,2304,1024,5,0,2877920,2113762,0,857,3868988.0,6954715.0,7015732.0
8,8,2700,5,1,1.0,1000000,5.0,4993280,997010,997010,0.0,2233093,833,166,2304,1024,4,0,2760187,2231529,0,834,3871194.0,6968610.0,7017151.0
