tasks,threads,period_ms,work_us,work_kind,seconds,elapsed_sec,runs,runs_per_sec,interval_p50_ms,interval_p99_ms,interval_max_ms,late_pct,tag
2700,1,1000,200,spin,12,12.0,21525,1793,1548.8,1567.5,1567.6,100.0,period_delay
2700,2,1000,200,spin,12,12.0,24688,2055,1291.4,1361.6,1362.7,0.0,period_delay
2700,4,1000,200,spin,12,12.0,27255,2269,1143.9,1161.7,1162.7,0.0,period_delay
2700,8,1000,200,spin,12,12.0,29923,2492,1076.1,1172.7,1192.2,0.0,period_delay
2700,16,1000,200,spin,12,12.0,29797,2480,1047.4,1097.9,1113.5,0.0,period_delay
2700,16,1000,50000,wait,15,15.1,3512,233,6617.7,11515.7,11516.7,98.6,period_delay
2700,32,1000,50000,wait,15,15.1,6209,412,6212.1,6281.5,6283.4,99.7,period_delay
2700,64,1000,50000,wait,15,15.1,10970,728,3628.9,3838.8,3902.5,99.9,period_delay
2700,128,1000,50000,wait,15,15.1,16634,1104,2309.6,2376.5,2379.9,99.8,period_delay
2700,256,1000,50000,wait,15,15.0,23880,1589,1684.3,1698.2,1700.3,100.0,period_delay
2700,512,1000,50000,wait,15,15.1,29386,1950,1324.0,1389.7,1390.8,0.0,period_delay
2700,1024,1000,50000,wait,15,15.0,33145,2207,1195.7,1202.6,1205.8,0.0,period_delay
41,8,3000,100000,wait,15,15.1,203,13,3550.6,3668.0,3669.9,0.0,period_delay
41,32,3000,100000,wait,15,15.0,172,11,3123.0,3226.0,3226.0,0.0,period_delay
2700,1,1000,200,spin,12,12.0,32400,2700,1008.2,1013.3,1013.3,0.0,period_rate
2700,2,1000,200,spin,12,12.0,31352,2612,1011.4,1015.8,1015.9,0.0,period_rate
2700,4,1000,200,spin,12,12.0,30398,2531,1010.8,1016.4,1017.9,0.0,period_rate
2700,8,1000,200,spin,12,12.0,29942,2495,1010.7,1014.0,1014.5,0.0,period_rate
2700,16,1000,200,spin,12,12.0,29837,2484,1006.4,1023.7,1033.1,0.0,period_rate
2700,16,1000,50000,wait,15,15.1,3872,257,10525.7,10529.9,10531.1,100.0,period_rate
2700,64,1000,50000,wait,15,15.0,14467,961,2613.8,2682.3,2685.1,100.0,period_rate
2700,128,1000,50000,wait,15,15.1,28909,1919,1307.0,1373.5,1380.8,0.0,period_rate
2700,256,1000,50000,wait,15,15.0,37801,2518,1009.7,1014.9,1016.4,0.0,period_rate
2700,512,1000,50000,wait,15,15.0,37801,2517,1007.2,1015.7,1016.6,0.0,period_rate
41,8,3000,100000,wait,15,15.0,205,14,3014.4,3018.3,3018.4,0.0,period_rate
41,32,3000,100000,wait,15,15.0,167,11,3006.2,3015.3,3015.3,0.0,period_rate
2700,8,1000,50000,wait,15,15.1,1944,129,0.0,0.0,0.0,0.0,0.1,4.1,17263.4,8.0,victim
2700,32,1000,50000,wait,15,15.1,7347,488,5211.1,5284.3,5285.5,99.7,0.1,310.0,11934.7,0.2,victim
2700,128,1000,50000,wait,15,15.1,29394,1950,1295.1,1363.7,1381.0,0.0,0.1,766.0,9824.9,0.2,victim
2700,256,1000,50000,wait,15,15.0,40225,2679,1009.0,1048.5,1073.5,0.0,0.1,1039.1,13318.9,2.3,victim
2700,512,1000,50000,wait,15,15.0,38478,2563,1009.1,1017.4,1019.5,0.0,0.1,120.0,8396.5,1.3,victim
2700,1024,1000,50000,wait,15,15.0,37803,2515,1009.3,1016.5,1021.5,0.0,0.1,11.2,18558.0,0.2,victim
2700,2700,1000,50000,wait,15,15.1,37882,2514,1008.3,1016.5,1018.9,0.0,0.1,15.5,18335.4,0.2,victim
2700,32,1000,50000,wait,15,15.1,7544,501,5227.8,5299.8,5302.8,98.8,0.1,4.1,2738.5,9.6,victim_mem
2700,256,1000,50000,wait,15,15.0,37913,2525,1011.9,1030.8,1034.2,0.0,0.1,45.6,20236.6,6.7,victim_mem
2700,1024,1000,50000,wait,15,15.0,37803,2516,1010.0,1019.1,1023.2,0.0,0.1,461.6,9016.9,24.8,victim_mem
2700,2700,1000,50000,wait,15,15.1,38362,2545,1008.7,1019.5,1032.9,0.0,0.1,202.3,18482.1,63.8,victim_mem
