round,orders_per_symbol,recorder,popped_rows,accepted_rows,stage,p50_us,p90_us,p99_us,max_us
J,30000,off,35754,26318,tick_to_signal_us,71,1247,3723,19320
J,30000,off,35754,26318,signal_to_pop_us,820490,1300376,1801683,1951472
J,30000,off,35754,26318,pop_to_done_us,1008,2969,4622,188393
J,30000,off,35754,26318,total_us,822008,1303353,1803328,1957994
J,30000,off,35754,26318,gate_us,10,47,128,2241
J,30000,off,35754,26318,history_guard_us,40,861,2036,187017
J,30000,off,35754,26318,history_lock_wait_us,0,794,1949,187008
J,30000,off,35754,26318,journal_us,1,1,94,1586
J,30000,off,35754,26318,bucket_wait_us,0,0,0,0
J,30000,off,35754,26318,transport_us,2,10,20,2489
J,30000,off,35754,26318,record_us,927,1930,3055,22538
J,30000,off,35754,26318,accept_us,6,133,1043,9242
J,30000,off,35754,26318,publish_us,8,9,27,2070
J,30000,off,35754,26318,history_store_us,892,1722,2662,22525
J,30000,off,35754,26318,open_orders_us,0,0,3,2318
J,30000,on,23889,13490,tick_to_signal_us,500,6166,19376,31036
J,30000,on,23889,13490,signal_to_pop_us,998451,1599446,4297809,4528911
J,30000,on,23889,13490,pop_to_done_us,1690,4886,9830,425826
J,30000,on,23889,13490,total_us,1005443,1603339,4309137,4535911
J,30000,on,23889,13490,gate_us,9,23,107,3083
J,30000,on,23889,13490,history_guard_us,25,1486,3582,423456
J,30000,on,23889,13490,history_lock_wait_us,0,1451,3533,423450
J,30000,on,23889,13490,journal_us,1,1,108,807
J,30000,on,23889,13490,bucket_wait_us,0,0,0,0
J,30000,on,23889,13490,transport_us,1,9,22,2256
J,30000,on,23889,13490,record_us,1636,3320,6720,38569
J,30000,on,23889,13490,accept_us,7,156,1934,35389
J,30000,on,23889,13490,publish_us,8,9,29,1531
J,30000,on,23889,13490,history_store_us,1567,2941,5403,36148
J,30000,on,23889,13490,open_orders_us,0,1,3,12780
K,50000,off,31204,22054,tick_to_signal_us,78,1727,7274,22335
K,50000,off,31204,22054,signal_to_pop_us,851475,1419583,1979711,2169310
K,50000,off,31204,22054,pop_to_done_us,1079,3304,5939,294163
K,50000,off,31204,22054,total_us,853372,1422148,1983207,2170347
K,50000,off,31204,22054,gate_us,9,35,98,4638
K,50000,off,31204,22054,history_guard_us,27,954,2446,292472
K,50000,off,31204,22054,history_lock_wait_us,0,894,2320,292461
K,50000,off,31204,22054,journal_us,1,1,72,1723
K,50000,off,31204,22054,bucket_wait_us,0,0,0,0
K,50000,off,31204,22054,transport_us,2,9,18,939
K,50000,off,31204,22054,record_us,1026,2142,4074,20474
K,50000,off,31204,22054,accept_us,5,123,1180,11997
K,50000,off,31204,22054,publish_us,8,9,26,8798
K,50000,off,31204,22054,history_store_us,990,1920,3087,20463
K,50000,off,31204,22054,open_orders_us,0,4,14,5166
K,50000,on,22874,12736,tick_to_signal_us,135,4132,12636,30902
K,50000,on,22874,12736,signal_to_pop_us,1034233,1628485,4368556,4623430
K,50000,on,22874,12736,pop_to_done_us,1711,4913,9640,327843
K,50000,on,22874,12736,total_us,1041212,1631431,4371246,4627692
K,50000,on,22874,12736,gate_us,9,24,114,5510
K,50000,on,22874,12736,history_guard_us,27,1498,3687,326809
K,50000,on,22874,12736,history_lock_wait_us,0,1465,3630,326809
K,50000,on,22874,12736,journal_us,1,1,114,2008
K,50000,on,22874,12736,bucket_wait_us,0,0,0,0
K,50000,on,22874,12736,transport_us,1,8,15,8093
K,50000,on,22874,12736,record_us,1642,3341,6656,23885
K,50000,on,22874,12736,accept_us,7,180,1853,18108
K,50000,on,22874,12736,publish_us,8,9,28,970
K,50000,on,22874,12736,history_store_us,1575,2987,5260,23763
K,50000,on,22874,12736,open_orders_us,0,1,3,3903
L,70000,off,28606,19404,tick_to_signal_us,69,1476,5117,10835
L,70000,off,28606,19404,signal_to_pop_us,898535,1444429,2128600,2342267
L,70000,off,28606,19404,pop_to_done_us,1124,3347,5298,257869
L,70000,off,28606,19404,total_us,900298,1446881,2131550,2345080
L,70000,off,28606,19404,gate_us,9,33,104,4389
L,70000,off,28606,19404,history_guard_us,29,983,2332,256068
L,70000,off,28606,19404,history_lock_wait_us,0,922,2254,256061
L,70000,off,28606,19404,journal_us,1,1,78,1608
L,70000,off,28606,19404,bucket_wait_us,0,0,0,0
L,70000,off,28606,19404,transport_us,2,9,23,3464
L,70000,off,28606,19404,record_us,1054,2209,3717,25949
L,70000,off,28606,19404,accept_us,6,133,1207,11816
L,70000,off,28606,19404,publish_us,8,9,31,3716
L,70000,off,28606,19404,history_store_us,1012,1966,3136,25927
L,70000,off,28606,19404,open_orders_us,0,2,5,4741
L,70000,on,20640,11400,tick_to_signal_us,191,3713,11292,44824
L,70000,on,20640,11400,signal_to_pop_us,1049965,1708061,4498396,4741949
L,70000,on,20640,11400,pop_to_done_us,1721,4961,10609,455699
L,70000,on,20640,11400,total_us,1056610,1710345,4502193,4746992
L,70000,on,20640,11400,gate_us,9,22,129,7344
L,70000,on,20640,11400,history_guard_us,19,1526,4897,452524
L,70000,on,20640,11400,history_lock_wait_us,0,1485,4859,452518
L,70000,on,20640,11400,journal_us,1,1,96,3296
L,70000,on,20640,11400,bucket_wait_us,0,0,0,0
L,70000,on,20640,11400,transport_us,1,9,21,2662
L,70000,on,20640,11400,record_us,1667,3328,7222,36220
L,70000,on,20640,11400,accept_us,7,152,1850,30781
L,70000,on,20640,11400,publish_us,8,9,34,2892
L,70000,on,20640,11400,history_store_us,1605,3020,5953,36201
L,70000,on,20640,11400,open_orders_us,0,1,9,33970
