round,recorder,elapsed_seconds,data_events,signal_count,order_count,drop_total,drop_socket_full,drop_socket_error,drop_send_queue_full,drop_trade_ring_full,available_gb
M,off,10.0,0,0,0,0,0,0,0,0,
M,off,20.0,32790399,9967,3421,10068438,0,0,0,10068438,
M,off,30.1,39562414,28910,5637,12536921,0,0,0,12536921,
M,off,40.1,46313721,47730,7682,15234385,0,0,0,15234385,
M,off,50.1,51995830,65687,9749,17475878,0,0,0,17475878,
M,off,60.1,54175147,82188,12013,18349141,0,0,0,18349141,
M,off,70.1,54499068,97761,14249,18457068,0,0,0,18457068,
M,off,80.2,54507632,99420,14646,18457068,0,0,0,18457068,
M,on,10.0,0,0,0,0,0,0,0,0,0.29
M,on,20.0,32790399,9859,2792,14331003,0,0,0,14331003,0.68
M,on,30.1,39562414,29066,4647,17251178,0,0,0,17251178,1.22
M,on,40.1,46313721,47840,6337,19986992,0,0,0,19986992,1.13
M,on,50.2,51995830,65898,7983,22246722,0,0,0,22246722,1.20
M,on,60.2,54175147,81909,9432,23102191,0,0,0,23102191,1.07
M,on,70.3,54499068,97811,10713,23274991,0,0,0,23274991,1.04
M,on,80.3,54507632,99522,11059,23275143,0,0,0,23275143,1.02
