round,window,started_kst,accepted_rows,stage,p50_us,p90_us,p99_us,max_us
E,first60s,09:14:19,13123,gate_us,11,22,50,1454
E,first60s,09:14:19,13123,history_guard_us,0,3,77,7045
E,first60s,09:14:19,13123,journal_us,0,1,1,1302
E,first60s,09:14:19,13123,bucket_wait_us,0,0,0,0
E,first60s,09:14:19,13123,transport_us,5,12,24,5456
E,first60s,09:14:19,13123,record_us,3056,5406,15248,559944
E,first60s,09:14:19,13123,open_orders_us,1575,2290,8130,556392
E,first60s,09:14:19,13123,pop_to_done_us,3088,5442,15502,559972
E,full,09:14:19,14055,gate_us,11,22,48,1454
E,full,09:14:19,14055,history_guard_us,0,4,78,7045
E,full,09:14:19,14055,journal_us,0,1,1,1302
E,full,09:14:19,14055,bucket_wait_us,0,0,0,0
E,full,09:14:19,14055,transport_us,5,13,25,5456
E,full,09:14:19,14055,record_us,3008,5303,14716,559944
E,full,09:14:19,14055,open_orders_us,1589,2252,7896,556392
E,full,09:14:19,14055,pop_to_done_us,3038,5347,14738,559972
F,first60s,10:02:29,19227,gate_us,10,97,134,752
F,first60s,10:02:29,19227,history_guard_us,1,346,480,37046
F,first60s,10:02:29,19227,journal_us,1,1,109,1381
F,first60s,10:02:29,19227,bucket_wait_us,0,0,0,0
F,first60s,10:02:29,19227,transport_us,5,9,17,1096
F,first60s,10:02:29,19227,record_us,1901,4015,7361,28202
F,first60s,10:02:29,19227,open_orders_us,0,92,178,8492
F,first60s,10:02:29,19227,pop_to_done_us,1990,4233,7582,41227
F,full,10:02:29,19675,gate_us,10,96,134,752
F,full,10:02:29,19675,history_guard_us,1,344,479,37046
F,full,10:02:29,19675,journal_us,1,1,109,1381
F,full,10:02:29,19675,bucket_wait_us,0,0,0,0
F,full,10:02:29,19675,transport_us,5,9,17,1096
F,full,10:02:29,19675,record_us,1871,3986,7336,28202
F,full,10:02:29,19675,open_orders_us,0,90,178,8492
F,full,10:02:29,19675,pop_to_done_us,1963,4203,7558,41227
G,first60s,10:06:24,11404,gate_us,7,24,43,663
G,first60s,10:06:24,11404,history_guard_us,0,4,597,38892
G,first60s,10:06:24,11404,journal_us,0,1,1,120
G,first60s,10:06:24,11404,bucket_wait_us,0,0,0,0
G,first60s,10:06:24,11404,transport_us,4,12,20,147
G,first60s,10:06:24,11404,record_us,3562,6665,12940,65423
G,first60s,10:06:24,11404,open_orders_us,1793,3274,5969,47532
G,first60s,10:06:24,11404,pop_to_done_us,3605,6793,13102,65464
G,full,10:06:24,24257,gate_us,7,20,41,663
G,full,10:06:24,24257,history_guard_us,0,4,735,64722
G,full,10:06:24,24257,journal_us,0,1,1,120
G,full,10:06:24,24257,bucket_wait_us,0,0,0,0
G,full,10:06:24,24257,transport_us,4,11,28,308
G,full,10:06:24,24257,record_us,3765,6050,11109,65423
G,full,10:06:24,24257,open_orders_us,1909,3200,5736,47532
G,full,10:06:24,24257,pop_to_done_us,3807,6161,11285,71385
H,first60s,10:43:06,25534,gate_us,10,18,127,3090
H,first60s,10:43:06,25534,history_guard_us,713,1071,2173,83372
H,first60s,10:43:06,25534,journal_us,1,1,120,7089
H,first60s,10:43:06,25534,bucket_wait_us,0,0,0,0
H,first60s,10:43:06,25534,transport_us,5,10,19,764
H,first60s,10:43:06,25534,record_us,1096,1768,2746,21724
H,first60s,10:43:06,25534,open_orders_us,0,55,112,964
H,first60s,10:43:06,25534,pop_to_done_us,1758,2742,4696,84622
H,full,10:43:06,26000,gate_us,10,18,126,3090
H,full,10:43:06,26000,history_guard_us,702,1068,2152,83372
H,full,10:43:06,26000,journal_us,1,1,120,7089
H,full,10:43:06,26000,bucket_wait_us,0,0,0,0
H,full,10:43:06,26000,transport_us,5,10,20,764
H,full,10:43:06,26000,record_us,1099,1764,2746,21724
H,full,10:43:06,26000,open_orders_us,0,55,113,964
H,full,10:43:06,26000,pop_to_done_us,1745,2725,4674,84622
I,first60s,10:45:08,14849,gate_us,11,85,126,5289
I,first60s,10:45:08,14849,history_guard_us,1,1192,1534,133462
I,first60s,10:45:08,14849,journal_us,1,1,97,1505
I,first60s,10:45:08,14849,bucket_wait_us,0,0,0,0
I,first60s,10:45:08,14849,transport_us,5,11,18,770
I,first60s,10:45:08,14849,record_us,2430,4615,7440,168744
I,first60s,10:45:08,14849,open_orders_us,0,112,209,3043
I,first60s,10:45:08,14849,pop_to_done_us,2557,5007,7991,169884
I,full,10:45:08,15382,gate_us,11,83,126,5289
I,full,10:45:08,15382,history_guard_us,1,1185,1526,133462
I,full,10:45:08,15382,journal_us,1,1,97,1505
I,full,10:45:08,15382,bucket_wait_us,0,0,0,0
I,full,10:45:08,15382,transport_us,5,11,20,770
I,full,10:45:08,15382,record_us,2413,4589,7423,168744
I,full,10:45:08,15382,open_orders_us,0,111,207,3043
I,full,10:45:08,15382,pop_to_done_us,2530,4984,7958,169884
