round,segment,label,inside_pop_to_done,count,p50_us,p90_us,p99_us,max_us
peak30k_split,tick_to_signal_us,tick recv -> strategy decision,0,79620,127,7231,17738,32907
peak30k_split,signal_to_pop_us,strategy decision -> order thread pop,0,79620,96178,172489,205202,493085
peak30k_split,gate_us,order gate check,1,79620,2,79,106,488
peak30k_split,history_guard_us,order history lock + duplicate guard,1,79620,1,15,23,5288
peak30k_split,history_lock_wait_us,  of which: waiting for the lock,1,79620,0,14,22,5288
peak30k_split,journal_us,ledger write-ahead (disk),1,79620,0,1,95,482
peak30k_split,bucket_wait_us,broker rate limit queueing,1,79620,0,0,0,0
peak30k_split,transport_us,order send -> broker response (round trip),1,79620,1,2,2,78
peak30k_split,record_us,"after send: accept, publish, history, ledger csv",1,79620,15,21,33,491945
peak30k_split,open_orders_us,  of which: pending-order file rewrite,1,79620,0,0,1,11
peak30k_split,pop_to_done_us,pop -> router return (holds the six above),0,79620,35,107,136,491952
peak30k_split,total_us,tick recv -> router return (whole chain),0,79620,97682,177164,212801,494382
