round,segment,label,inside_pop_to_done,count,p50_us,p90_us,p99_us,max_us
equiv300_split,tick_to_signal_us,tick recv -> strategy decision,0,14455,951,1338,1730,2010
equiv300_split,signal_to_pop_us,strategy decision -> order thread pop,0,14455,5103,8584,30072,35379
equiv300_split,gate_us,order gate check,1,14455,1,2,15,43
equiv300_split,history_guard_us,order history lock + duplicate guard,1,14455,0,2,14,25073
equiv300_split,history_lock_wait_us,  of which: waiting for the lock,1,14455,0,2,14,25073
equiv300_split,journal_us,ledger write-ahead (disk),1,14455,0,0,1,20
equiv300_split,bucket_wait_us,broker rate limit queueing,1,14455,0,0,0,0
equiv300_split,transport_us,order send -> broker response (round trip),1,14455,0,1,1,29
equiv300_split,record_us,"after send: accept, publish, history, ledger csv",1,14455,7,12,21,244
equiv300_split,open_orders_us,  of which: pending-order file rewrite,1,14455,0,0,0,3
equiv300_split,pop_to_done_us,pop -> router return (holds the six above),0,14455,10,21,39,25099
equiv300_split,total_us,tick recv -> router return (whole chain),0,14455,6047,9781,30092,35636
