round,role,timestamp,shard,shard_out,shard_dropped,order,fill,fill_dropped,order_dropped,order_stale,order_duplicate,order_implausible,order_truncated,order_response_dropped,beat_gap_max,order_beat_gap_max,order_answer_overdue,feed_beat_gap_max,ledger_gen,ledger_foreign,control_dropped,control_relay_dropped,control_discarded,symbol_register_timeout,symbol_lookup_miss,strategy_register_timeout,watch_overflow,feed_channel_overflow,feed_channel_discarded,feed_channel_sent,feed_channel_received,fill_channel_overflow,fill_channel_discarded,fill_channel_sent,fill_channel_received
peak30k_split,order,2026-09-26 01:08:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,11ms,0ms,0,5023ms,37157,0,0,0,0,0,0,0,0,0,0,36788249,36788208,0,0,0,0
peak30k_split,feed,2026-09-26 01:09:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,123041,0,0,0,0,0,0,0,0,0,0,54056324,54056324,0,0,0,0
peak30k_split,strategy,2026-09-26 01:09:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,18195,0,0,0,0,0,0ms,116ms,0,0ms,122300,0,0,0,0,0,0,0,0,0,0,54056324,54056324,0,0,0,0
peak30k_split,order,2026-09-26 01:09:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,13ms,0ms,0,5023ms,155702,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,feed,2026-09-26 01:10:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,156009,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,strategy,2026-09-26 01:10:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,24192,0,0,0,0,0,0ms,116ms,0,0ms,156009,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,order,2026-09-26 01:10:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,13ms,0ms,0,5023ms,156295,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,feed,2026-09-26 01:11:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,156603,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,strategy,2026-09-26 01:11:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,24192,0,0,0,0,0,0ms,116ms,0,0ms,156603,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,order,2026-09-26 01:11:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,13ms,0ms,0,5023ms,156890,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,feed,2026-09-26 01:12:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,157197,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,strategy,2026-09-26 01:12:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,24192,0,0,0,0,0,0ms,116ms,0,0ms,157197,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,order,2026-09-26 01:12:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,13ms,0ms,0,5023ms,157483,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,feed,2026-09-26 01:13:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,157791,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,strategy,2026-09-26 01:13:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,24192,0,0,0,0,0,0ms,116ms,0,0ms,157790,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,order,2026-09-26 01:13:57,/4096,0/4096,0,0/1024,12/1024,0,0,0,0,0,0,0,13ms,0ms,0,5023ms,158077,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,feed,2026-09-26 01:14:28,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,0ms,158385,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
peak30k_split,strategy,2026-09-26 01:14:28,"2266,2040,4096,4096/4096",0/4096,0,1024/1024,0/1024,0,24192,0,0,0,0,0,0ms,116ms,0,0ms,158384,0,0,0,0,0,0,0,0,0,0,54758229,54758229,0,0,0,0
