window	strategy	regime	trades	ret_pct	mdd_pct	sharpe	win_pct	bench_ret	bench_mdd	alpha_p	verdict
2022bear	momentum	on	0	0.00	-0.00	0.00	0.0	-19.88	-25.98	19.88	✅ 위험조정 알파(수익↑ & 샤프↑)
2022bear	momentum	off	107	-24.34	-27.93	-1.25	43.9	-19.88	-25.98	-4.46	⚠️ 벤치 미달(베타/언더퍼폼)
2022bear	mean_reversion	on	0	0.00	-0.00	0.00	0.0	-19.88	-25.98	19.88	✅ 위험조정 알파(수익↑ & 샤프↑)
2022bear	mean_reversion	off	84	-11.89	-34.90	-0.29	61.9	-19.88	-25.98	7.99	✅ 위험조정 알파(수익↑ & 샤프↑)
2024blackmon	momentum	on	129	9.78	-25.70	0.47	47.3	2.39	-13.42	7.39	✅ 위험조정 알파(수익↑ & 샤프↑)
2024blackmon	momentum	off	119	36.66	-24.18	1.19	58.0	2.39	-13.42	34.27	✅ 위험조정 알파(수익↑ & 샤프↑)
2024blackmon	mean_reversion	on	121	-21.99	-23.20	-0.96	43.0	2.39	-13.42	-24.37	⚠️ 벤치 미달(베타/언더퍼폼)
2024blackmon	mean_reversion	off	93	-17.49	-27.83	-0.60	53.8	2.39	-13.42	-19.87	⚠️ 벤치 미달(베타/언더퍼폼)
2026now	momentum	on	66	99.94	-24.40	2.30	47.0	22.69	-32.26	77.25	✅ 위험조정 알파(수익↑ & 샤프↑)
2026now	momentum	off	53	37.10	-51.30	1.09	45.3	22.69	-32.26	14.42	✅ 위험조정 알파(수익↑ & 샤프↑)
2026now	mean_reversion	on	69	12.17	-15.51	0.81	53.6	22.69	-32.26	-10.52	⚠️ 벤치 미달(베타/언더퍼폼)
2026now	mean_reversion	off	48	2.30	-24.90	0.30	50.0	22.69	-32.26	-20.38	⚠️ 벤치 미달(베타/언더퍼폼)
