window	strategy	regime	trades	ret_pct	mdd_pct	sharpe	win_pct	bench_ret	bench_mdd	alpha_p	verdict
2011euro	momentum	on	72	24.10	-15.71	1.17	54.2	-6.86	-23.29	30.97	✅ 위험조정 알파(수익↑ & 샤프↑)
2011euro	momentum	off	104	11.51	-19.90	0.54	52.9	-6.86	-23.29	18.38	✅ 위험조정 알파(수익↑ & 샤프↑)
2011euro	mean_reversion	on	85	-5.67	-12.93	-0.28	56.5	-6.86	-23.29	1.19	⚠️ 수익률만 초과 — 샤프 -0.28 < 벤치 -0.17, MDD도 큼. 위험조정 엣지 아님(더 공격적 베팅의 대가)
2011euro	mean_reversion	off	103	-2.87	-33.49	0.12	66.0	-6.86	-23.29	3.99	✅ 위험조정 알파(수익↑ & 샤프↑)
2018semi	momentum	on	42	-5.63	-14.42	-0.38	38.1	-11.90	-22.73	6.27	✅ 위험조정 알파(수익↑ & 샤프↑)
2018semi	momentum	off	94	-22.13	-32.28	-0.90	34.0	-11.90	-22.73	-10.23	⚠️ 벤치 미달(베타/언더퍼폼)
2018semi	mean_reversion	on	43	-6.42	-14.93	-0.63	41.9	-11.90	-22.73	5.49	✅ 위험조정 알파(수익↑ & 샤프↑)
2018semi	mean_reversion	off	120	10.94	-15.04	0.61	63.3	-11.90	-22.73	22.84	✅ 위험조정 알파(수익↑ & 샤프↑)
2020covid	momentum	on	56	13.68	-14.65	0.82	50.0	36.62	-40.24	-22.94	⚠️ 벤치 미달(베타/언더퍼폼)
2020covid	momentum	off	76	58.00	-40.42	1.48	55.3	36.62	-40.24	21.39	✅ 위험조정 알파(수익↑ & 샤프↑)
2020covid	mean_reversion	on	79	5.52	-22.00	0.43	59.5	36.62	-40.24	-31.10	⚠️ 벤치 미달(베타/언더퍼폼)
2020covid	mean_reversion	off	114	36.39	-47.68	0.98	69.3	36.62	-40.24	-0.23	⚠️ 벤치 미달(베타/언더퍼폼)
