id	cause	rep_index	peak_date	peak_close	trough_date	trough_close	max_dd	fall_days	recovery_days	recovered	shape	speed	rvol_pre	rvol_peak	vix_peak	tnx_chg	krw_chg	systemic_tag
1929_great_crash	financial	^GSPC	1929-09-16	31.86	1932-06-01	4.40	-86.19	678	252	False	L	slow	17.72	107.47	NA	NA	NA	narrow/external
1987_black_monday	structural	^GSPC	1987-08-25	336.77	1987-12-04	223.92	-33.51	71	252	False	L	slow	11.36	103.06	NA	0.21	NA	narrow/external
1990_gulf_war	war	^GSPC	1990-07-16	368.95	1990-10-11	295.46	-19.92	62	86	True	V	slow	13.15	26.18	NA	0.48	NA	narrow/external
1997_imf_asian	financial	^KS11	1997-06-17	792.29	1998-06-16	280.00	-64.66	241	212	True	V	slow	NA	90.89	NA	NA	NA	narrow/external
1998_ltcm_russia	financial	^GSPC	1998-07-17	1186.75	1998-08-31	957.28	-19.34	31	59	True	U	slow	14.03	33.75	NA	NA	NA	narrow/external
2000_dotcom	financial	^IXIC	2000-03-10	5048.62	2002-10-09	1114.11	-77.93	647	252	False	L	slow	37.35	87.39	45.08	NA	NA	systemic
2001_911	terror	^GSPC	2001-07-02	1236.72	2001-09-21	965.80	-21.91	53	252	False	L	slow	NA	25.08	43.74	NA	NA	systemic
2003_sars_iraq	pandemic+war	^GSPC	2002-12-02	934.53	2003-03-11	800.73	-14.32	67	43	True	V	slow	NA	25.52	NA	NA	NA	narrow/external
2008_gfc	financial	^GSPC	2007-10-09	1565.15	2009-03-09	676.53	-56.78	355	252	False	L	slow	19.68	85.19	80.86	-1.77	68.82	systemic
2010_flash_euro	financial	^GSPC	2010-04-23	1217.28	2010-07-02	1022.58	-15.99	49	87	True	U	slow	8.54	33.10	45.79	NA	NA	systemic
2011_us_downgrade_euro	financial	^GSPC	2011-05-02	1361.22	2011-10-03	1099.23	-19.25	107	95	True	V	slow	NA	50.66	48.00	NA	11.03	systemic
2015_china_yuan	financial	^GSPC	2015-07-20	2128.28	2016-02-11	1829.08	-14.06	143	102	True	V	slow	11.72	32.46	40.74	NA	NA	systemic
2018_fed_q4	inflation	^GSPC	2018-09-20	2930.75	2018-12-24	2351.10	-19.78	65	81	True	V	slow	6.77	24.83	36.07	NA	0.47	narrow/external
2020_covid	pandemic	^GSPC	2020-02-19	3386.15	2020-03-23	2237.40	-33.92	23	103	True	U	fast	11.35	86.85	82.69	-0.81	5.38	systemic
2022_inflation_bear	inflation	^GSPC	2022-01-03	4796.56	2022-10-12	3577.03	-25.43	195	252	False	L	slow	15.18	35.11	36.45	2.27	20.46	systemic
2023_svb	financial	^GSPC	2023-02-02	4179.76	2023-03-13	3855.76	-7.75	26	47	True	U	fast	NA	17.20	26.52	NA	NA	narrow/external
2024_yen_carry	structural	^GSPC	2024-07-16	5667.20	2024-08-05	5186.33	-8.49	14	32	True	U	fast	NA	19.47	38.57	NA	NA	narrow/external
