# quant.regime_ablate/v1  seed=0  commit=66bdfaf
# source=IndexSource(.index_cache)  index=^KS11/^SOX/^VIX
# warmup_cal_days=450  holdout=2022bear  grid_bull=[0.5, 0.8, 1.0]
# exec=decide-on-close(D) / execute-next-open(D+1)  look-ahead: score<=D, ret open[D+1]->open[D+2]
window	variant	bull_th	bear_th	total_ret_pct	mdd_pct	sharpe	flips	pct_invested	bh_ret_pct	bh_mdd_pct	bh_sharpe	holdout
2011euro	A	+2.00	-2.00	-13.06	22.10	-0.574	2	79.7	-12.02	23.44	-0.374	False
2011euro	B	+0.50	-0.50	-10.48	18.78	-0.622	3	63.0	-12.02	23.44	-0.374	False
2011euro	C	+0.50	-0.50	-10.32	18.78	-0.610	5	62.6	-12.02	23.44	-0.374	False
2011euro	D	+0.50	-0.50	-20.32	26.13	-1.291	27	67.9	-12.02	23.44	-0.374	False
2018semi	A	+2.00	-2.00	-13.87	18.61	-1.348	17	44.9	-17.70	23.33	-1.255	False
2018semi	B	+0.50	-0.50	-4.11	9.41	-0.366	1	46.1	-17.70	23.33	-1.255	False
2018semi	C	+0.50	-0.50	-4.11	9.41	-0.366	1	46.1	-17.70	23.33	-1.255	False
2018semi	D	+0.50	-0.50	-8.34	12.43	-0.844	9	44.0	-17.70	23.33	-1.255	False
2020covid	A	+2.00	-2.00	-0.44	34.80	0.111	2	86.6	28.13	34.80	1.005	False
2020covid	B	+0.50	-0.50	19.29	16.91	1.051	2	79.8	28.13	34.80	1.005	False
2020covid	C	+0.50	-0.50	24.20	14.09	1.296	2	79.4	28.13	34.80	1.005	False
2020covid	D	+0.50	-0.50	21.80	15.48	1.210	20	79.8	28.13	34.80	1.005	False
2022bear	A	+2.00	-2.00	-15.87	16.09	-2.138	6	28.4	-24.27	27.77	-1.529	True
2022bear	B	+0.50	-0.50	-6.16	7.55	-1.162	4	10.7	-24.27	27.77	-1.529	True
2022bear	C	+0.50	-0.50	-4.03	6.99	-0.804	4	9.1	-24.27	27.77	-1.529	True
2022bear	D	+0.50	-0.50	-7.72	7.72	-1.543	12	8.6	-24.27	27.77	-1.529	True
2024blackmon	A	+2.00	-2.00	-1.10	13.50	-0.012	3	73.4	-8.36	17.46	-0.465	False
2024blackmon	B	+0.50	-0.50	-4.70	13.69	-0.291	3	70.1	-8.36	17.46	-0.465	False
2024blackmon	C	+0.50	-0.50	-4.70	13.69	-0.291	3	70.1	-8.36	17.46	-0.465	False
2024blackmon	D	+0.50	-0.50	-7.13	15.89	-0.519	19	70.9	-8.36	17.46	-0.465	False
2026now	A	+2.00	-2.00	51.45	39.09	1.580	0	100.0	51.45	39.09	1.580	False
2026now	B	+0.50	-0.50	51.45	39.09	1.580	0	100.0	51.45	39.09	1.580	False
2026now	C	+0.50	-0.50	51.45	39.09	1.580	0	100.0	51.45	39.09	1.580	False
2026now	D	+0.50	-0.50	51.45	39.09	1.580	0	100.0	51.45	39.09	1.580	False
