sleeve	period	k	n_days	n_months	ic_mean	ic_t	ic_p	ic_pos_share	pass	top25_ex_pct	top25_ex_r	top25_t	elig_ex_pct	elig_t
TRENDX	full_2019-2026	5	1749	89	0.0865	12.4112	0.0000	0.8989	True	0.1748	0.0291	1.2861	-0.1474	-1.1937
TRENDX	full_2019-2026	20	1734	89	0.0999	9.7966	0.0000	0.8764	True	0.4793	0.0799	1.1392	-0.2299	-0.5584
TRENDX	2020covid	5	235	12	0.0689	2.8609	0.0155	0.9167	False	0.5430	0.0905	1.2247	0.2778	0.5670
TRENDX	2020covid	20	235	12	0.0616	1.8208	0.0959	0.8333	False	2.5555	0.4259	1.4724	1.7709	0.8751
TRENDX	2022bear	5	226	12	0.0789	6.7870	0.0000	0.9167	True	-0.4319	-0.0720	-1.5717	-0.6335	-3.0402
TRENDX	2022bear	20	226	12	0.1327	8.5216	0.0000	1.0000	True	-1.7497	-0.2916	-1.9748	-2.4238	-3.5084
TRENDX	2024blackmon	5	241	13	0.0918	5.7114	0.0001	0.9231	True	-0.1622	-0.0270	-0.4260	-0.6009	-2.3393
TRENDX	2024blackmon	20	241	13	0.1321	9.7810	0.0000	1.0000	True	1.2519	0.2086	1.6085	-0.3425	-0.5125
TRENDX	2026now	5	116	8	0.1143	2.7410	0.0289	0.7500	False	0.5537	0.0923	0.7058	0.3510	0.5682
TRENDX	2026now	20	116	8	0.1112	3.4278	0.0110	0.8750	True	0.8918	0.1486	0.3822	-0.1653	-0.0830
TRENDX+liq	full_2019-2026	5	1749	89	0.0646	9.2374	0.0000	0.7978	True	0.1240	0.0207	0.8093	-0.1474	-1.1937
TRENDX+liq	full_2019-2026	20	1734	89	0.0594	5.5372	0.0000	0.7528	True	0.3735	0.0622	0.7892	-0.2299	-0.5584
TRENDX+liq	2020covid	5	235	12	0.0611	3.1828	0.0087	0.8333	True	0.4610	0.0768	0.9530	0.2778	0.5670
TRENDX+liq	2020covid	20	235	12	0.0445	1.3029	0.2192	0.7500	False	2.2390	0.3732	1.1445	1.7709	0.8751
TRENDX+liq	2022bear	5	226	12	0.0530	2.1554	0.0541	0.5833	False	-0.6159	-0.1027	-1.7232	-0.6335	-3.0402
TRENDX+liq	2022bear	20	226	12	0.0474	1.9994	0.0709	0.6667	False	-2.4120	-0.4020	-2.4752	-2.4238	-3.5084
TRENDX+liq	2024blackmon	5	241	13	0.0704	3.9214	0.0020	0.8462	True	0.0204	0.0034	0.0719	-0.6009	-2.3393
TRENDX+liq	2024blackmon	20	241	13	0.1036	6.1250	0.0001	0.9231	True	1.7592	0.2932	1.2577	-0.3425	-0.5125
TRENDX+liq	2026now	5	116	8	0.0951	3.2313	0.0144	0.8750	False	1.1006	0.1834	1.2440	0.3510	0.5682
TRENDX+liq	2026now	20	116	8	0.1109	3.3200	0.0128	0.8750	False	2.2411	0.3735	0.8657	-0.1653	-0.0830
DEVSCALE	full_2019-2026	5	1489	88	-0.0094	-1.1160	0.2675	0.3636	False	-0.0232	-0.0039	-0.3395	0.0350	0.5591
DEVSCALE	full_2019-2026	20	1485	87	-0.0136	-1.3346	0.1855	0.4138	False	0.2504	0.0417	1.0049	0.2892	1.2045
DEVSCALE	2020covid	5	197	12	-0.0181	-1.1560	0.2722	0.4167	False	0.0838	0.0140	0.5339	0.1718	1.1197
DEVSCALE	2020covid	20	196	12	-0.0495	-1.3472	0.2050	0.2500	False	1.6632	0.2772	1.7548	1.9142	2.0016
DEVSCALE	2022bear	5	178	12	0.0412	1.1859	0.2607	0.4167	False	-0.2615	-0.0436	-1.3401	-0.2115	-1.0536
DEVSCALE	2022bear	20	178	12	0.0293	1.2906	0.2233	0.6667	False	-0.0438	-0.0073	-0.0521	-0.2102	-0.2612
DEVSCALE	2024blackmon	5	209	13	0.0073	0.4551	0.6572	0.5385	False	0.1055	0.0176	0.3641	0.0425	0.1659
DEVSCALE	2024blackmon	20	209	13	-0.0110	-0.3389	0.7406	0.4615	False	0.6221	0.1037	1.2655	0.5649	1.2148
DEVSCALE	2026now	5	82	7	-0.0670	-2.7939	0.0314	0.1429	False	-0.1109	-0.0185	-0.2605	-0.1272	-0.4054
DEVSCALE	2026now	20	82	7	-0.1090	-2.9110	0.0269	0.1429	False	-0.2170	-0.0362	-0.1790	-0.1788	-0.1705
DEVSCALE+liq	full_2019-2026	5	1489	88	-0.0116	-1.4560	0.1490	0.3750	False	0.0079	0.0013	0.1125	0.0350	0.5591
DEVSCALE+liq	full_2019-2026	20	1485	87	-0.0138	-1.3773	0.1720	0.4598	False	0.2938	0.0490	1.1975	0.2892	1.2045
DEVSCALE+liq	2020covid	5	197	12	-0.0013	-0.0582	0.9547	0.5000	False	0.1962	0.0327	1.1366	0.1718	1.1197
DEVSCALE+liq	2020covid	20	196	12	-0.0250	-0.6626	0.5212	0.5833	False	1.8999	0.3167	1.9756	1.9142	2.0016
DEVSCALE+liq	2022bear	5	178	12	0.0034	0.1119	0.9129	0.2500	False	-0.2901	-0.0483	-1.4805	-0.2115	-1.0536
DEVSCALE+liq	2022bear	20	178	12	-0.0199	-0.7357	0.4773	0.5833	False	-0.2552	-0.0425	-0.3232	-0.2102	-0.2612
DEVSCALE+liq	2024blackmon	5	209	13	0.0187	0.9041	0.3838	0.5385	False	0.1854	0.0309	0.6824	0.0425	0.1659
DEVSCALE+liq	2024blackmon	20	209	13	0.0005	0.0163	0.9873	0.4615	False	0.7666	0.1278	1.4411	0.5649	1.2148
DEVSCALE+liq	2026now	5	82	7	0.0022	0.0795	0.9392	0.4286	False	0.1331	0.0222	0.5579	-0.1272	-0.4054
DEVSCALE+liq	2026now	20	82	7	-0.0376	-1.2093	0.2720	0.1429	False	0.2879	0.0480	0.2987	-0.1788	-0.1705
