variant	ticker	ymd	aligned_prev	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
v1_current	003550	20260908	True	7.6910	2	1	2317000.0000	2255300.0000	-61700.0000	-68731.5350	2318506.0500	-2.9645	-0.4941	-2.9173	"{""eod"": 1}"
v2_norung	003550	20260908	True	7.6910	1	1	1604200.0000	1543100.0000	-61100.0000	-65923.3250	1605242.7300	-4.1068	-0.6845	-3.8898	"{""eod"": 1}"
v3_norung_stop2.5	003550	20260908	True	7.6910	2	2	3271600.0000	3223100.0000	-48500.0000	-58523.1350	1668483.8100	-3.5076	-0.5846	-2.6742	"{""stop"": 1, ""eod"": 1}"
v4_norung_stop_trail	003550	20260908	True	7.6910	3	3	4868000.0000	4816900.0000	-51100.0000	-66065.6050	1668483.8100	-3.9596	-0.6599	-2.1987	"{""trail"": 2, ""eod"": 1}"
v1_current	008930	20260908	True	16.2803	12	4	12765800.0000	12937100.0000	171300.0000	131306.3350	5425124.0400	2.4203	0.4034	-3.1909	"{""tp"": 3, ""eod"": 1}"
v2_norung	008930	20260908	True	16.2803	4	4	6704600.0000	6794300.0000	89700.0000	68695.9750	1699103.7000	4.0431	0.6738	-4.1667	"{""tp"": 3, ""eod"": 1}"
v3_norung_stop2.5	008930	20260908	True	16.2803	5	5	8389500.0000	8481600.0000	92100.0000	65866.9050	1699103.7000	3.8766	0.6461	-3.0000	"{""tp"": 3, ""stop"": 1, ""eod"": 1}"
v4_norung_stop_trail	008930	20260908	True	16.2803	7	7	11761900.0000	11796600.0000	34700.0000	-1846.9050	1699103.7000	-0.1087	-0.0181	-3.4826	"{""tp"": 3, ""trail"": 3, ""stop"": 1}"
v1_current	003490	20260909	True	9.1703	1	1	1688400.0000	1668800.0000	-19600.0000	-24786.0200	1689497.4600	-1.4671	-0.2445	-1.8242	"{""eod"": 1}"
v2_norung	003490	20260909	True	9.1703	1	1	1688400.0000	1668800.0000	-19600.0000	-24786.0200	1689497.4600	-1.4671	-0.2445	-1.8242	"{""eod"": 1}"
v3_norung_stop2.5	003490	20260909	True	9.1703	1	1	1688400.0000	1668800.0000	-19600.0000	-24786.0200	1689497.4600	-1.4671	-0.2445	-1.8242	"{""eod"": 1}"
v4_norung_stop_trail	003490	20260909	True	9.1703	1	1	1688400.0000	1668800.0000	-19600.0000	-24786.0200	1689497.4600	-1.4671	-0.2445	-1.8242	"{""eod"": 1}"
v1_current	010950	20260909	True	8.5140	3	2	3907600.0000	3963800.0000	56200.0000	43948.7500	2313102.5400	1.9000	0.3167	-1.7544	"{""tp"": 1, ""eod"": 1}"
v2_norung	010950	20260909	True	8.5140	2	2	3240000.0000	3301000.0000	61000.0000	50806.5500	1645068.6000	3.0884	0.5147	-1.7544	"{""tp"": 1, ""eod"": 1}"
v3_norung_stop2.5	010950	20260909	True	8.5140	2	2	3240000.0000	3301000.0000	61000.0000	50806.5500	1645068.6000	3.0884	0.5147	-1.7544	"{""tp"": 1, ""eod"": 1}"
v4_norung_stop_trail	010950	20260909	True	8.5140	2	2	3240000.0000	3301000.0000	61000.0000	50806.5500	1645068.6000	3.0884	0.5147	-1.7544	"{""tp"": 1, ""eod"": 1}"
v1_current	033790	20260909	True	11.2521	10	2	9738250.0000	9966570.0000	228320.0000	197572.0410	4877668.4250	4.0505	0.6751	-4.4416	"{""tp"": 1, ""eod"": 1}"
v2_norung	033790	20260909	True	11.2521	2	2	3401440.0000	3480320.0000	78880.0000	68142.2800	1703186.3520	4.0009	0.6668	-5.0761	"{""tp"": 1, ""eod"": 1}"
v3_norung_stop2.5	033790	20260909	True	11.2521	4	4	6802880.0000	6886000.0000	83120.0000	61827.4280	1703186.3520	3.6301	0.6050	-3.1726	"{""stop"": 1, ""tp"": 2, ""eod"": 1}"
v4_norung_stop_trail	033790	20260909	True	11.2521	6	6	10202410.0000	10262900.0000	60490.0000	28714.3285	1703606.6250	1.6855	0.2809	-3.1726	"{""stop"": 1, ""trail"": 2, ""tp"": 2, ""eod"": 1}"
v1_current	034020	20260909	False	14.1866	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
v2_norung	034020	20260909	False	14.1866	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
v3_norung_stop2.5	034020	20260909	False	14.1866	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
v4_norung_stop_trail	034020	20260909	False	14.1866	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
v1_current	036930	20260909	True	13.2473	3	3	4895200.0000	4968000.0000	72800.0000	57446.5200	1677089.4000	3.4254	0.5709	-3.5800	"{""tp"": 2, ""eod"": 1}"
v2_norung	036930	20260909	True	13.2473	3	3	4895200.0000	4968000.0000	72800.0000	57446.5200	1677089.4000	3.4254	0.5709	-3.5800	"{""tp"": 2, ""eod"": 1}"
v3_norung_stop2.5	036930	20260909	True	13.2473	4	4	6527200.0000	6596000.0000	68800.0000	48397.1200	1677089.4000	2.8858	0.4810	-2.6253	"{""tp"": 2, ""stop"": 1, ""eod"": 1}"
v4_norung_stop_trail	036930	20260909	True	13.2473	7	7	11439200.0000	11500000.0000	60800.0000	25189.5200	1677089.4000	1.5020	0.2503	-1.6706	"{""tp"": 2, ""trail"": 4, ""eod"": 1}"
