ticker	ymd	live_buys	live_sells	live_buy_qty	live_sell_qty	live_buy_avg	live_first_buy_hms	live_realized	aligned_prev	open_dev_pct	rp_buys	rp_sells	rp_buy_notional	rp_net	mae_pct	exits	rp_buy_avg
000500	20260911	3	0	8	0	249125.00	09:40	0.00	True	22.61	4	3	5422500.00	80451.38	-0.99	"{""tp"": 2, ""eod"": 1}"	
000720	20260911	4	2	15	4	133506.67	09:00	8156.36	True	7.97	2	2	3288400.00	60731.76	-0.60	"{""tp"": 1, ""eod"": 1}"	
000880	20260911	1	1	1	1	135200.00	09:53	1682.46	False	8.59	0	0	0.00	0.00	0.00	{}	
001820	20260911	5	0	22	0	137459.09	09:16	0.00	True	14.26	7	5	9572200.00	150383.95	-5.62	"{""tp"": 4, ""eod"": 1}"	
003490	20260909	1	0	9	0	29850.00	09:57	0.00	True	9.17	1	1	1688400.00	-24786.02	-1.82	"{""eod"": 1}"	
003550	20260908	1	0	10	0	122500.00	13:40	0.00	True	7.69	2	1	2317000.00	-68731.54	-2.92	"{""eod"": 1}"	
004090	20260911	6	1	213	38	12828.87	09:16	-21356.06	True	25.58	4	1	4069220.00	-277394.28	-9.15	"{""eod"": 1}"	
004310	20260911	6	3	426	205	9984.65	09:40	33702.08	True	43.44	0	0	0.00	0.00	0.00	{}	
004770	20260911	1	0	31	0	2280.00	09:16	0.00	True	14.19	6	2	6585310.00	-145377.55	-5.01	"{""tp"": 1, ""eod"": 1}"	
008930	20260908	1	0	24	0	58600.00	14:48	0.00	True	16.28	12	4	12765800.00	131306.33	-3.19	"{""tp"": 3, ""eod"": 1}"	
010170	20260911	1	0	10	0	14310.00	09:18	0.00	True	5.76	1	1	1695750.00	-18314.75	-0.98	"{""eod"": 1}"	
010950	20260909	1	0	5	0	159000.00	09:08	0.00	True	8.51	3	2	3907600.00	43948.75	-1.75	"{""tp"": 1, ""eod"": 1}"	
010950	20260910	0	1	0	2	0.00		-6009.57	True	12.41	3	1	3211500.00	-143128.58	-6.93	"{""eod"": 1}"	
014530	20260911	2	0	302	0	3451.72	09:16	0.00	True	8.95	3	1	3289545.00	-77128.21	-4.25	"{""eod"": 1}"	
