tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~35	off	none	2020covid	True	False	24327	248	12	-0.0341	-0.0277	-0.0064	-0.0522	-0.0039	-0.1504	0.8832	0.5000	-4.1860	-9.8039	-1.7324	-8.5537	6.1390	41.0489	0.0630	0.8371	0.0000	0.0000	
False	5~35	off	none	2022bear	True	True	14318	246	12	-0.2921	-0.1978	-0.0943	-0.1146	-0.0464	-1.3260	0.2117	0.3333	-4.4769	-11.8276	-1.7331	-18.4134	7.1717	35.1382	0.0513	0.7665	0.0000	0.0001	
False	5~35	off	none	2024blackmon	True	False	17196	245	13	-0.1657	-0.1374	-0.0283	-0.0443	-0.0189	-0.7144	0.4887	0.3846	-4.3619	-10.9091	-1.8303	-12.2095	6.4246	39.2240	0.0563	0.8028	0.0000	0.0000	
False	5~35	off	none	2026now	True	False	13125	145	9	-0.1163	-0.1462	0.0299	-0.0281	0.0180	0.4374	0.6734	0.6667	-4.4944	-10.6646	-1.8824	-10.7224	5.1288	49.1339	0.0555	0.8661	0.0000	0.0001	
False	5~35	off	none	all4	True	False	68966	884	46	-0.1361	-0.1249	-0.0113	-0.0615	-0.0149	-0.9565	0.3439	0.4565	-4.3478	-10.6091	-1.7810		6.2324		0.0571	0.8194	0.0000		
False	5~35	off	2.5	2020covid	False	False	24327	248	12	-0.1564	-0.1191	-0.0373	-0.0482	-0.0471	-6.2035	0.0001	0.0833	-3.2178	-4.8450	-1.7324	-11.0844	1.3215	190.6932	0.1147	0.3459	0.6541	0.0000	
False	5~35	off	2.5	2022bear	False	True	14318	246	12	-0.1625	-0.1145	-0.0480	-0.0572	-0.0521	-4.0636	0.0019	0.0000	-3.2343	-4.9324	-1.7331	-11.1784	1.4450	174.3988	0.1153	0.3373	0.6623	0.0000	
False	5~35	off	2.5	2024blackmon	False	False	17196	245	13	-0.1694	-0.1230	-0.0464	-0.0441	-0.0371	-4.8121	0.0004	0.1538	-3.3132	-5.0327	-1.8303	-12.3628	1.3439	187.5116	0.1159	0.3275	0.6700	0.0000	
False	5~35	off	2.5	2026now	False	False	13125	145	9	-0.1796	-0.1670	-0.0127	-0.0033	-0.0008	-0.0350	0.9729	0.3333	-3.5994	-5.9508	-1.8824	-8.6748	1.2018	209.6805	0.1162	0.3164	0.6819	0.0000	
False	5~35	off	2.5	all4	False	False	68966	884	46	-0.1653	-0.1267	-0.0386	-0.0406	-0.0365	-5.5138	0.0000	0.1304	-3.3101	-5.0926	-1.7810		1.3299		0.1154	0.3339	0.6651		0.0000
