tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~35	off	none	2020covid	True	False	23720	248	12	-0.0296	-0.0277	-0.0019	-0.0479	0.0013	0.0502	0.9609	0.5833	-4.1096	-9.7005	-1.6946	-8.7032	6.2038	40.6206	0.0633	0.8377	0.0000	0.0000	
False	5~35	off	none	2022bear	True	True	13785	246	12	-0.2894	-0.1978	-0.0916	-0.1062	-0.0400	-1.2366	0.2420	0.3333	-4.3991	-11.8211	-1.6766	-18.1229	7.2729	34.6492	0.0516	0.7629	0.0000	0.0001	
False	5~35	off	none	2024blackmon	True	False	16485	245	13	-0.1661	-0.1374	-0.0287	-0.0485	-0.0258	-0.8843	0.3939	0.3077	-4.3478	-10.9636	-1.7995	-12.3806	6.5462	38.4957	0.0565	0.7987	0.0000	0.0000	
False	5~35	off	none	2026now	True	False	12481	145	9	-0.1159	-0.1462	0.0303	-0.0232	0.0102	0.2345	0.8205	0.7778	-4.4524	-10.6275	-1.8816	-10.6698	5.1917	48.5395	0.0556	0.8639	0.0000	0.0001	
False	5~35	off	none	all4	True	False	66471	884	46	-0.1335	-0.1249	-0.0087	-0.0584	-0.0154	-0.9696	0.3374	0.4783	-4.3000	-10.5732	-1.7493		6.3204		0.0574	0.8174	0.0000		
False	5~35	off	2.5	2020covid	False	False	23720	248	12	-0.1499	-0.1191	-0.0308	-0.0428	-0.0399	-4.5937	0.0008	0.0833	-3.1673	-4.7320	-1.6946	-10.7051	1.3505	186.5909	0.1145	0.3531	0.6469	0.0000	
False	5~35	off	2.5	2022bear	False	True	13785	246	12	-0.1571	-0.1145	-0.0426	-0.0513	-0.0449	-3.5351	0.0047	0.0000	-3.1847	-4.8423	-1.6766	-10.8096	1.4715	171.2507	0.1150	0.3437	0.6559	0.0000	
False	5~35	off	2.5	2024blackmon	False	False	16485	245	13	-0.1661	-0.1230	-0.0431	-0.0429	-0.0363	-4.0433	0.0016	0.1538	-3.2746	-4.9612	-1.7995	-12.2455	1.3625	184.9526	0.1158	0.3313	0.6661	0.0000	
False	5~35	off	2.5	2026now	False	False	12481	145	9	-0.1799	-0.1670	-0.0129	0.0099	0.0154	0.4106	0.6922	0.3333	-3.5514	-5.8442	-1.8816	-8.6787	1.2210	206.3923	0.1162	0.3162	0.6819	0.0000	
False	5~35	off	2.5	all4	False	False	66471	884	46	-0.1610	-0.1267	-0.0343	-0.0347	-0.0293	-3.2580	0.0021	0.1304	-3.2609	-5.0000	-1.7493		1.3543		0.1152	0.3388	0.6601		0.0235
False	5~35	off	6	2020covid	False	False	23720	248	12	-0.1362	-0.1058	-0.0304	-0.0539	-0.0369	-2.6094	0.0243	0.2500	-4.1096	-6.9007	-1.6946	-10.2757	2.3878	105.5358	0.0736	0.6172	0.3808	0.0000	
False	5~35	off	6	2022bear	False	True	13785	246	12	-0.1844	-0.1498	-0.0346	-0.0466	-0.0251	-1.0250	0.3274	0.5000	-4.3991	-7.1429	-1.6766	-12.4009	2.6233	96.0627	0.0724	0.5802	0.4157	0.0000	
False	5~35	off	6	2024blackmon	False	False	16485	245	13	-0.1677	-0.1425	-0.0252	-0.0373	-0.0230	-1.4845	0.1635	0.3846	-4.3478	-7.0838	-1.7995	-12.8401	2.2934	109.8826	0.0731	0.5900	0.4053	0.0000	
False	5~35	off	6	2026now	False	False	12481	145	9	-0.1659	-0.1731	0.0072	-0.0221	-0.0127	-0.3655	0.7242	0.3333	-4.4524	-7.4672	-1.8816	-9.9534	1.7878	140.9524	0.0729	0.5947	0.4034	0.0000	
False	5~35	off	6	all4	False	False	66471	884	46	-0.1596	-0.1392	-0.0203	-0.0411	-0.0252	-2.3744	0.0219	0.3696	-4.3000	-7.0845	-1.7493		2.3006		0.0731	0.5985	0.3984		0.1205
False	5~35	on	none	2020covid	False	False	12644	245	12	-0.0501	-0.0277	-0.0224	-0.0777	-0.0114	-0.2631	0.7973	0.2500	-4.0000	-9.6224	-1.6509	-9.7344	6.4224	39.2376	0.0623	0.8306	0.0000	0.0000	
False	5~35	on	none	2022bear	False	True	5076	246	12	-0.2868	-0.1978	-0.0890	-0.1249	-0.0437	-0.7784	0.4528	0.4167	-4.1376	-11.2566	-1.5723	-19.7852	7.4736	33.7187	0.0519	0.7593	0.0000	0.0000	
False	5~35	on	none	2024blackmon	False	False	8346	245	13	-0.1334	-0.1374	0.0040	-0.0047	0.0343	1.2079	0.2503	0.5385	-4.0978	-10.3052	-1.6618	-9.8924	6.7920	37.1025	0.0589	0.7936	0.0000	0.0000	
False	5~35	on	none	2026now	False	False	8296	145	9	-0.0611	-0.1462	0.0851	-0.0033	0.0624	1.0287	0.3337	0.7778	-4.1983	-10.0925	-1.7286	-10.1782	5.2463	48.0342	0.0589	0.8674	0.0000	0.0001	
False	5~35	on	none	all4	False	False	34362	881	46	-0.1080	-0.1249	0.0169	-0.0548	0.0075	0.3224	0.7487	0.4783	-4.0874	-10.0648	-1.6593		6.3835		0.0589	0.8199	0.0000		0.9150
False	5~35	on	2.5	2020covid	False	False	12644	245	12	-0.1426	-0.1191	-0.0235	-0.0388	-0.0299	-3.3425	0.0066	0.1667	-3.1083	-4.5633	-1.6509	-10.5745	1.3803	182.5744	0.1144	0.3606	0.6394	0.0000	
False	5~35	on	2.5	2022bear	False	True	5076	246	12	-0.1404	-0.1145	-0.0259	-0.0384	-0.0310	-2.4154	0.0343	0.2500	-3.0546	-4.6671	-1.5723	-9.9114	1.5888	158.6053	0.1146	0.3617	0.6377	0.0000	
False	5~35	on	2.5	2024blackmon	False	False	8346	245	13	-0.1495	-0.1230	-0.0266	-0.0346	-0.0243	-2.2181	0.0466	0.3077	-3.1536	-4.7619	-1.6618	-11.5215	1.4980	168.2284	0.1157	0.3480	0.6470	0.0000	
False	5~35	on	2.5	2026now	False	False	8296	145	9	-0.1598	-0.1670	0.0071	0.0429	0.0491	1.0898	0.3075	0.4444	-3.3823	-5.4828	-1.7286	-8.0039	1.2763	197.4492	0.1157	0.3381	0.6591	0.0000	
False	5~35	on	2.5	all4	False	False	34362	881	46	-0.1481	-0.1267	-0.0214	-0.0215	-0.0132	-1.2188	0.2293	0.2826	-3.1712	-4.8217	-1.6593		1.4146		0.1151	0.3523	0.6457		0.4736
False	5~35	on	6	2020covid	False	False	12644	245	12	-0.1278	-0.1058	-0.0220	-0.0569	-0.0308	-1.6200	0.1335	0.2500	-4.0000	-6.8401	-1.6509	-10.8298	2.4882	101.2774	0.0741	0.6208	0.3776	0.0000	
False	5~35	on	6	2022bear	False	True	5076	246	12	-0.1499	-0.1498	-0.0002	-0.0241	0.0015	0.0761	0.9407	0.5833	-4.1376	-6.9853	-1.5723	-10.8454	2.8745	87.6672	0.0737	0.6017	0.3936	0.0000	
