period	variant	paired_n	mean_diff_pct	mean_diff_r	t_daily	p_daily	days	t_trade	p_trade	alt_better	same	trades_v1	trades_alt
2020covid	V2_or_today	5073	0.00018	0.00003	0.40235	0.68777	247	0.14919	0.88141	0.00059	0.99882	5076	5073
2020covid	V3_band_only	5073	0.00365	0.00061	1.23458	0.21817	247	1.36376	0.17270	0.00315	0.99487	5076	5073
2020covid	V4_today	5076	0.00706	0.00118	1.30441	0.19331	247	1.40006	0.16156	0.01221	0.97833	5076	5076
2022bear	V2_or_today	4885	0.00008	0.00001	0.08460	0.93265	245	0.11580	0.90782	0.00020	0.99959	4885	4885
2022bear	V3_band_only	4885	-0.00045	-0.00008	-0.23040	0.81797	245	-0.16239	0.87100	0.00348	0.99284	4885	4885
2022bear	V4_today	4885	0.00724	0.00121	1.37366	0.17081	245	1.48835	0.13672	0.01187	0.97912	4885	4885
2024blackmon	V2_or_today	5084	-0.00148	-0.00025	-1.20658	0.22877	244	-1.09337	0.27428	0.00039	0.99862	5086	5084
2024blackmon	V3_band_only	5083	-0.00010	-0.00002	-0.08915	0.92903	244	-0.04018	0.96795	0.00197	0.99567	5086	5083
2024blackmon	V4_today	5086	0.00754	0.00126	1.75657	0.08025	244	1.76600	0.07746	0.01081	0.98289	5086	5086
2026now	V2_or_today	2936	-0.00011	-0.00002	-1.00000	0.31900	144	-1.00000	0.31739	0.00000	0.99966	2937	2936
2026now	V3_band_only	2936	-0.00284	-0.00047	-1.33696	0.18336	144	-1.78313	0.07467	0.00000	0.99864	2937	2936
2026now	V4_today	2937	-0.00325	-0.00054	-0.62554	0.53261	144	-0.62196	0.53402	0.00545	0.98876	2937	2937
