period	variant	paired_n	mean_diff_pct	mean_diff_r	t_daily	p_daily	days	t_trade	p_trade	alt_better	same	trades_v1	trades_alt
2020covid	V2_or_today	1820	0.25700	0.04283	1.58426	0.11442	247	2.01216	0.04435	0.01484	0.96044	1872	1820
2020covid	V3_band_only	1612	0.91931	0.15322	2.62719	0.00915	247	3.29814	0.00099	0.14330	0.57940	1872	1612
2020covid	V4_today	1872	0.01014	0.00169	-0.66889	0.50419	247	0.13810	0.89017	0.23718	0.51549	1872	1872
2022bear	V2_or_today	1746	-0.05880	-0.00980	-0.59182	0.55452	243	-0.99793	0.31845	0.00687	0.96277	1786	1746
2022bear	V3_band_only	1610	-0.49944	-0.08324	-2.94878	0.00350	243	-2.95950	0.00313	0.07702	0.64969	1786	1610
2022bear	V4_today	1786	0.21923	0.03654	2.14076	0.03329	244	2.81204	0.00498	0.23852	0.56607	1786	1786
2024blackmon	V2_or_today	1661	0.09103	0.01517	1.01438	0.31141	244	1.16830	0.24285	0.01084	0.96809	1702	1661
2024blackmon	V3_band_only	1501	-0.22017	-0.03669	-1.45710	0.14638	244	-0.92940	0.35283	0.08261	0.64490	1702	1501
2024blackmon	V4_today	1702	0.08408	0.01401	1.11155	0.26743	244	1.08891	0.27635	0.23149	0.56933	1702	1702
2026now	V2_or_today	968	0.13049	0.02175	-0.49866	0.61880	141	0.88329	0.37730	0.01756	0.95868	1001	968
2026now	V3_band_only	863	0.99131	0.16522	0.58804	0.55745	141	2.28748	0.02241	0.12283	0.64195	1001	863
2026now	V4_today	1001	0.03973	0.00662	0.55135	0.58227	141	0.27740	0.78153	0.23976	0.56444	1001	1001
