period	variant	paired_n	mean_diff_pct	mean_diff_r	t_daily	p_daily	days	t_trade	p_trade	alt_better	same	trades_v1	trades_alt
2020covid	V2_or_today	4370	0.11778	0.01963	1.68490	0.09328	247	1.92277	0.05457	0.01236	0.96384	4504	4370
2020covid	V3_band_only	3802	0.43029	0.07172	3.16326	0.00176	247	2.82317	0.00478	0.13177	0.58075	4504	3802
2020covid	V4_today	4504	0.03461	0.00577	-0.88446	0.37731	247	0.74724	0.45495	0.24201	0.53663	4504	4504
2022bear	V2_or_today	2918	-0.06538	-0.01090	-1.73667	0.08372	243	-1.42317	0.15479	0.00891	0.95956	3015	2918
2022bear	V3_band_only	2641	-0.54316	-0.09053	-3.23954	0.00137	243	-4.19107	0.00003	0.07611	0.63423	3015	2641
2022bear	V4_today	3015	0.19218	0.03203	2.21692	0.02755	244	3.36999	0.00076	0.24245	0.55821	3015	3015
2024blackmon	V2_or_today	3253	0.01625	0.00271	0.20824	0.83522	244	0.35160	0.72516	0.00861	0.97203	3331	3253
2024blackmon	V3_band_only	2910	-0.40124	-0.06687	-2.38117	0.01803	244	-2.67416	0.00753	0.08557	0.63058	3331	2910
2024blackmon	V4_today	3331	0.10907	0.01818	1.59497	0.11202	244	1.90413	0.05698	0.25938	0.55119	3331	3331
2026now	V2_or_today	2414	0.09339	0.01557	-0.09858	0.92161	141	1.24442	0.21347	0.01326	0.96603	2495	2414
2026now	V3_band_only	2129	0.63470	0.10578	0.02536	0.97981	141	2.62269	0.00879	0.11555	0.63175	2495	2129
2026now	V4_today	2495	0.09314	0.01552	0.56617	0.57219	141	1.10645	0.26864	0.24689	0.57275	2495	2495
