period	variant	paired_n	mean_diff_pct	mean_diff_r	t_daily	p_daily	days	t_trade	p_trade	alt_better	same	trades_v1	trades_alt
2020covid	V2_or_today	5073	0.00018	0.00003	0.40235	0.68777	247	0.14919	0.88141	0.00059	0.99882	5076	5073
2020covid	V3_band_only	5073	0.00365	0.00061	1.23458	0.21817	247	1.36376	0.17270	0.00315	0.99487	5076	5073
2020covid	V4_today	5076	0.00381	0.00063	0.74930	0.45439	247	0.74707	0.45506	0.01162	0.97833	5076	5076
2022bear	V2_or_today	4885	0.00008	0.00001	0.08460	0.93265	245	0.11580	0.90782	0.00020	0.99959	4885	4885
2022bear	V3_band_only	4885	0.00068	0.00011	0.15274	0.87873	245	0.23991	0.81041	0.00368	0.99284	4885	4885
2022bear	V4_today	4885	0.00273	0.00046	0.53132	0.59568	245	0.57714	0.56387	0.01105	0.97912	4885	4885
2024blackmon	V2_or_today	5084	-0.00148	-0.00025	-1.20658	0.22877	244	-1.09337	0.27428	0.00039	0.99862	5086	5084
2024blackmon	V3_band_only	5083	0.00099	0.00016	0.28941	0.77251	244	0.40365	0.68649	0.00216	0.99567	5086	5083
2024blackmon	V4_today	5086	0.00429	0.00072	1.06854	0.28634	244	0.98266	0.32582	0.01022	0.98289	5086	5086
2026now	V2_or_today	2936	-0.00011	-0.00002	-1.00000	0.31900	144	-1.00000	0.31739	0.00000	0.99966	2937	2936
2026now	V3_band_only	2936	-0.00284	-0.00047	-1.33696	0.18336	144	-1.78313	0.07467	0.00000	0.99864	2937	2936
2026now	V4_today	2937	-0.01074	-0.00179	-2.10718	0.03685	144	-1.96810	0.04915	0.00409	0.98876	2937	2937
