period	variant	trades	net_mean	r_mean	win_rate	hold_days_mean	cost_total_pct	sum_net	ex_zone	ex_stop	ex_gap	ex_tp	ex_trunc
2020covid	V1_current	5076	-0.9252	-0.1542	0.3473	1.3306	1573.5600	-4696.0830	48	3178	95	1741	14
2020covid	V2_or_today	5073	-0.9263	-0.1544	0.3471	1.3331	1572.6300	-4699.2794	42	3180	95	1742	14
2020covid	V3_band_only	5073	-0.9229	-0.1538	0.3479	1.3392	1572.6300	-4681.6880	22	3185	96	1755	15
2020covid	V4_today	5076	-0.9181	-0.1530	0.3469	1.3087	1573.5600	-4660.2444	130	3138	87	1707	14
2022bear	V1_current	4885	-0.9717	-0.1619	0.3374	1.3789	1514.3500	-4746.5120	44	3111	97	1625	8
2022bear	V2_or_today	4885	-0.9716	-0.1619	0.3374	1.3793	1514.3500	-4746.1161	42	3112	97	1626	8
2022bear	V3_band_only	4885	-0.9721	-0.1620	0.3369	1.3973	1514.3500	-4748.7135	14	3122	99	1642	8
2022bear	V4_today	4885	-0.9644	-0.1607	0.3367	1.3576	1514.3500	-4711.1546	113	3076	88	1601	7
2024blackmon	V1_current	5086	-0.8406	-0.1401	0.3592	1.3101	1576.6600	-4275.4851	40	3146	74	1815	11
2024blackmon	V2_or_today	5084	-0.8424	-0.1404	0.3592	1.3116	1576.0400	-4282.8715	33	3149	75	1816	11
2024blackmon	V3_band_only	5083	-0.8407	-0.1401	0.3600	1.3160	1575.7300	-4273.0473	19	3155	75	1823	11
2024blackmon	V4_today	5086	-0.8331	-0.1389	0.3602	1.2928	1576.6600	-4237.1524	107	3107	70	1793	9
2026now	V1_current	2937	-1.0699	-0.1783	0.3180	1.1427	910.4700	-3142.2090	11	1974	22	928	2
2026now	V2_or_today	2936	-1.0701	-0.1784	0.3178	1.1431	910.1600	-3141.8165	10	1974	22	928	2
2026now	V3_band_only	2936	-1.0728	-0.1788	0.3171	1.1441	910.1600	-3149.8255	8	1974	23	928	3
2026now	V4_today	2937	-1.0731	-0.1789	0.3153	1.1311	910.4700	-3151.7591	39	1960	20	916	2
