period	variant	trades	net_mean	r_mean	win_rate	hold_days_mean	cost_total_pct	sum_net	ex_zone	ex_stop	ex_gap	ex_tp	ex_trunc
2020covid	V1_current	1872	0.4628	0.0771	0.3643	6.4044	580.3200	866.4440	1831	0	0	0	41
2020covid	V2_or_today	1820	0.5517	0.0920	0.3593	6.6643	564.2000	1004.1198	1777	0	0	0	43
2020covid	V3_band_only	1612	1.1226	0.1871	0.3170	8.9994	499.7200	1809.6276	1552	0	0	0	60
2020covid	V4_today	1872	0.4730	0.0788	0.3547	5.9076	580.3200	885.4332	1833	0	0	0	39
2022bear	V1_current	1786	-2.9527	-0.4921	0.2503	5.8791	553.6600	-5273.6054	1739	0	0	0	47
2022bear	V2_or_today	1746	-3.0425	-0.5071	0.2388	6.0762	541.2600	-5312.1249	1698	0	0	0	48
2022bear	V3_band_only	1610	-3.6078	-0.6013	0.2031	7.6435	499.1000	-5808.5902	1553	0	0	0	57
2022bear	V4_today	1786	-2.7335	-0.4556	0.2447	5.4289	553.6600	-4882.0674	1743	0	0	0	43
2024blackmon	V1_current	1702	-1.3336	-0.2223	0.3067	6.1475	527.6200	-2269.7856	1667	0	0	0	35
2024blackmon	V2_or_today	1661	-1.3508	-0.2251	0.2986	6.3480	514.9100	-2243.7585	1625	0	0	0	36
2024blackmon	V3_band_only	1501	-1.5809	-0.2635	0.2625	8.0993	465.3100	-2372.9816	1459	0	0	0	42
2024blackmon	V4_today	1702	-1.2495	-0.2083	0.2955	5.7068	527.6200	-2126.6876	1671	0	0	0	31
2026now	V1_current	1001	-0.1259	-0.0210	0.3556	5.6414	310.3100	-125.9966	989	0	0	0	12
2026now	V2_or_today	968	0.0344	0.0057	0.3461	5.8771	300.0800	33.2932	956	0	0	0	12
2026now	V3_band_only	863	0.9143	0.1524	0.3140	7.7126	267.5300	789.0586	850	0	0	0	13
2026now	V4_today	1001	-0.0861	-0.0144	0.3536	5.1978	310.3100	-86.2232	989	0	0	0	12
