period	variant	trades	net_mean	r_mean	win_rate	hold_days_mean	cost_total_pct	sum_net	ex_zone	ex_stop	ex_gap	ex_tp	ex_trunc
2020covid	V1_current	4504	-0.1796	-0.0299	0.3381	7.0349	1396.2400	-809.0148	4399	0	0	0	105
2020covid	V2_or_today	4370	-0.1387	-0.0231	0.3309	7.2805	1354.7000	-605.9505	4259	0	0	0	111
2020covid	V3_band_only	3802	0.2052	0.0342	0.3269	9.6526	1178.6200	780.1174	3648	0	0	0	154
2020covid	V4_today	4504	-0.1450	-0.0242	0.3255	6.5544	1396.2400	-653.1301	4406	0	0	0	98
2022bear	V1_current	3015	-3.1657	-0.5276	0.2401	6.4335	934.6500	-9544.4852	2925	0	0	0	90
2022bear	V2_or_today	2918	-3.2708	-0.5451	0.2276	6.6758	904.5800	-9544.2196	2828	0	0	0	90
2022bear	V3_band_only	2641	-3.8917	-0.6486	0.2030	8.3904	818.7100	-10278.0569	2539	0	0	0	102
2022bear	V4_today	3015	-2.9735	-0.4956	0.2355	5.9751	934.6500	-8965.0486	2936	0	0	0	79
2024blackmon	V1_current	3331	-2.1837	-0.3640	0.2843	6.7259	1032.6100	-7273.9048	3270	0	0	0	61
2024blackmon	V2_or_today	3253	-2.2365	-0.3728	0.2785	6.9069	1008.4300	-7275.3406	3191	0	0	0	62
2024blackmon	V3_band_only	2910	-2.5804	-0.4301	0.2522	8.6942	902.1000	-7508.8502	2825	0	0	0	85
2024blackmon	V4_today	3331	-2.0746	-0.3458	0.2720	6.2675	1032.6100	-6910.5909	3277	0	0	0	54
2026now	V1_current	2495	0.1873	0.0312	0.3567	6.4573	773.4500	467.2238	2482	0	0	0	13
2026now	V2_or_today	2414	0.2458	0.0410	0.3492	6.6860	748.3400	593.4703	2401	0	0	0	13
2026now	V3_band_only	2129	0.7754	0.1292	0.3405	8.5698	659.9900	1650.8502	2115	0	0	0	14
2026now	V4_today	2495	0.2804	0.0467	0.3563	6.0240	773.4500	699.6078	2483	0	0	0	12
