period	variant	trades	net_mean	r_mean	win_rate	hold_days_mean	cost_total_pct	sum_net	ex_zone	ex_stop	ex_gap	ex_tp	ex_trunc
2020covid	V1_current	5076	-0.0562	-0.0094	0.5053	1.3306	1573.5600	-285.0830	48	2376	95	2543	14
2020covid	V2_or_today	5073	-0.0568	-0.0095	0.5052	1.3331	1572.6300	-288.2794	42	2378	95	2544	14
2020covid	V3_band_only	5073	-0.0534	-0.0089	0.5060	1.3392	1572.6300	-270.6880	22	2383	96	2557	15
2020covid	V4_today	5076	-0.0524	-0.0087	0.5043	1.3087	1573.5600	-265.7444	130	2339	87	2506	14
2022bear	V1_current	4885	-0.1610	-0.0268	0.4847	1.3789	1514.3500	-786.5120	44	2391	97	2345	8
2022bear	V2_or_today	4885	-0.1609	-0.0268	0.4847	1.3793	1514.3500	-786.1161	42	2392	97	2346	8
2022bear	V3_band_only	4885	-0.1603	-0.0267	0.4845	1.3973	1514.3500	-783.2135	14	2401	99	2363	8
2022bear	V4_today	4885	-0.1583	-0.0264	0.4833	1.3576	1514.3500	-773.1546	113	2360	88	2317	7
2024blackmon	V1_current	5086	-0.0728	-0.0121	0.4988	1.3101	1576.6600	-370.4851	40	2436	74	2525	11
2024blackmon	V2_or_today	5084	-0.0743	-0.0124	0.4988	1.3116	1576.0400	-377.8715	33	2439	75	2526	11
2024blackmon	V3_band_only	5083	-0.0713	-0.0119	0.4999	1.3160	1575.7300	-362.5473	19	2444	75	2534	11
2024blackmon	V4_today	5086	-0.0686	-0.0114	0.4992	1.2928	1576.6600	-348.6524	107	2400	70	2500	9
2026now	V1_current	2937	0.1305	0.0218	0.5363	1.1427	910.4700	383.2910	11	1333	22	1569	2
2026now	V2_or_today	2936	0.1307	0.0218	0.5361	1.1431	910.1600	383.6835	10	1333	22	1569	2
2026now	V3_band_only	2936	0.1280	0.0213	0.5354	1.1441	910.1600	375.6745	8	1333	23	1569	3
2026now	V4_today	2937	0.1198	0.0200	0.5322	1.1311	910.4700	351.7409	39	1323	20	1553	2
