stop	stop_pct_med	period	holdout	n	n_days	n_months	gate_r	pool_r	excess_r	excess_t	excess_p	excess_n_months	paired_dr	paired_t	paired_p	paired_beat	win_rate	mae_med	hold_mean	tp_rate	stop_rate	trunc_rate
none	0.0000	2020covid	False	24327	248	12	-0.0341	-0.0277	-0.0039	-0.1504	0.8832	12	0.1318	1.3557	0.2024	0.8333	0.8383	-4.1860	6.1390	0.8371	0.0000	0.0000
none	0.0000	2022bear	True	14318	246	12	-0.2921	-0.1978	-0.0464	-1.3260	0.2117	12	-0.0748	-1.1257	0.2843	0.5000	0.7691	-4.4769	7.1717	0.7665	0.0000	0.0001
none	0.0000	2024blackmon	False	17196	245	13	-0.1657	-0.1374	-0.0189	-0.7144	0.4887	13	-0.0096	-0.1891	0.8531	0.5385	0.8066	-4.3619	6.4246	0.8028	0.0000	0.0000
none	0.0000	2026now	False	13125	145	9	-0.1163	-0.1462	0.0180	0.4374	0.6734	9	0.0928	0.9364	0.3765	0.7778	0.8672	-4.4944	5.1288	0.8661	0.0000	0.0001
none	0.0000	all4	False	68966	884	46	-0.1361	-0.1249	-0.0149	-0.9565	0.3439	46	0.0303	0.7651	0.4482	0.6522	0.8215	-4.3478	6.2324	0.8194	0.0000	0.0001
pct2.5	2.5000	2020covid	False	24327	248	12	-0.1564	-0.1191	-0.0471	-6.2035	0.0001	12	0.0000			0.0000	0.3459	-3.2178	1.3215	0.3459	0.6541	0.0000
pct2.5	2.5000	2022bear	True	14318	246	12	-0.1625	-0.1145	-0.0521	-4.0636	0.0019	12	0.0000			0.0000	0.3375	-3.2343	1.4450	0.3373	0.6623	0.0000
pct2.5	2.5000	2024blackmon	False	17196	245	13	-0.1694	-0.1230	-0.0371	-4.8121	0.0004	13	0.0000			0.0000	0.3293	-3.3132	1.3439	0.3275	0.6700	0.0000
pct2.5	2.5000	2026now	False	13125	145	9	-0.1796	-0.1670	-0.0008	-0.0350	0.9729	9	0.0000			0.0000	0.3170	-3.5994	1.2018	0.3164	0.6819	0.0000
pct2.5	2.5000	all4	False	68966	884	46	-0.1653	-0.1267	-0.0365	-5.5138	0.0000	46	0.0000			0.0000	0.3345	-3.3101	1.3299	0.3339	0.6651	0.0000
pct6	6.0000	2020covid	False	24327	248	12	-0.1439	-0.1058	-0.0537	-3.5237	0.0048	12	0.0059	0.2601	0.7996	0.5000	0.6122	-4.1860	2.3130	0.6118	0.3864	0.0000
pct6	6.0000	2022bear	True	14318	246	12	-0.1871	-0.1498	-0.0306	-1.3221	0.2130	12	-0.0138	-0.8102	0.4350	0.3333	0.5791	-4.4769	2.5538	0.5780	0.4181	0.0000
pct6	6.0000	2024blackmon	False	17196	245	13	-0.1657	-0.1425	-0.0182	-1.3198	0.2115	13	-0.0033	-0.2269	0.8243	0.5385	0.5935	-4.3619	2.2420	0.5912	0.4043	0.0000
pct6	6.0000	2026now	False	13125	145	9	-0.1699	-0.1731	-0.0257	-1.2310	0.2533	9	-0.0087	-0.3386	0.7437	0.5556	0.5924	-4.4944	1.7429	0.5918	0.4065	0.0000
pct6	6.0000	all4	False	68966	884	46	-0.1633	-0.1392	-0.0322	-3.5399	0.0009	46	-0.0047	-0.4880	0.6279	0.4783	0.5969	-4.3478	2.2368	0.5959	0.4013	0.0000
atr1.5	9.6215	2020covid	False	24327	248	12	-0.1056	-0.0621	-0.0225	-1.3881	0.1926	12	0.0808	2.1557	0.0541	0.6667	0.7279	-4.1667	3.1229	0.7277	0.2649	0.0000
atr1.5	9.6215	2022bear	True	14318	246	12	-0.1874	-0.1338	-0.0398	-1.5029	0.1610	12	-0.0067	-0.2119	0.8360	0.5833	0.6780	-4.3698	3.1808	0.6774	0.3178	0.0000
atr1.5	9.6215	2024blackmon	False	17196	245	13	-0.1602	-0.1452	-0.0044	-0.3003	0.7691	13	0.0109	0.3997	0.6964	0.5385	0.7037	-4.2994	2.9705	0.7018	0.2904	0.0000
atr1.5	9.6215	2026now	False	13125	145	9	-0.1284	-0.1697	0.0210	0.8806	0.4042	9	0.0608	1.1248	0.2933	0.5556	0.7596	-4.4872	2.5314	0.7590	0.2383	0.0000
atr1.5	9.6215	all4	False	68966	884	46	-0.1405	-0.1227	-0.0134	-1.2909	0.2033	46	0.0343	1.8628	0.0690	0.5870	0.7175	-4.3051	2.9843	0.7168	0.2772	0.0000
atr2.0	12.8286	2020covid	False	24327	248	12	-0.0859	-0.0469	-0.0163	-0.7756	0.4543	12	0.1022	2.2319	0.0474	0.7500	0.7800	-4.1841	3.9358	0.7794	0.1971	0.0000
atr2.0	12.8286	2022bear	True	14318	246	12	-0.2137	-0.1496	-0.0418	-1.1864	0.2605	12	-0.0239	-0.6512	0.5283	0.4167	0.7221	-4.4535	4.1097	0.7212	0.2581	0.0000
atr2.0	12.8286	2024blackmon	False	17196	245	13	-0.1719	-0.1552	-0.0075	-0.4284	0.6760	13	-0.0027	-0.0759	0.9408	0.4615	0.7512	-4.3459	3.8564	0.7488	0.2278	0.0000
atr2.0	12.8286	2026now	False	13125	145	9	-0.1277	-0.1754	0.0193	0.5729	0.5825	9	0.0573	0.8472	0.4215	0.5556	0.8070	-4.4944	3.0610	0.8063	0.1850	0.0001
