variant	window	n_pairs	n_days	n_months	traded_days	entry_rate	mean_r	mean_r_traded	win_rate	net_sum	deployed_sum	avg_win_pct	avg_loss_pct	breakeven_wr	paired_dr	t_month	p_month	paired_dr_cost031	t_month_cost031	p_month_cost031	t_day	p_day	n_days_test	beat_months	mae_med	buy_fills	sell_fills	exit_eod	exit_tp	exit_stop	exit_zone_exit	net_over_deployed_pct
e0_base_stop2.5	full	9272	158	9	8225	0.88708	-0.12715	-0.14334	0.40328	-118240857.14990	13593912098.16890	2.77112	3.31412	0.54462	0.00000			0.00000					158	0.00000	-2.73970	24616	24616	0.31971	0.33759	0.33474	0.00796	-0.86981
e0_base_stop2.5	2025H2	4223	72	4	3753	0.88870	-0.11094	-0.12484	0.40181	-46941189.67090	6225303703.92610	2.67001	3.04563	0.53286	0.00000			0.00000					72	0.00000	-2.68860	10356	10356	0.35023	0.32590	0.31750	0.00637	-0.75404
e0_base_stop2.5	2026now	5049	86	6	4472	0.88572	-0.14071	-0.15887	0.40452	-71299667.47900	7368608394.24280	2.85541	3.54046	0.55355	0.00000			0.00000					86	0.00000	-2.78735	14260	14260	0.29755	0.34607	0.34727	0.00912	-0.96761
e1_atr0.3	full	9272	158	9	8225	0.88708	-0.13410	-0.15118	0.39599	-124087209.69200	13608780482.34060	2.76293	3.31308	0.54527	-0.00924	-1.36604	0.20909	-0.01054	-1.44249	0.18715	-1.93379	0.05494	158	0.22222	-2.36560	26024	26024	0.30257	0.31798	0.37189	0.00757	-0.91182
e1_atr0.3	2025H2	4223	72	4	3753	0.88870	-0.12871	-0.14483	0.39035	-54173085.21470	6232474024.60670	2.62799	3.10806	0.54185	-0.01913	-2.46684	0.09032	-0.02110	-2.55174	0.08382	-4.90813	0.00001	72	0.00000	-2.23050	11439	11439	0.31664	0.29627	0.38159	0.00551	-0.86921
e1_atr0.3	2026now	5049	86	6	4472	0.88572	-0.13862	-0.15650	0.40072	-69914124.47730	7376306457.73390	2.87325	3.48811	0.54833	-0.00118	-0.14951	0.88699	-0.00173	-0.20082	0.84875	0.52855	0.59849	86	0.33333	-2.50960	14585	14585	0.29153	0.33500	0.36428	0.00919	-0.94782
e2_atr0.5	full	9272	158	9	8225	0.88708	-0.08610	-0.09706	0.42796	-79143027.20330	13584248116.66230	2.86713	3.16310	0.52454	0.04074	4.87474	0.00123	0.04417	4.90196	0.00119	8.44240	0.00000	158	1.00000	-2.93230	20105	20105	0.39677	0.37036	0.22263	0.01025	-0.58261
e2_atr0.5	2025H2	4223	72	4	3753	0.88870	-0.08393	-0.09444	0.41753	-35067568.45360	6221973097.43840	2.74369	2.93957	0.51723	0.02604	4.69797	0.01824	0.02854	4.68058	0.01843	6.73963	0.00000	72	1.00000	-2.73720	8881	8881	0.41313	0.34793	0.23094	0.00799	-0.56361
e2_atr0.5	2026now	5049	86	6	4472	0.88572	-0.08792	-0.09927	0.43672	-44075458.74970	7362275019.22390	2.96618	3.35707	0.53091	0.04044	2.50686	0.05404	0.04449	2.64935	0.04546	6.56530	0.00000	86	0.83333	-3.10660	11224	11224	0.38382	0.38810	0.21605	0.01203	-0.59867
e3_atr1.5	full	9272	158	9	8225	0.88708	-0.04453	-0.05020	0.44815	-39274972.91750	13540718242.62270	2.93390	2.92834	0.49953	0.08248	8.44110	0.00003	0.09014	8.52716	0.00003	14.01175	0.00000	158	1.00000	-3.32330	14826	14826	0.54506	0.42925	0.01140	0.01430	-0.29005
e3_atr1.5	2025H2	4223	72	4	3753	0.88870	-0.04565	-0.05137	0.43672	-18426188.72800	6205987948.84080	2.78701	2.70798	0.49281	0.06515	16.07337	0.00052	0.07179	15.74532	0.00056	14.91650	0.00000	72	1.00000	-3.13110	6495	6495	0.57044	0.40724	0.01109	0.01124	-0.29691
e3_atr1.5	2026now	5049	86	6	4472	0.88572	-0.04359	-0.04922	0.45774	-20848784.18950	7334730293.78190	3.05151	3.12044	0.50558	0.08102	4.05735	0.00975	0.08915	4.25560	0.00805	9.81280	0.00000	86	1.00000	-3.48820	8331	8331	0.52527	0.44640	0.01164	0.01668	-0.28425
e4_atr2.0	full	9272	158	9	8225	0.88708	-0.04203	-0.04738	0.44863	-36802701.39510	13537742217.46300	2.93529	2.90395	0.49732	0.08538	7.45812	0.00007	0.09316	7.59436	0.00006	12.24788	0.00000	158	1.00000	-3.32330	14670	14670	0.55119	0.43122	0.00293	0.01466	-0.27185
e4_atr2.0	2025H2	4223	72	4	3753	0.88870	-0.04494	-0.05057	0.43698	-18073136.27460	6205360856.49560	2.78785	2.70269	0.49224	0.06577	15.38716	0.00060	0.07253	15.15839	0.00062	14.99338	0.00000	72	1.00000	-3.13110	6433	6433	0.57594	0.40914	0.00342	0.01150	-0.29125
e4_atr2.0	2026now	5049	86	6	4472	0.88572	-0.03959	-0.04470	0.45841	-18729565.12050	7332381360.96740	3.05325	3.07954	0.50214	0.08497	3.84553	0.01206	0.09320	4.02635	0.01006	8.53508	0.00000	86	1.00000	-3.48820	8237	8237	0.53187	0.44846	0.00255	0.01712	-0.25544
e5_atr2.5	full	9272	158	9	8225	0.88708	-0.04174	-0.04705	0.44839	-36487674.87360	13537268849.97400	2.93579	2.89820	0.49678	0.08567	7.43379	0.00007	0.09349	7.56685	0.00007	12.07112	0.00000	158	1.00000	-3.32330	14628	14628	0.55305	0.43130	0.00096	0.01470	-0.26953
