variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
e0_base_stop2.5	202509	774	1886	1886	-0.1287	-2.5697	0.3695	3128914196.0000	1276255904.4701	-254470.0000	-9953480.5561	9699010.5561	2.4516	38.1146
e0_base_stop2.5	202510	935	2378	2378	-0.0856	-2.5899	0.4460	3919766717.0000	1542689395.7443	4134349.0000	-8027056.9777	12161405.9777	2.5409	2.9416
e0_base_stop2.5	202511	1003	2916	2916	-0.1585	-2.7682	0.3809	4823553324.0000	1666243392.6747	-898251.0000	-15849065.5894	14950814.5894	2.8949	16.6444
e0_base_stop2.5	202512	1089	3306	3306	-0.1221	-2.7397	0.4114	5532741179.0000	1821015768.3700	3723226.0000	-13437393.5586	17160619.5586	3.0383	4.6091
e0_base_stop2.5	202601	1114	3113	3113	-0.0738	-2.6846	0.4515	5116346666.0000	1835057762.7375	7635407.0000	-8243974.4117	15879381.4117	2.7881	2.0797
e0_base_stop2.5	202602	925	2522	2522	-0.0823	-2.6332	0.4486	4094129360.0000	1508888486.4249	5066220.0000	-7637993.2550	12704213.2550	2.7133	2.5076
e0_base_stop2.5	202603	1035	4264	4264	-0.3503	-3.1026	0.3353	7079384246.0000	1734130833.8477	-14532178.0000	-36442665.3265	21910487.3265	4.0824	1.5077
e0_base_stop2.5	202604	1148	3684	3684	-0.1444	-2.7600	0.3763	6081908012.0000	1884150547.3193	2398686.0000	-16461105.6179	18859791.6179	3.2279	7.8626
e0_base_stop2.5	202605	202	547	547	-0.1028	-2.7579	0.4307	881507880.0000	325480006.5783	545890.0000	-2188121.8585	2734011.8585	2.7083	5.0084
e1_atr0.3	202509	774	2241	2241	-0.1658	-1.8665	0.3514	3695180667.0000	1277790744.4680	-1316051.0000	-12767886.7427	11451835.7427	2.8919	8.7017
e1_atr0.3	202510	935	2740	2740	-0.1189	-1.9264	0.4225	4497914010.0000	1545413295.1288	2878998.0000	-11071588.9761	13950586.9761	2.9105	4.8456
e1_atr0.3	202511	1003	3144	3144	-0.1724	-2.4306	0.3789	5186078769.0000	1668138185.4900	-1053206.0000	-17127469.8292	16074263.8292	3.1089	15.2622
e1_atr0.3	202512	1089	3439	3439	-0.1232	-2.4834	0.4050	5743092621.0000	1821985906.5503	4282468.0000	-13531611.1717	17814079.1717	3.1521	4.1598
e1_atr0.3	202601	1114	3539	3539	-0.0925	-2.0969	0.4363	5789851767.0000	1838339930.7609	7705683.0000	-10261736.4010	17967419.4010	3.1495	2.3317
e1_atr0.3	202602	925	2721	2721	-0.0974	-2.1689	0.4368	4402029645.0000	1511735995.1033	4610960.0000	-9046628.7515	13657588.7515	2.9119	2.9620
e1_atr0.3	202603	1035	3924	3924	-0.3164	-3.3245	0.3478	6499201487.0000	1733951212.1694	-12786580.0000	-32902777.4887	20116197.4887	3.7482	1.5732
