variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e0_base_stop2.5	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e1_atr0.3	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e2_atr0.5	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e3_atr1.5	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e4_atr2.0	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e5_atr2.5	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
e6_delay1	012450	20250911	True	3.3687	8.6390	1	1	983000.0000	998000.0000	15000.0000	11915.9500	983638.9500	1.2114	0.2019	-0.2035	"{""eod"": 1}"
e7_delay2	012450	20250911	True	3.3687	8.6390	1	1	984000.0000	998000.0000	14000.0000	10915.3000	984639.6000	1.1086	0.1848	-0.3049	"{""eod"": 1}"
e8_delay3	012450	20250911	True	3.3687	8.6390	1	1	988000.0000	998000.0000	10000.0000	6912.7000	988642.2000	0.6992	0.1165	-0.2024	"{""eod"": 1}"
e9_nostop	012450	20250911	True	3.3687	8.6390	1	1	978000.0000	998000.0000	20000.0000	16919.2000	978635.7000	1.7289	0.2881	-0.1022	"{""eod"": 1}"
