family	category	n_legs	n_days	win_rate	win_rate_low	win_rate_high	mean_pnl	mean_pnl_low	mean_pnl_high	median_pnl	total_pnl	return_pct	return_pct_low	return_pct_high
DISPLACE	교체진입	209	8	0.3923	0.2911	0.4868	-2063.7	-6256.1	2351.1	-1625.2	-431304.2	-0.1364	-0.3658	0.1744
TRENDX	익절밴드	124	8	0.9677	0.9086	1.0000	38731.0	28344.0	54101.6	35633.0	4802645.0	2.9703	2.4628	3.5344
TRENDX	손절	95	6	0.0000	0.0000	0.0000	-43825.0	-55008.1	-38035.0	-43672.7	-4163371.0	-2.8443	-2.9858	-2.7468
ITB	seed-trail	72	8	0.3472	0.1087	0.5926	-16141.9	-52645.1	11696.6	-6207.6	-1162214.5	-0.5558	-2.0302	0.3732
TRENDX	장마감	65	5	0.4000	0.2778	0.6038	-6678.0	-12827.9	-240.7	-2518.6	-434072.2	-0.4417	-0.7826	-0.0186
ITB	본전탈출	34	3	0.0882	0.0000	0.1111	-15337.6	-62011.1	-11257.9	-6943.5	-521477.2	-0.3840	-1.1422	-0.2608
ITB	trail	23	4	0.3478	0.2500	0.6667	-16571.7	-20189.8	2077.6	-1683.4	-381150.1	-0.8672	-1.0172	0.1059
ORPHAN	이전세션	19	4	0.5789	0.2500	0.8667	31208.7	-12244.0	63269.2	454.1	592965.0	1.3113	-0.7051	2.7638
DEVSCALE	장마감	18	3	0.5556	0.3333	0.8000	-2444.8	-18435.7	4920.3	161.0	-44006.4	-0.1914	-0.8810	0.4448
DEVSCALE	익절밴드	17	4	1.0000	1.0000	1.0000	29272.9	17985.4	53103.9	23282.0	497639.6	2.0666	1.3695	2.3677
DEVSCALE	존이탈	13	2	0.2308	0.1000	0.6667	90.1	-857.8	3249.7	-206.3	1171.1	0.0080	-0.0690	0.4501
TRENDX	존이탈	12	6	0.3333	0.0769	0.6923	7676.9	-13392.4	29621.7	-11964.0	92123.3	0.4515	-1.0920	1.9360
STARTUP	기타	5	5	0.4000	0.0000	0.8000	-446.6	-1153.8	309.8	-754.6	-2232.8	-0.1754	-0.4455	0.1236
TRENDX	먼지정리	5	3	0.8000	0.0000	1.0000	260.6	-174.5	418.6	418.4	1303.2	0.3726	-0.1965	1.1098
DEVSCALE	먼지정리	3	2	0.6667	0.5000	1.0000	474.2	293.9	834.8	628.5	1422.5	0.4302	0.4066	0.4486
MANUAL	기타	2	2	0.0000	0.0000	0.0000	-2427.0	-2788.2	-2065.8	-2427.0	-4854.0	-1.4293	-1.4959	-1.3837
