family	category	n_legs	n_days	win_rate	win_rate_low	win_rate_high	mean_pnl	mean_pnl_low	mean_pnl_high	median_pnl	total_pnl	return_pct	return_pct_low	return_pct_high
DISPLACE	교체진입	202	6	0.3911	0.2844	0.4906	-1931.1	-6242.0	2661.2	-1646.2	-390076.6	-0.1313	-0.3747	0.2055
TRENDX	익절밴드	120	6	0.9667	0.9077	1.0000	37076.3	26062.9	50698.6	35633.0	4449152.2	2.8559	2.3371	3.2110
TRENDX	손절	95	6	0.0000	0.0000	0.0000	-43825.0	-55008.1	-38035.0	-43672.7	-4163371.0	-2.8443	-2.9858	-2.7468
TRENDX	장마감	65	5	0.4000	0.2778	0.6038	-6678.0	-12827.9	-240.7	-2518.6	-434072.2	-0.4417	-0.7826	-0.0186
ITB	seed-trail	34	5	0.1471	0.0345	0.3000	-43464.5	-81315.0	-13091.4	-19982.3	-1477793.3	-1.9384	-2.7261	-0.8130
ITB	trail	23	4	0.3478	0.2500	0.6667	-16571.7	-20189.8	2077.6	-1683.4	-381150.1	-0.8672	-1.0172	0.1059
DEVSCALE	장마감	18	3	0.5556	0.3333	0.8000	-2444.8	-18435.7	4920.3	161.0	-44006.4	-0.1914	-0.8810	0.4448
DEVSCALE	익절밴드	16	3	1.0000	1.0000	1.0000	28415.6	15419.3	56475.4	20954.7	454650.2	2.2649	1.7339	2.5696
TRENDX	존이탈	11	5	0.3636	0.0833	0.7778	9740.7	-12541.6	37422.6	-9928.9	107147.2	0.5465	-0.9459	2.5157
ITB	본전탈출	5	1	0.0000			-18698.4			-6168.1	-93491.8	-1.1152		
STARTUP	기타	5	5	0.4000	0.0000	0.8000	-446.6	-1153.8	309.8	-754.6	-2232.8	-0.1754	-0.4455	0.1236
TRENDX	먼지정리	5	3	0.8000	0.0000	1.0000	260.6	-174.5	418.6	418.4	1303.2	0.3726	-0.1965	1.1098
ORPHAN	이전세션	4	2	0.2500	0.0000	0.3333	-12244.0	-12628.0	-11091.8	-27386.2	-48975.9	-0.7051	-0.7703	-0.6880
DEVSCALE	먼지정리	3	2	0.6667	0.5000	1.0000	474.2	293.9	834.8	628.5	1422.5	0.4302	0.4066	0.4486
DEVSCALE	존이탈	3	1	0.6667			3249.7			3947.0	9749.0	0.4501		
MANUAL	기타	2	2	0.0000	0.0000	0.0000	-2427.0	-2788.2	-2065.8	-2427.0	-4854.0	-1.4293	-1.4959	-1.3837
