variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
c_take1.0_stop3.0_f0	202509	109	165	99	0.0528	-1.1986	0.5138	347168570.0000	229442181.1655	1220745.0000	735873.2112	484871.7888	1.5131	0.3972
c_take1.0_stop3.0_f0	202510	179	318	239	0.0902	-1.3699	0.6816	673913605.0000	381622294.7590	3249460.0000	2075856.5175	1173603.4825	1.7659	0.3612
c_take1.0_stop3.0_f0	202511	302	541	412	0.0331	-1.8641	0.5265	1135406447.0000	636842799.0931	3293703.0000	1291197.0675	2002505.9325	1.7829	0.6080
c_take1.0_stop3.0_f0	202512	268	408	277	0.0446	-1.3247	0.5373	853609282.0000	563050754.9465	2908945.0000	1568531.6313	1340413.3687	1.5160	0.4608
c_take1.0_stop3.0_f0	202601	271	512	411	0.0952	-1.3060	0.6531	1072039970.0000	570056755.6890	5262800.0000	3275495.1340	1987304.8660	1.8806	0.3776
c_take1.0_stop3.0_f0	202602	214	404	296	0.0852	-1.2780	0.6355	832261090.0000	445746291.9160	3684250.0000	2277837.2535	1406412.7465	1.8671	0.3817
c_take1.0_stop3.0_f0	202603	295	686	595	-0.1071	-3.1873	0.4068	1426175850.0000	616313873.2160	-980725.0000	-3824604.2872	2843879.2872	2.3140	2.8998
c_take1.0_stop3.0_f0	202604	156	286	212	0.0579	-1.3976	0.5385	595996225.0000	327570568.2160	2223175.0000	1198216.3622	1024958.6378	1.8194	0.4610
c_take1.0_stop3.0_f0	202605	241	460	398	-0.0233	-2.3320	0.5311	947219939.0000	499453566.7990	1144131.0000	-743802.9614	1887933.9614	1.8965	1.6501
c_take1.0_stop3.0_f0	202606	168	375	341	-0.1153	-3.1069	0.4464	762015010.0000	344825976.1390	-759000.0000	-2347169.8720	1588169.8720	2.2099	2.0925
c_take1.0_stop3.0_f0	202607	81	205	183	-0.0201	-2.9093	0.4815	428220315.0000	170100696.2778	692685.0000	-188339.2573	881024.2573	2.5175	1.2719
c_take1.0_stop3.0_f0	202608	105	201	149	0.0375	-1.6231	0.6381	415541395.0000	217631604.8447	1239880.0000	527525.9015	712354.0985	1.9094	0.5745
c_take1.0_stop3.0_f0	202609	189	357	277	0.0645	-1.6275	0.6190	745396020.0000	398180658.1410	2888300.0000	1551455.8370	1336844.1630	1.8720	0.4628
c_take1.0_stop3.0_f_atr5_dev0_5	202509	45	62	31	0.0279	-0.9685	0.4889	129661470.0000	94525596.7130	304500.0000	153742.7250	150757.2750	1.3717	0.4951
c_take1.0_stop3.0_f_atr5_dev0_5	202510	66	104	68	0.1078	-1.0782	0.6515	217654990.0000	139790595.4445	1234900.0000	905240.2110	329659.7890	1.5570	0.2670
c_take1.0_stop3.0_f_atr5_dev0_5	202511	82	137	90	0.1144	-1.1392	0.6585	288109174.0000	173232360.9570	1654806.0000	1217091.7859	437714.2141	1.6631	0.2645
c_take1.0_stop3.0_f_atr5_dev0_5	202512	114	160	82	0.0934	-0.8918	0.5175	333976130.0000	239030539.2035	1746370.0000	1347961.2715	398408.7285	1.3972	0.2281
c_take1.0_stop3.0_f_atr5_dev0_5	202601	88	157	109	0.1250	-0.8897	0.6591	326221300.0000	184490119.3675	1928550.0000	1403781.8275	524768.1725	1.7682	0.2721
c_take1.0_stop3.0_f_atr5_dev0_5	202602	42	65	39	0.0451	-1.1978	0.5000	136633820.0000	88694622.1980	443350.0000	253305.2875	190044.7125	1.5405	0.4287
c_take1.0_stop3.0_f_atr5_dev0_5	202603	12	21	16	-0.2368	-3.1855	0.2500	44331550.0000	25554182.5525	-283600.0000	-361002.2350	77402.2350	1.7348	0.2729
c_take1.0_stop3.0_f_atr5_dev0_5	202604	37	58	39	0.0529	-0.8855	0.5676	121614930.0000	77660157.2765	440730.0000	249934.0365	190795.9635	1.5660	0.4329
c_take1.0_stop3.0_f_atr5_dev0_5	202605	30	56	41	0.1245	-1.3250	0.6667	114712700.0000	62930338.1350	645150.0000	449721.4725	195428.5275	1.8229	0.3029
c_take1.0_stop3.0_f_atr5_dev0_5	202606	6	9	7	0.0387	-1.4258	0.5000	18530100.0000	12509476.1400	60500.0000	27517.8750	32982.1250	1.4813	0.5452
c_take1.0_stop3.0_f_atr5_dev0_5	202607	2	8	6	0.4192	-1.7981	1.0000	17329600.0000	4341621.1455	139410.0000	109234.5335	30175.4665	3.9915	0.2165
c_take1.0_stop3.0_f_atr5_dev0_5	202608	30	49	28	0.1121	-0.9780	0.6000	103640150.0000	63311395.2850	575200.0000	435768.8550	139431.1450	1.6370	0.2424
c_take1.0_stop3.0_f_atr5_dev0_5	202609	54	92	61	0.1168	-0.9137	0.6111	193636950.0000	114065357.2375	1110650.0000	813082.4025	297567.5975	1.6976	0.2679
c_take1.0_stop3.0_f_atr5_devm3	202509	74	106	61	0.0575	-0.9851	0.5135	221777320.0000	155012068.3230	839150.0000	540859.3825	298290.6175	1.4307	0.3555
c_take1.0_stop3.0_f_atr5_devm3	202510	101	155	112	0.0891	-1.1710	0.6832	325035890.0000	213916902.7230	1691750.0000	1146978.1905	544771.8095	1.5194	0.3220
c_take1.0_stop3.0_f_atr5_devm3	202511	124	190	123	0.0923	-1.1593	0.6210	399644442.0000	262322292.4425	2076338.0000	1477383.9217	598954.0783	1.5235	0.2885
c_take1.0_stop3.0_f_atr5_devm3	202512	148	203	114	0.0467	-0.9616	0.5000	423614890.0000	310498897.8495	1464980.0000	914596.9510	550383.0490	1.3643	0.3757
c_take1.0_stop3.0_f_atr5_devm3	202601	150	263	200	0.1020	-0.9440	0.6667	547636550.0000	313908329.1875	2932450.0000	1972224.7175	960225.2825	1.7446	0.3274
c_take1.0_stop3.0_f_atr5_devm3	202602	85	139	95	0.0633	-1.2228	0.5647	292363890.0000	179296340.4175	1153710.0000	690992.9225	462717.0775	1.6306	0.4011
c_take1.0_stop3.0_f_atr5_devm3	202603	24	41	32	-0.1587	-3.0938	0.3333	85678120.0000	50614110.9780	-326900.0000	-479379.8100	152479.8100	1.6928	0.4664
c_take1.0_stop3.0_f_atr5_devm3	202604	56	86	57	0.0474	-0.8789	0.5357	179536830.0000	116924145.9915	641430.0000	365174.0615	276255.9385	1.5355	0.4307
c_take1.0_stop3.0_f_atr5_devm3	202605	57	98	81	0.0598	-1.5686	0.5965	202348350.0000	120481319.4875	798850.0000	411625.6775	387224.3225	1.6795	0.4847
c_take1.0_stop3.0_f_atr5_devm3	202606	9	15	11	0.0087	-2.0442	0.4444	31128800.0000	18698304.3250	64100.0000	11688.9350	52411.0650	1.6648	0.8176
c_take1.0_stop3.0_f_atr5_devm3	202607	2	8	6	0.4192	-1.7981	1.0000	17329600.0000	4341621.1455	139410.0000	109234.5335	30175.4665	3.9915	0.2165
c_take1.0_stop3.0_f_atr5_devm3	202608	45	68	43	0.0537	-1.3245	0.5333	143239150.0000	94758161.5925	546200.0000	335279.0100	210920.9900	1.5116	0.3862
c_take1.0_stop3.0_f_atr5_devm3	202609	75	129	96	0.1315	-1.0144	0.6533	269753900.0000	157894330.5975	1718500.0000	1252642.0750	465857.9250	1.7084	0.2711
