variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
c_take1.2_stop3.0_f0	202509	108	143	75	0.0468	-1.1351	0.3981	300918090.0000	227166489.8630	1021145.0000	652329.5613	368815.4387	1.3247	0.3612
c_take1.2_stop3.0_f0	202510	175	286	205	0.0963	-1.3277	0.6114	606355385.0000	372946423.5735	3174170.0000	2166274.6170	1007895.3830	1.6259	0.3175
c_take1.2_stop3.0_f0	202511	303	484	353	0.0325	-1.8661	0.4851	1014164627.0000	638316210.0716	2983986.0000	1270649.4950	1713336.5050	1.5888	0.5742
c_take1.2_stop3.0_f0	202512	262	372	243	0.0373	-1.2265	0.4924	777715492.0000	550159861.6025	2463055.0000	1287963.4698	1175091.5302	1.4136	0.4771
c_take1.2_stop3.0_f0	202601	266	462	357	0.0948	-1.2669	0.6241	967388050.0000	558777974.1255	4949350.0000	3222278.9275	1727071.0725	1.7313	0.3489
c_take1.2_stop3.0_f0	202602	213	359	250	0.0930	-1.2739	0.5915	740313840.0000	444057188.5885	3660845.0000	2471854.2632	1188990.7368	1.6672	0.3248
c_take1.2_stop3.0_f0	202603	292	597	505	-0.1229	-3.1894	0.3699	1240851636.0000	610523344.7670	-1964447.0000	-4375567.7167	2411120.7167	2.0324	1.2274
c_take1.2_stop3.0_f0	202604	154	260	185	0.0657	-1.3243	0.5195	540368125.0000	323427126.7930	2226065.0000	1333662.4428	892402.5572	1.6708	0.4009
c_take1.2_stop3.0_f0	202605	240	408	346	-0.0143	-2.3243	0.5083	841179915.0000	497961092.9615	1175915.0000	-469040.6987	1644955.6987	1.6892	1.3989
c_take1.2_stop3.0_f0	202606	166	339	304	-0.1141	-3.1160	0.4157	687007325.0000	340274793.5640	-891600.0000	-2301609.9120	1410009.9120	2.0190	1.5814
c_take1.2_stop3.0_f0	202607	81	178	156	-0.0235	-2.9093	0.4815	371198745.0000	170073652.2217	521815.0000	-227778.5257	749593.5257	2.1826	1.4365
c_take1.2_stop3.0_f0	202608	105	181	131	0.0596	-1.6012	0.6476	372713545.0000	217366415.0723	1440170.0000	816152.1680	624017.8320	1.7147	0.4333
c_take1.2_stop3.0_f0	202609	186	321	239	0.0744	-1.5036	0.5914	670488380.0000	391974727.3910	2918380.0000	1763499.6970	1154880.3030	1.7105	0.3957
c_take1.2_stop3.0_f_atr4_devm3	202509	57	71	35	0.0478	-0.9126	0.4035	148890120.0000	119648564.5930	521500.0000	349602.6250	171897.3750	1.2444	0.3296
c_take1.2_stop3.0_f_atr4_devm3	202510	73	95	60	0.0516	-1.1080	0.5205	199520190.0000	154573622.5660	777800.0000	484691.2110	293108.7890	1.2908	0.3768
c_take1.2_stop3.0_f_atr4_devm3	202511	67	90	57	0.1106	-0.8104	0.5970	191871030.0000	143792915.7025	1239330.0000	956092.5115	283237.4885	1.3344	0.2285
c_take1.2_stop3.0_f_atr4_devm3	202512	108	132	64	0.0374	-0.7564	0.4074	278307270.0000	228688118.0730	829990.0000	517748.5085	312241.4915	1.2170	0.3762
c_take1.2_stop3.0_f_atr4_devm3	202601	87	137	91	0.1401	-0.7181	0.6552	290202250.0000	185074356.9900	2014650.0000	1567768.1425	446881.8575	1.5680	0.2218
c_take1.2_stop3.0_f_atr4_devm3	202602	35	47	27	0.0464	-0.9747	0.4286	99802260.0000	73989326.7345	334900.0000	201718.0430	133181.9570	1.3489	0.3977
c_take1.2_stop3.0_f_atr4_devm3	202603	6	8	5	-0.3023	-3.3759	0.1667	16979400.0000	12903235.1950	-210200.0000	-234086.2100	23886.2100	1.3159	0.1136
c_take1.2_stop3.0_f_atr4_devm3	202604	28	34	21	0.0425	-0.8505	0.4286	72100730.0000	59720166.6815	254690.0000	151225.5125	103464.4875	1.2073	0.4062
c_take1.2_stop3.0_f_atr4_devm3	202605	25	39	33	0.1482	-1.3514	0.6800	81275300.0000	53305144.5725	627600.0000	468053.6700	159546.3300	1.5247	0.2542
c_take1.2_stop3.0_f_atr4_devm3	202606	6	6	3	-0.0376	-2.4255	0.3333	12435000.0000	12464369.3750	-14300.0000	-28495.4450	14195.4450	0.9976	0.9927
c_take1.2_stop3.0_f_atr4_devm3	202608	6	10	6	0.1678	-0.9788	0.6667	20620200.0000	12273240.7100	160600.0000	130707.3000	29892.7000	1.6801	0.1861
c_take1.2_stop3.0_f_atr4_devm3	202609	39	58	41	0.1576	-0.9955	0.6923	122269150.0000	82303793.7175	988150.0000	787004.0625	201145.9375	1.4856	0.2036
c_take1.2_stop3.0_f_atr5	202509	74	93	45	0.0536	-0.9723	0.3919	194443920.0000	154886449.4830	730100.0000	509103.1550	220996.8450	1.2554	0.3027
c_take1.2_stop3.0_f_atr5	202510	99	137	92	0.0716	-1.1443	0.5657	287464970.0000	209432410.1500	1352710.0000	905415.5225	447294.4775	1.3726	0.3307
c_take1.2_stop3.0_f_atr5	202511	126	175	108	0.0888	-1.1392	0.5476	368118642.0000	266631188.6800	1969268.0000	1442946.9722	526321.0278	1.3806	0.2673
c_take1.2_stop3.0_f_atr5	202512	148	191	103	0.0335	-0.9616	0.4392	397927720.0000	310195392.3305	1158690.0000	662732.9885	495957.0115	1.2828	0.4280
c_take1.2_stop3.0_f_atr5	202601	150	239	171	0.1010	-0.8826	0.6400	497348250.0000	313368698.2550	2772150.0000	1951813.2375	820336.7625	1.5871	0.2959
c_take1.2_stop3.0_f_atr5	202602	85	125	80	0.0618	-1.2152	0.4941	262770460.0000	179215808.3395	1062700.0000	673152.8330	389547.1670	1.4662	0.3666
c_take1.2_stop3.0_f_atr5	202603	26	39	30	-0.2299	-3.1860	0.2692	81689070.0000	54851496.4905	-612150.0000	-754926.4625	142776.4625	1.4893	0.2332
c_take1.2_stop3.0_f_atr5	202604	54	75	45	0.0508	-0.8364	0.5000	156337430.0000	112797327.0615	594340.0000	376176.5850	218163.4150	1.3860	0.3671
c_take1.2_stop3.0_f_atr5	202605	58	91	74	0.0705	-1.5139	0.5862	187981900.0000	122630791.8600	848200.0000	494545.8300	353654.1700	1.5329	0.4169
c_take1.2_stop3.0_f_atr5	202606	8	10	6	-0.0553	-2.4255	0.3750	20901000.0000	16654197.7550	-23900.0000	-52587.8050	28687.8050	1.2550	1.2003
c_take1.2_stop3.0_f_atr5	202607	2	6	4	0.3316	-1.5903	1.0000	12989450.0000	4336470.3730	106520.0000	86385.6320	20134.3680	2.9954	0.1890
c_take1.2_stop3.0_f_atr5	202608	48	70	46	0.0977	-1.3101	0.5833	146318750.0000	99931287.4450	885900.0000	662323.1550	223576.8450	1.4642	0.2524
c_take1.2_stop3.0_f_atr5	202609	75	120	87	0.1373	-1.0212	0.6400	251154250.0000	158138967.2875	1724100.0000	1302475.2500	421624.7500	1.5882	0.2445
c_take1.2_stop3.0_f_atr5_dev0_5	202509	43	54	22	0.0269	-0.9760	0.3488	112995570.0000	90247955.1630	253100.0000	145346.3950	107753.6050	1.2521	0.4257
c_take1.2_stop3.0_f_atr5_dev0_5	202510	64	93	56	0.1173	-0.9853	0.5781	195006890.0000	135483449.4695	1224790.0000	952576.0475	272213.9525	1.4393	0.2223
c_take1.2_stop3.0_f_atr5_dev0_5	202511	83	124	77	0.1143	-1.1111	0.5783	260573724.0000	175301321.2545	1601906.0000	1227669.7159	374236.2841	1.4864	0.2336
c_take1.2_stop3.0_f_atr5_dev0_5	202512	110	144	67	0.0855	-0.9143	0.4636	299816960.0000	230281096.9840	1508810.0000	1184484.4255	324325.5745	1.3020	0.2150
c_take1.2_stop3.0_f_atr5_dev0_5	202601	87	140	89	0.1157	-0.8726	0.6322	290664850.0000	181702001.2125	1713350.0000	1285000.3925	428349.6075	1.5997	0.2500
c_take1.2_stop3.0_f_atr5_dev0_5	202602	42	62	34	0.0486	-1.1978	0.4762	130334720.0000	88676619.4980	437200.0000	271536.7800	165663.2200	1.4698	0.3789
c_take1.2_stop3.0_f_atr5_dev0_5	202603	12	18	13	-0.2666	-3.1855	0.1667	38003750.0000	25547581.5625	-344000.0000	-406591.4750	62591.4750	1.4876	0.1820
c_take1.2_stop3.0_f_atr5_dev0_5	202604	35	47	27	0.0498	-0.8264	0.4857	98307330.0000	73425122.1165	353090.0000	220752.9625	132337.0375	1.3389	0.3748
c_take1.2_stop3.0_f_atr5_dev0_5	202605	30	48	33	0.1152	-1.3250	0.6333	97872350.0000	62919036.4400	567800.0000	411214.0000	156586.0000	1.5555	0.2758
c_take1.2_stop3.0_f_atr5_dev0_5	202606	5	5	3	-0.0451	-2.0442	0.4000	10436300.0000	10465369.5700	-14300.0000	-28495.4450	14195.4450	0.9972	0.9927
c_take1.2_stop3.0_f_atr5_dev0_5	202607	2	6	4	0.3316	-1.5903	1.0000	12989450.0000	4336470.3730	106520.0000	86385.6320	20134.3680	2.9954	0.1890
c_take1.2_stop3.0_f_atr5_dev0_5	202608	30	45	25	0.1513	-0.9545	0.5667	95076500.0000	63288941.9175	713050.0000	588215.0925	124834.9075	1.5023	0.1751
c_take1.2_stop3.0_f_atr5_dev0_5	202609	52	79	48	0.1163	-0.9137	0.5385	166389200.0000	109977044.0825	1015200.0000	780407.6250	234792.3750	1.5129	0.2313
c_take1.2_stop3.0_f_atr5_devm3	202509	73	92	45	0.0543	-0.9685	0.3973	192309420.0000	152751629.3080	730100.0000	509103.1550	220996.8450	1.2590	0.3027
c_take1.2_stop3.0_f_atr5_devm3	202510	97	134	89	0.0865	-1.1436	0.5773	281327970.0000	205282787.8000	1503210.0000	1069578.2475	433631.7525	1.3704	0.2885
c_take1.2_stop3.0_f_atr5_devm3	202511	125	174	106	0.0929	-1.1364	0.5520	365945042.0000	264457262.6400	2014468.0000	1497854.9222	516613.0778	1.3838	0.2565
c_take1.2_stop3.0_f_atr5_devm3	202512	144	185	97	0.0404	-0.9540	0.4444	385253720.0000	301697317.8105	1237290.0000	770338.8085	466951.1915	1.2770	0.3774
c_take1.2_stop3.0_f_atr5_devm3	202601	148	235	169	0.1002	-0.8772	0.6351	488933850.0000	309131862.8250	2720950.0000	1910345.1375	810604.8625	1.5816	0.2979
c_take1.2_stop3.0_f_atr5_devm3	202602	85	125	80	0.0618	-1.2152	0.4941	262770460.0000	179215808.3395	1062700.0000	673152.8330	389547.1670	1.4662	0.3666
c_take1.2_stop3.0_f_atr5_devm3	202603	23	35	26	-0.1895	-3.1097	0.3043	73224770.0000	48468239.1455	-424750.0000	-548461.4825	123711.4825	1.5108	0.2913
c_take1.2_stop3.0_f_atr5_devm3	202604	54	75	45	0.0508	-0.8364	0.5000	156337430.0000	112797327.0615	594340.0000	376176.5850	218163.4150	1.3860	0.3671
c_take1.2_stop3.0_f_atr5_devm3	202605	57	89	73	0.0685	-1.5478	0.5789	183666950.0000	120462716.6975	818950.0000	470344.5425	348605.4575	1.5247	0.4257
c_take1.2_stop3.0_f_atr5_devm3	202606	8	10	6	-0.0553	-2.4255	0.3750	20901000.0000	16654197.7550	-23900.0000	-52587.8050	28687.8050	1.2550	1.2003
c_take1.2_stop3.0_f_atr5_devm3	202607	2	6	4	0.3316	-1.5903	1.0000	12989450.0000	4336470.3730	106520.0000	86385.6320	20134.3680	2.9954	0.1890
c_take1.2_stop3.0_f_atr5_devm3	202608	45	64	41	0.1151	-1.2956	0.5778	134706250.0000	94661097.0350	894700.0000	693051.7550	201648.2450	1.4230	0.2254
c_take1.2_stop3.0_f_atr5_devm3	202609	74	119	85	0.1452	-1.0049	0.6351	248977650.0000	155962040.7975	1780050.0000	1366751.9375	413298.0625	1.5964	0.2322
c_take1.2_stop3.0_f_atr6_devm3	202509	87	112	59	0.0503	-0.9760	0.4023	234352420.0000	181971611.6480	845900.0000	556506.7950	289393.2050	1.2879	0.3421
c_take1.2_stop3.0_f_atr6_devm3	202510	119	171	115	0.0926	-1.1710	0.6050	359165315.0000	251998929.1702	1967860.0000	1406641.8960	561218.1040	1.4253	0.2852
c_take1.2_stop3.0_f_atr6_devm3	202511	176	265	171	0.0886	-1.3704	0.5398	551628587.0000	369609978.1817	2846173.0000	2018420.6180	827752.3820	1.4925	0.2908
c_take1.2_stop3.0_f_atr6_devm3	202512	188	244	141	0.0268	-1.1004	0.4574	508640202.0000	394111677.8855	1346590.0000	666407.9435	680182.0565	1.2906	0.5051
c_take1.2_stop3.0_f_atr6_devm3	202601	178	291	217	0.1125	-0.8841	0.6517	604709790.0000	371209153.0220	3610100.0000	2570042.9010	1040057.0990	1.6290	0.2881
