variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
f_take3.0_stop5.5_atr4.0_dev-1.0	202509	67	42	35	-0.0035	-0.6711	0.2687	87627170.0000	139436652.3610	148670.0000	-19444.3465	168114.3465	0.6284	1.1308
f_take3.0_stop5.5_atr4.0_dev-1.0	202510	81	49	47	0.0541	-0.8000	0.3704	102541400.0000	169636791.7025	750090.0000	522485.6315	227604.3685	0.6045	0.3034
f_take3.0_stop5.5_atr4.0_dev-1.0	202511	69	43	48	0.1015	-0.7550	0.4348	91556550.0000	147001496.9175	1130550.0000	893400.2925	237149.7075	0.6228	0.2098
f_take3.0_stop5.5_atr4.0_dev-1.0	202512	129	78	73	-0.0816	-0.8446	0.2093	164747130.0000	273148646.1520	-967040.0000	-1319072.2220	352032.2220	0.6031	0.3640
f_take3.0_stop5.5_atr4.0_dev-1.0	202601	115	73	77	0.1180	-0.4843	0.4696	154609200.0000	244521642.7455	2127740.0000	1747831.0730	379908.9270	0.6323	0.1786
f_take3.0_stop5.5_atr4.0_dev-1.0	202602	46	27	26	0.1727	-0.2371	0.4130	57054990.0000	97475909.1935	995700.0000	866608.8130	129091.1870	0.5853	0.1296
f_take3.0_stop5.5_atr4.0_dev-1.0	202603	11	4	7	-0.4735	-5.4422	0.0909	8578900.0000	23255687.8300	-609140.0000	-641578.9390	32438.9390	0.3689	0.0533
f_take3.0_stop5.5_atr4.0_dev-1.0	202604	33	19	20	-0.0205	-0.5010	0.2727	40216130.0000	69965753.2890	35070.0000	-62703.9495	97773.9495	0.5748	2.7880
f_take3.0_stop5.5_atr4.0_dev-1.0	202605	28	24	25	0.1761	-1.0381	0.5714	50174200.0000	59174624.8625	732450.0000	610470.2325	121979.7675	0.8479	0.1665
f_take3.0_stop5.5_atr4.0_dev-1.0	202606	4	2	3	-0.3066	-2.3728	0.2500	4088700.0000	8178626.6100	-138600.0000	-152295.4400	13695.4400	0.4999	0.0988
f_take3.0_stop5.5_atr4.0_dev-1.0	202608	7	5	3	-0.2169	-0.8935	0.1429	10059000.0000	13680851.8200	-138800.0000	-151717.8400	12917.8400	0.7353	0.0931
f_take3.0_stop5.5_atr4.0_dev-1.0	202609	43	29	31	0.0398	-0.6854	0.3721	61119450.0000	91138918.7875	278800.0000	127706.4050	151093.5950	0.6706	0.5419
f_take3.0_stop5.5_atr4.5_dev-1.0	202509	76	47	39	-0.0145	-0.7028	0.2500	97677970.0000	157560970.6010	61770.0000	-124720.3515	186490.3515	0.6199	3.0191
f_take3.0_stop5.5_atr4.5_dev-1.0	202510	99	64	63	0.0735	-0.7843	0.4141	133449780.0000	207269395.7465	1190490.0000	886295.4975	304194.5025	0.6438	0.2555
f_take3.0_stop5.5_atr4.5_dev-1.0	202511	97	58	63	0.0151	-0.8104	0.3608	122810400.0000	205475666.7275	524450.0000	216624.1025	307825.8975	0.5977	0.5869
f_take3.0_stop5.5_atr4.5_dev-1.0	202512	158	94	88	-0.0883	-0.9533	0.1899	196469530.0000	330595461.8820	-1300640.0000	-1720694.8520	420054.8520	0.5943	0.3230
f_take3.0_stop5.5_atr4.5_dev-1.0	202601	164	107	110	0.1070	-0.5437	0.4634	223548300.0000	344185590.0955	2761840.0000	2227607.8680	534232.1320	0.6495	0.1934
f_take3.0_stop5.5_atr4.5_dev-1.0	202602	83	55	50	0.1655	-0.4706	0.4458	115397390.0000	174964030.6685	1837600.0000	1591217.3380	246382.6620	0.6595	0.1341
f_take3.0_stop5.5_atr4.5_dev-1.0	202603	24	11	19	-0.5308	-5.5183	0.0417	23023200.0000	49958092.5900	-1484940.0000	-1572192.5790	87252.5790	0.4609	0.0588
f_take3.0_stop5.5_atr4.5_dev-1.0	202604	51	30	31	0.0275	-0.4705	0.3529	62693980.0000	106430272.1465	378070.0000	227750.9855	150319.0145	0.5891	0.3976
f_take3.0_stop5.5_atr4.5_dev-1.0	202605	43	34	36	0.0940	-1.3514	0.5349	71532450.0000	91199627.8925	671850.0000	496027.4575	175822.5425	0.7844	0.2617
f_take3.0_stop5.5_atr4.5_dev-1.0	202606	6	3	4	-0.3667	-4.0757	0.1667	6121900.0000	12245636.5700	-253000.0000	-271125.8400	18125.8400	0.4999	0.0716
f_take3.0_stop5.5_atr4.5_dev-1.0	202608	23	15	11	0.0213	-1.1628	0.3043	30804300.0000	46743210.4300	131450.0000	80017.6825	51432.3175	0.6590	0.3913
f_take3.0_stop5.5_atr4.5_dev-1.0	202609	56	35	39	0.0178	-0.8372	0.3571	73795850.0000	118631942.1225	161200.0000	-28577.2250	189777.2250	0.6221	1.1773
f_take3.0_stop5.5_atr5.0_dev-1.0	202509	87	54	45	0.0009	-0.7744	0.2644	112141670.0000	180065245.7360	242720.0000	27492.4160	215227.5840	0.6228	0.8867
f_take3.0_stop5.5_atr5.0_dev-1.0	202510	113	74	73	0.0682	-0.7843	0.4248	154701520.0000	237146156.5885	1292400.0000	939071.5090	353328.4910	0.6523	0.2734
f_take3.0_stop5.5_atr5.0_dev-1.0	202511	141	85	91	-0.0015	-1.0417	0.3404	177416162.0000	295336655.8543	417288.0000	-20783.1918	438071.1918	0.6007	1.0498
f_take3.0_stop5.5_atr5.0_dev-1.0	202512	172	106	99	-0.0835	-1.0840	0.2151	221067130.0000	359657120.4770	-1291690.0000	-1764135.3245	472445.3245	0.6147	0.3658
f_take3.0_stop5.5_atr5.0_dev-1.0	202601	187	123	126	0.0974	-0.6024	0.4492	255784800.0000	390500336.2655	2926040.0000	2318088.9780	607951.0220	0.6550	0.2078
f_take3.0_stop5.5_atr5.0_dev-1.0	202602	105	67	62	0.1125	-0.5405	0.4000	140702190.0000	221381792.2885	1643700.0000	1339319.5130	304380.4870	0.6356	0.1852
f_take3.0_stop5.5_atr5.0_dev-1.0	202603	37	20	28	-0.4709	-5.5944	0.0811	41633200.0000	77134618.4575	-2023990.0000	-2152789.7915	128799.7915	0.5397	0.0636
f_take3.0_stop5.5_atr5.0_dev-1.0	202604	75	46	48	0.0788	-0.4680	0.4267	95974280.0000	156555689.8315	1030770.0000	797638.4905	233131.5095	0.6130	0.2262
f_take3.0_stop5.5_atr5.0_dev-1.0	202605	62	48	50	0.0489	-1.3579	0.4839	99730850.0000	129220230.1275	631250.0000	390658.4275	240591.5725	0.7718	0.3811
f_take3.0_stop5.5_atr5.0_dev-1.0	202606	8	4	5	-0.2156	-2.3728	0.2500	8255900.0000	16514276.7700	-187000.0000	-210175.9400	23175.9400	0.4999	0.1239
f_take3.0_stop5.5_atr5.0_dev-1.0	202607	3	2	1	0.0936	-0.3950	0.3333	4319840.0000	6482652.2520	41480.0000	36418.5860	5061.4140	0.6664	0.1220
f_take3.0_stop5.5_atr5.0_dev-1.0	202608	45	31	26	0.0247	-1.0377	0.3556	64971050.0000	93986495.8600	296400.0000	170665.3950	125734.6050	0.6913	0.4242
f_take3.0_stop5.5_atr5.0_dev-1.0	202609	79	52	58	0.0557	-0.8043	0.3924	109064050.0000	166422909.6925	645000.0000	363466.4650	281533.5350	0.6553	0.4365
f_take3.0_stop5.5_atr5.5_dev-1.0	202509	103	63	54	-0.0275	-0.9126	0.2524	131002470.0000	213760099.2060	-87680.0000	-345577.0640	257897.0640	0.6128	2.9413
f_take3.0_stop5.5_atr5.5_dev-1.0	202510	131	88	85	0.0681	-0.8000	0.4198	183871820.0000	274507459.9435	1498600.0000	1087699.3990	410900.6010	0.6698	0.2742
f_take3.0_stop5.5_atr5.5_dev-1.0	202511	171	106	114	0.0062	-1.1765	0.3567	221179162.0000	357989052.3043	761488.0000	212058.9682	549429.0318	0.6178	0.7215
f_take3.0_stop5.5_atr5.5_dev-1.0	202512	198	124	116	-0.1004	-1.1680	0.2172	258777930.0000	414231105.3470	-1892090.0000	-2445164.4845	553074.4845	0.6247	0.2923
f_take3.0_stop5.5_atr5.5_dev-1.0	202601	200	132	136	0.0970	-0.5832	0.4550	274007600.0000	417047817.7905	3127440.0000	2472328.7080	655111.2920	0.6570	0.2095
f_take3.0_stop5.5_atr5.5_dev-1.0	202602	137	91	83	0.1518	-0.5405	0.4307	189614740.0000	286478705.3610	2908100.0000	2503263.0130	404836.9870	0.6619	0.1392
f_take3.0_stop5.5_atr5.5_dev-1.0	202603	51	30	40	-0.5214	-5.5944	0.0588	62702600.0000	106658696.4050	-3144540.0000	-3329149.2440	184609.2440	0.5879	0.0587
f_take3.0_stop5.5_atr5.5_dev-1.0	202604	88	53	55	0.0674	-0.4548	0.3977	110611280.0000	183880487.9365	1070070.0000	803044.6855	267025.3145	0.6015	0.2495
f_take3.0_stop5.5_atr5.5_dev-1.0	202605	78	60	61	0.0274	-1.3684	0.4487	124446200.0000	162605987.2400	570850.0000	278158.0475	292691.9525	0.7653	0.5127
f_take3.0_stop5.5_atr5.5_dev-1.0	202606	17	10	13	-0.2339	-3.3203	0.2353	21102100.0000	35699904.1825	-460350.0000	-521957.1625	61607.1625	0.5911	0.1338
f_take3.0_stop5.5_atr5.5_dev-1.0	202607	19	13	11	-0.0105	-1.1163	0.3684	27108370.0000	39200549.2005	13190.0000	-39275.7595	52465.7595	0.6915	3.9777
f_take3.0_stop5.5_atr5.5_dev-1.0	202608	47	33	28	0.0083	-1.0764	0.3617	69077250.0000	97952290.6400	219200.0000	84092.8150	135107.1850	0.7052	0.6164
f_take3.0_stop5.5_atr5.5_dev-1.0	202609	101	67	74	0.0146	-0.9146	0.3762	139402050.0000	211085308.0475	316950.0000	-38509.7775	355459.7775	0.6604	1.1215
f_take3.0_stop5.5_atr6.0_dev-1.0	202509	107	67	56	-0.0235	-0.8606	0.2523	139121470.0000	221596274.4560	-35180.0000	-302325.5390	267145.5390	0.6278	7.5937
f_take3.0_stop5.5_atr6.0_dev-1.0	202510	141	93	91	0.0726	-0.7953	0.4184	194534440.0000	295937413.9545	1710130.0000	1269690.8335	440439.1665	0.6573	0.2575
f_take3.0_stop5.5_atr6.0_dev-1.0	202511	209	130	139	0.0001	-1.3084	0.3445	270018712.0000	434912789.1343	752338.0000	85619.3257	666718.6743	0.6209	0.8862
f_take3.0_stop5.5_atr6.0_dev-1.0	202512	212	133	124	-0.0896	-1.2028	0.2264	277225730.0000	442985117.8020	-1738690.0000	-2330283.0345	591593.0345	0.6258	0.3403
f_take3.0_stop5.5_atr6.0_dev-1.0	202601	217	145	149	0.0934	-0.6024	0.4562	301708000.0000	453338360.5555	3302340.0000	2583785.7530	718554.2470	0.6655	0.2176
f_take3.0_stop5.5_atr6.0_dev-1.0	202602	165	112	104	0.1431	-0.5889	0.4424	232276040.0000	343949724.7210	3334000.0000	2830109.7780	503890.2220	0.6753	0.1511
f_take3.0_stop5.5_atr6.0_dev-1.0	202603	72	48	59	-0.5366	-5.6794	0.0833	98822900.0000	148948238.8850	-4520640.0000	-4790235.9590	269595.9590	0.6635	0.0596
f_take3.0_stop5.5_atr6.0_dev-1.0	202604	100	61	62	0.0677	-0.5877	0.4100	126922480.0000	208157628.9615	1221870.0000	921784.4855	300085.5145	0.6097	0.2456
f_take3.0_stop5.5_atr6.0_dev-1.0	202605	104	83	82	0.1288	-1.3664	0.5192	171818300.0000	216482517.5075	2081250.0000	1686244.6275	395005.3725	0.7937	0.1898
f_take3.0_stop5.5_atr6.0_dev-1.0	202606	22	13	19	-0.1590	-2.2754	0.2727	27406700.0000	46289692.4125	-457850.0000	-548634.8175	90784.8175	0.5921	0.1983
f_take3.0_stop5.5_atr6.0_dev-1.0	202607	30	21	18	-0.0208	-1.2054	0.3667	42784770.0000	61954761.8205	-5060.0000	-90161.2420	85101.2420	0.6906	16.8184
f_take3.0_stop5.5_atr6.0_dev-1.0	202608	66	47	42	-0.0005	-1.0797	0.3939	98293850.0000	137442863.3375	149400.0000	-51491.2150	200891.2150	0.7152	1.3447
f_take3.0_stop5.5_atr6.0_dev-1.0	202609	114	74	82	0.0037	-0.9294	0.3684	153790850.0000	237620187.6825	217350.0000	-175634.9575	392984.9575	0.6472	1.8081
f_take3.0_stop6.0_atr4.0_dev-1.0	202509	67	42	35	-0.0019	-0.6442	0.2687	87623570.0000	139433051.8210	160370.0000	-7761.2215	168131.2215	0.6284	1.0484
f_take3.0_stop6.0_atr4.0_dev-1.0	202510	78	47	45	0.0698	-0.8548	0.3718	98223600.0000	163146218.2625	879230.0000	661278.9205	217951.0795	0.6021	0.2479
f_take3.0_stop6.0_atr4.0_dev-1.0	202511	69	43	48	0.1124	-0.7550	0.4348	91556550.0000	147001496.9175	1229150.0000	991788.3025	237361.6975	0.6228	0.1931
