                         variant  buys  gross_pct  net_pct  net_per_buy  months_pos  months  net_total_man  deployed_avg_man
f_take3.0_stop6.5_atr4.0_dev-1.0   387      0.573    0.342     7197.035           7      13        278.525           831.576
f_take3.0_stop7.0_atr4.0_dev-1.0   387      0.569    0.338     7112.720           7      13        275.262           833.129
f_take3.0_stop6.0_atr4.0_dev-1.0   390      0.560    0.329     6930.965           6      13        270.308           830.002
f_take3.0_stop5.5_atr4.0_dev-1.0   395      0.522    0.291     6130.860           6      13        242.169           821.489
f_take3.0_stop6.0_atr4.5_dev-1.0   542      0.442    0.211     4407.767           7      13        238.901          1084.523
f_take3.0_stop6.5_atr4.5_dev-1.0   539      0.436    0.205     4289.942           7      13        231.228          1093.880
f_take3.0_stop7.0_atr4.5_dev-1.0   539      0.413    0.182     3813.602           7      13        205.553          1096.177
f_take3.0_stop6.0_atr5.0_dev-1.0   696      0.411    0.180     3763.460          10      13        261.937          1323.800
f_take3.0_stop6.5_atr5.0_dev-1.0   690      0.410    0.179     3744.056          10      13        258.340          1328.656
f_take3.0_stop5.5_atr4.5_dev-1.0   553      0.404    0.174     3631.519           7      13        200.823          1078.044
f_take3.0_stop7.0_atr5.0_dev-1.0   690      0.398    0.168     3496.662           9      13        241.270          1333.861
f_take3.0_stop5.5_atr5.0_dev-1.0   712      0.381    0.150     3138.954           9      13        223.494          1314.378
f_take3.0_stop6.5_atr6.0_dev-1.0   994      0.304    0.074     1527.700           7      13        151.853          1747.451
f_take3.0_stop7.0_atr6.0_dev-1.0   994      0.289    0.058     1210.803           7      13        120.354          1756.988
f_take3.0_stop6.5_atr5.5_dev-1.0   844      0.288    0.057     1187.186           7      13        100.198          1544.176
f_take3.0_stop6.0_atr6.0_dev-1.0  1008      0.283    0.052     1082.087           6      13        109.074          1739.534
f_take3.0_stop5.5_atr6.0_dev-1.0  1027      0.282    0.051     1059.852           6      13        108.847          1728.476
f_take3.0_stop7.0_atr5.5_dev-1.0   844      0.272    0.041      855.170           7      13         72.176          1552.153
f_take3.0_stop6.0_atr5.5_dev-1.0   852      0.271    0.040      843.643           7      13         71.878          1535.499
f_take3.0_stop5.5_atr5.5_dev-1.0   870      0.270    0.040      828.750           7      13         72.101          1523.765
