variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
carry_take1.2_stop1.5	202509	120	156	107	-0.0190	-1.2007	0.3333	328156110.0000	252335684.6760	268200.0000	-251357.5770	519557.5770	1.3005	1.9372
carry_take1.2_stop1.5	202510	201	325	256	0.0541	-1.2531	0.5174	688949425.0000	428284288.0082	2651910.0000	1396448.5615	1255461.4385	1.6086	0.4734
carry_take1.2_stop1.5	202511	329	507	411	-0.0461	-1.5599	0.3647	1063180626.0000	692815717.7716	135659.0000	-1849692.2961	1985351.2961	1.5346	14.6349
carry_take1.2_stop1.5	202512	316	444	321	-0.0248	-1.1964	0.3956	926849772.0000	664266995.1055	596995.0000	-940654.9822	1537649.9822	1.3953	2.5756
carry_take1.2_stop1.5	202601	287	492	399	0.0492	-1.2658	0.5226	1031289250.0000	603555209.7035	3746490.0000	1816356.0045	1930133.9955	1.7087	0.5152
carry_take1.2_stop1.5	202602	233	392	313	0.0372	-1.2766	0.5021	810207400.0000	486360443.1250	2551030.0000	1059678.9305	1491351.0695	1.6659	0.5846
carry_take1.2_stop1.5	202603	307	580	537	-0.1404	-1.8476	0.2866	1204362046.0000	639578392.3705	-2689502.0000	-5247179.0185	2557677.0185	1.8831	0.9510
carry_take1.2_stop1.5	202604	172	274	216	0.0160	-1.3976	0.4477	566685310.0000	360275123.1635	1397850.0000	364045.7795	1033804.2205	1.5729	0.7396
carry_take1.2_stop1.5	202605	263	441	403	-0.0708	-1.7011	0.3498	908600436.0000	544504643.4470	-397086.0000	-2303252.1399	1906166.1399	1.6687	4.8004
carry_take1.2_stop1.5	202606	174	321	299	-0.1051	-1.7752	0.3448	650162985.0000	357180228.9990	-898270.0000	-2288328.1595	1390058.1595	1.8203	1.5475
carry_take1.2_stop1.5	202607	88	182	171	-0.0329	-1.7794	0.4318	379885195.0000	185121389.0437	476455.0000	-346439.0618	822894.0618	2.0521	1.7271
carry_take1.2_stop1.5	202608	118	200	162	0.0037	-1.3861	0.4746	413206635.0000	244104475.1797	907330.0000	136176.7050	771153.2950	1.6927	0.8499
carry_take1.2_stop1.5	202609	212	360	300	0.0036	-1.5280	0.4434	753026180.0000	447215822.3125	1583040.0000	137365.1140	1445674.8860	1.6838	0.9132
carry_take1.2_stop2.0	202509	115	151	91	0.0088	-1.1936	0.3478	317549760.0000	241663984.1610	596845.0000	152276.8263	444568.1737	1.3140	0.7449
carry_take1.2_stop2.0	202510	186	304	224	0.0713	-1.2773	0.5645	644030465.0000	395885863.9735	2797340.0000	1699017.8840	1098322.1160	1.6268	0.3926
carry_take1.2_stop2.0	202511	316	499	397	-0.0289	-1.8641	0.4209	1046660055.0000	666104202.6453	822913.0000	-1097767.0664	1920680.0664	1.5713	2.3340
carry_take1.2_stop2.0	202512	291	408	278	0.0089	-1.2056	0.4536	854589332.0000	611761070.3980	1744105.0000	401511.7883	1342593.2117	1.3969	0.7698
carry_take1.2_stop2.0	202601	275	476	378	0.0792	-1.2618	0.5818	996563140.0000	577665106.7705	4606090.0000	2778502.0815	1827587.9185	1.7252	0.3968
carry_take1.2_stop2.0	202602	226	374	287	0.0342	-1.2780	0.5088	772247240.0000	471562173.7175	2302015.0000	936550.8077	1365464.1923	1.6376	0.5932
carry_take1.2_stop2.0	202603	304	593	538	-0.1531	-2.2575	0.2697	1231744636.0000	633786243.6785	-3108292.0000	-5671187.5170	2562895.5170	1.9435	0.8245
carry_take1.2_stop2.0	202604	167	271	202	0.0418	-1.3746	0.5030	560399930.0000	350444248.7535	1830535.0000	861379.2338	969155.7662	1.5991	0.5294
carry_take1.2_stop2.0	202605	254	436	392	-0.0411	-2.1179	0.4213	899721586.0000	526853446.1645	564914.0000	-1296935.7649	1861849.7649	1.7077	3.2958
carry_take1.2_stop2.0	202606	170	328	301	-0.0933	-2.2539	0.3353	664324285.0000	348733362.1590	-551870.0000	-1951148.1895	1399278.1895	1.9050	2.5355
carry_take1.2_stop2.0	202607	85	185	167	-0.0304	-2.2164	0.4471	385863495.0000	178652968.9263	511285.0000	-291717.0712	803002.0712	2.1598	1.5706
carry_take1.2_stop2.0	202608	114	195	150	0.0350	-1.4688	0.5351	402245785.0000	235472290.5462	1302570.0000	590153.6140	712416.3860	1.7083	0.5469
carry_take1.2_stop2.0	202609	206	347	278	0.0205	-1.6194	0.4903	724796670.0000	434434705.4325	1879420.0000	539844.2500	1339575.7500	1.6684	0.7128
carry_take1.2_stop3.0	202509	108	143	75	0.0468	-1.1351	0.3981	300918090.0000	227166489.8630	1021145.0000	652329.5613	368815.4387	1.3247	0.3612
carry_take1.2_stop3.0	202510	175	286	205	0.0963	-1.3277	0.6114	606355385.0000	372946423.5735	3174170.0000	2166274.6170	1007895.3830	1.6259	0.3175
carry_take1.2_stop3.0	202511	303	484	353	0.0325	-1.8661	0.4851	1014164627.0000	638316210.0716	2983986.0000	1270649.4950	1713336.5050	1.5888	0.5742
carry_take1.2_stop3.0	202512	262	372	243	0.0373	-1.2265	0.4924	777715492.0000	550159861.6025	2463055.0000	1287963.4698	1175091.5302	1.4136	0.4771
carry_take1.2_stop3.0	202601	266	462	357	0.0948	-1.2669	0.6241	967388050.0000	558777974.1255	4949350.0000	3222278.9275	1727071.0725	1.7313	0.3489
carry_take1.2_stop3.0	202602	213	359	250	0.0930	-1.2739	0.5915	740313840.0000	444057188.5885	3660845.0000	2471854.2632	1188990.7368	1.6672	0.3248
carry_take1.2_stop3.0	202603	292	597	505	-0.1229	-3.1894	0.3699	1240851636.0000	610523344.7670	-1964447.0000	-4375567.7167	2411120.7167	2.0324	1.2274
carry_take1.2_stop3.0	202604	154	260	185	0.0657	-1.3243	0.5195	540368125.0000	323427126.7930	2226065.0000	1333662.4428	892402.5572	1.6708	0.4009
carry_take1.2_stop3.0	202605	240	408	346	-0.0143	-2.3243	0.5083	841179915.0000	497961092.9615	1175915.0000	-469040.6987	1644955.6987	1.6892	1.3989
carry_take1.2_stop3.0	202606	166	339	304	-0.1141	-3.1160	0.4157	687007325.0000	340274793.5640	-891600.0000	-2301609.9120	1410009.9120	2.0190	1.5814
carry_take1.2_stop3.0	202607	81	178	156	-0.0235	-2.9093	0.4815	371198745.0000	170073652.2217	521815.0000	-227778.5257	749593.5257	2.1826	1.4365
carry_take1.2_stop3.0	202608	105	181	131	0.0596	-1.6012	0.6476	372713545.0000	217366415.0723	1440170.0000	816152.1680	624017.8320	1.7147	0.4333
carry_take1.2_stop3.0	202609	186	321	239	0.0744	-1.5036	0.5914	670488380.0000	391974727.3910	2918380.0000	1763499.6970	1154880.3030	1.7105	0.3957
carry_take2.0_stop1.5	202509	113	126	75	-0.0414	-1.1804	0.2212	264531990.0000	237499109.5235	-199080.0000	-561509.3850	362429.3850	1.1138	1.8205
carry_take2.0_stop1.5	202510	189	233	162	0.0423	-1.1710	0.3333	494093190.0000	402309482.3717	1828230.0000	1031992.5570	796237.4430	1.2281	0.4355
carry_take2.0_stop1.5	202511	315	396	291	-0.0553	-1.5726	0.2635	829923762.0000	662562246.4316	-727170.0000	-2130896.0505	1403726.0505	1.2526	1.9304
carry_take2.0_stop1.5	202512	296	341	217	-0.0378	-1.1968	0.2601	712017042.0000	621751938.8035	-332785.0000	-1369929.1022	1037144.1022	1.1452	3.1166
carry_take2.0_stop1.5	202601	269	349	243	0.0449	-1.0870	0.3941	731267900.0000	564840283.3355	2728170.0000	1552172.8565	1175997.1435	1.2946	0.4311
carry_take2.0_stop1.5	202602	227	293	208	0.0367	-1.2232	0.3524	605195560.0000	472203539.9080	2039000.0000	1046985.5470	992014.4530	1.2816	0.4865
carry_take2.0_stop1.5	202603	306	456	412	-0.1522	-1.8312	0.2157	946042927.0000	636773581.7120	-3726058.0000	-5681968.5649	1955910.5649	1.4857	0.5249
carry_take2.0_stop1.5	202604	165	209	146	0.0019	-1.3158	0.2970	431800135.0000	345672183.0510	732310.0000	34138.5010	698171.4990	1.2492	0.9534
carry_take2.0_stop1.5	202605	259	357	310	-0.0542	-1.7013	0.3320	735141846.0000	535955261.2320	-250766.0000	-1715411.2079	1464645.2079	1.3716	5.8407
carry_take2.0_stop1.5	202606	172	259	234	-0.1154	-1.8169	0.3081	526800880.0000	352782649.4610	-1334475.0000	-2425005.7768	1090530.7768	1.4933	0.8172
