variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w2_take2.0_stop0.0_atr3.5_dev-1.0	202509	53	36	31	-0.0044	-0.6917	0.3396	75590220.0000	110873768.5710	140570.0000	-8870.9415	149440.9415	0.6818	1.0631
w2_take2.0_stop0.0_atr3.5_dev-1.0	202510	61	39	40	0.0658	-1.0217	0.4426	82444000.0000	129319695.0450	704330.0000	508122.7605	196207.2395	0.6375	0.2786
w2_take2.0_stop0.0_atr3.5_dev-1.0	202511	41	30	31	0.0386	-0.6169	0.5122	64252690.0000	88080290.0620	355490.0000	201884.0495	153605.9505	0.7295	0.4321
w2_take2.0_stop0.0_atr3.5_dev-1.0	202512	107	68	62	-0.0751	-0.7260	0.2243	143883430.0000	226631749.6640	-691050.0000	-990813.3205	299763.3205	0.6349	0.4338
w2_take2.0_stop0.0_atr3.5_dev-1.0	202601	100	75	79	0.0894	-0.5949	0.5000	159508250.0000	213275056.4605	1554390.0000	1164440.2105	389949.7895	0.7479	0.2509
w2_take2.0_stop0.0_atr3.5_dev-1.0	202602	29	16	20	0.1871	-0.3454	0.5172	34273340.0000	62309735.0585	721880.0000	621470.9910	100409.0090	0.5500	0.1391
w2_take2.0_stop0.0_atr3.5_dev-1.0	202603	5	4	3	-0.7587	-5.4422	0.2000	8577300.0000	10536980.3100	-450200.0000	-463605.4600	13405.4600	0.8140	0.0298
w2_take2.0_stop0.0_atr3.5_dev-1.0	202604	24	15	15	0.0182	-0.6858	0.2917	31633500.0000	50766313.8050	127400.0000	54106.1500	73293.8500	0.6231	0.5753
w2_take2.0_stop0.0_atr3.5_dev-1.0	202605	17	12	14	0.0563	-1.3514	0.5294	25480700.0000	36404359.8350	193350.0000	124734.9275	68615.0725	0.6999	0.3549
w2_take2.0_stop0.0_atr3.5_dev-1.0	202608	2	2	0	0.0000	-0.6662	0.0000	3772000.0000	3772565.8000	0.0000	0.0000	0.0000	0.9999	
w2_take2.0_stop0.0_atr3.5_dev-1.0	202609	23	15	17	0.0171	-0.9328	0.3478	31754000.0000	48445165.6850	77350.0000	-4526.1025	81876.1025	0.6555	1.0585
w2_take2.0_stop0.0_atr4.0_dev-1.0	202509	69	46	39	-0.0005	-0.7138	0.3333	96281820.0000	143813908.8510	192070.0000	4475.8735	187594.1265	0.6695	0.9767
w2_take2.0_stop0.0_atr4.0_dev-1.0	202510	83	56	54	0.0687	-1.0256	0.4458	117189500.0000	173953489.1100	959830.0000	697590.3655	262239.6345	0.6737	0.2732
w2_take2.0_stop0.0_atr4.0_dev-1.0	202511	72	51	56	0.1004	-0.7422	0.5417	108941200.0000	153858525.3175	1201400.0000	924087.7400	277312.2600	0.7081	0.2308
w2_take2.0_stop0.0_atr4.0_dev-1.0	202512	134	84	79	-0.0792	-0.8134	0.2463	177386230.0000	283674204.7490	-947450.0000	-1328594.2705	381144.2705	0.6253	0.4023
w2_take2.0_stop0.0_atr4.0_dev-1.0	202601	119	91	95	0.1103	-0.5769	0.5294	192666350.0000	253031218.9905	2158090.0000	1690578.6255	467511.3745	0.7614	0.2166
