                          variant  buys  gross_pct  net_pct  net_per_buy  months_pos  months  net_total_man  deployed_avg_man
w2_take3.0_stop6.0_atr4.0_dev-1.0   390      0.560    0.329     6930.965           6      13        270.308           830.002
w2_take3.0_stop8.0_atr4.0_dev-1.0   387      0.543    0.312     6576.575           7      13        254.513           836.021
w2_take3.0_stop0.0_atr4.0_dev-1.0   386      0.536    0.305     6415.336           7      13        247.632           841.006
w2_take3.0_stop5.0_atr4.0_dev-1.0   401      0.505    0.274     5766.277           6      13        231.228           810.732
w2_take2.5_stop6.0_atr4.0_dev-1.0   413      0.503    0.272     5738.535           6      13        237.002           828.464
w2_take2.0_stop6.0_atr4.0_dev-1.0   463      0.491    0.260     5485.168           7      13        253.963           829.774
w2_take3.0_stop8.0_atr3.5_dev-1.0   270      0.490    0.258     5469.463           7      13        147.676           617.230
w2_take2.5_stop8.0_atr4.0_dev-1.0   410      0.487    0.256     5395.300           6      13        221.207           834.484
w2_take3.0_stop6.0_atr3.5_dev-1.0   271      0.486    0.255     5386.712           8      13        145.980           612.100
w2_take2.5_stop0.0_atr4.0_dev-1.0   409      0.480    0.249     5240.241           6      13        214.326           839.468
w2_take2.0_stop8.0_atr4.0_dev-1.0   459      0.475    0.244     5141.558           8      13        235.998           835.781
w2_take3.0_stop0.0_atr3.5_dev-1.0   270      0.469    0.238     5037.431           6      13        136.011           622.991
w2_take2.0_stop0.0_atr4.0_dev-1.0   458      0.468    0.237     5002.534           8      13        229.116           840.766
w2_take2.5_stop8.0_atr3.5_dev-1.0   280      0.443    0.212     4491.620           7      13        125.765           613.238
w2_take2.5_stop6.0_atr3.5_dev-1.0   281      0.440    0.209     4415.293           7      13        124.070           608.108
w2_take2.0_stop8.0_atr3.5_dev-1.0   312      0.431    0.200     4242.282           8      13        132.359           613.751
w2_take2.0_stop6.0_atr3.5_dev-1.0   313      0.428    0.197     4174.555           8      13        130.664           608.622
w2_take2.5_stop0.0_atr3.5_dev-1.0   280      0.423    0.193     4075.018           7      13        114.100           618.999
w2_take2.5_stop5.0_atr4.0_dev-1.0   424      0.423    0.192     4055.700           5      13        171.962           808.495
w2_take2.0_stop0.0_atr3.5_dev-1.0   312      0.413    0.183     3868.408           6      13        120.694           619.513
w2_take2.0_stop5.0_atr4.0_dev-1.0   478      0.412    0.182     3830.140           6      13        183.081           809.717
w2_take3.0_stop6.0_atr5.0_dev-1.0   696      0.411    0.180     3763.460          10      13        261.937          1323.800
w2_take3.0_stop5.0_atr3.5_dev-1.0   276      0.389    0.158     3342.082           7      13         92.241           601.306
w2_take2.5_stop6.0_atr5.0_dev-1.0   748      0.384    0.153     3188.882          10      13        238.528          1322.364
w2_take3.0_stop8.0_atr5.0_dev-1.0   689      0.378    0.147     3064.218           8      13        211.125          1343.227
w2_take3.0_stop0.0_atr5.0_dev-1.0   686      0.375    0.144     3008.846           9      13        206.407          1364.229
w2_take3.0_stop5.0_atr5.0_dev-1.0   720      0.375    0.144     3003.781           8      13        216.272          1299.911
w2_take2.0_stop6.0_atr5.0_dev-1.0   832      0.368    0.137     2866.886          10      13        238.525          1324.003
w2_take2.0_stop5.0_atr3.5_dev-1.0   320      0.366    0.135     2859.661           7      13         91.509           596.264
w2_take2.5_stop8.0_atr5.0_dev-1.0   742      0.351    0.120     2511.622           8      13        186.362          1341.805
w2_take2.5_stop0.0_atr5.0_dev-1.0   739      0.349    0.118     2471.750           7      13        182.662          1363.593
w2_take2.5_stop5.0_atr3.5_dev-1.0   285      0.345    0.114     2418.205           6      13         68.919           597.306
w2_take2.0_stop8.0_atr5.0_dev-1.0   825      0.334    0.104     2165.687           9      13        178.669          1343.444
w2_take2.0_stop0.0_atr5.0_dev-1.0   822      0.333    0.102     2128.579          10      13        174.969          1365.232
w2_take2.5_stop5.0_atr5.0_dev-1.0   773      0.332    0.102     2121.221           8      13        163.970          1297.831
w2_take2.0_stop5.0_atr5.0_dev-1.0   862      0.314    0.083     1732.043           9      13        149.302          1295.721
