variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w_take1.0_stop3.0_atr4.0_dev-1.0	202509	56	76	41	0.0618	-0.9004	0.5000	159380620.0000	117626661.3530	638950.0000	437904.4025	201045.5975	1.3550	0.3146
w_take1.0_stop3.0_atr4.0_dev-1.0	202510	72	103	71	0.0511	-1.1258	0.5972	215917400.0000	152506222.5025	822200.0000	476072.0150	346127.9850	1.4158	0.4210
w_take1.0_stop3.0_atr4.0_dev-1.0	202511	63	92	62	0.1171	-0.8019	0.6667	196087070.0000	135167812.1310	1259010.0000	951386.4245	307623.5755	1.4507	0.2443
w_take1.0_stop3.0_atr4.0_dev-1.0	202512	107	145	79	0.0595	-0.7955	0.4953	306342340.0000	226829999.3970	1207180.0000	819260.5260	387919.4740	1.3505	0.3213
w_take1.0_stop3.0_atr4.0_dev-1.0	202601	88	151	107	0.1317	-0.7380	0.6932	319624250.0000	187304841.5125	2015350.0000	1491001.8325	524348.1675	1.7064	0.2602
w_take1.0_stop3.0_atr4.0_dev-1.0	202602	35	54	35	0.0585	-1.1589	0.5429	114621190.0000	74036453.8025	427910.0000	255583.9425	172326.0575	1.5482	0.4027
w_take1.0_stop3.0_atr4.0_dev-1.0	202603	5	7	4	-0.2203	-3.1804	0.2000	14816400.0000	10739910.7450	-122100.0000	-141610.1250	19510.1250	1.3796	0.1598
w_take1.0_stop3.0_atr4.0_dev-1.0	202604	29	38	26	0.0237	-0.9960	0.4828	80662330.0000	61812280.4515	216130.0000	88338.9765	127791.0235	1.3050	0.5913
w_take1.0_stop3.0_atr4.0_dev-1.0	202605	25	45	38	0.1448	-1.3645	0.7200	93604300.0000	53325447.6175	643050.0000	459406.2425	183643.7575	1.7553	0.2856
w_take1.0_stop3.0_atr4.0_dev-1.0	202606	6	9	7	0.0387	-1.4258	0.5000	18530100.0000	12509476.1400	60500.0000	27517.8750	32982.1250	1.4813	0.5452
w_take1.0_stop3.0_atr4.0_dev-1.0	202608	6	10	6	0.1313	-0.9788	0.6667	20620200.0000	12273240.7100	132100.0000	102268.5750	29831.4250	1.6801	0.2258
w_take1.0_stop3.0_atr4.0_dev-1.0	202609	39	65	49	0.1517	-1.0933	0.7179	137632900.0000	83032402.9925	998700.0000	758751.4250	239948.5750	1.6576	0.2403
w_take1.0_stop3.0_atr4.0_dev-3.0	202509	59	83	48	0.0627	-0.8881	0.5254	174045320.0000	123952010.0130	705350.0000	470504.3625	234845.6375	1.4041	0.3329
w_take1.0_stop3.0_atr4.0_dev-3.0	202510	77	111	78	0.0556	-1.1436	0.6234	232713490.0000	163204817.0510	930550.0000	550557.1285	379992.8715	1.4259	0.4084
w_take1.0_stop3.0_atr4.0_dev-3.0	202511	66	97	65	0.1075	-0.8447	0.6515	206802130.0000	141589835.2900	1236500.0000	914077.2860	322422.7140	1.4606	0.2608
