                         variant  buys  gross_pct  net_pct  net_per_buy  months_pos  months  net_total_man  deployed_avg_man
w_take2.0_stop5.0_atr4.0_dev-1.0   478      0.412    0.182     3830.140           6      13        183.081           809.717
w_take2.0_stop5.0_atr4.0_dev-3.0   490      0.406    0.175     3686.300           6      13        180.629           824.095
 w_take2.0_stop5.0_atr4.0_dev0.0   456      0.397    0.166     3501.290           6      13        159.659           785.667
w_take2.0_stop4.0_atr4.0_dev-3.0   516      0.364    0.134     2814.664           6      13        145.237           818.223
w_take2.0_stop5.0_atr4.5_dev-1.0   669      0.361    0.130     2720.698           7      13        182.015          1064.863
w_take1.5_stop5.0_atr4.0_dev-1.0   545      0.360    0.129     2717.873           6      13        148.124           808.921
w_take2.0_stop4.0_atr4.0_dev-1.0   500      0.359    0.128     2708.966           6      13        135.448           802.889
w_take1.5_stop5.0_atr4.0_dev-3.0   560      0.358    0.127     2688.672           6      13        150.566           822.694
w_take2.0_stop5.0_atr4.5_dev-3.0   689      0.358    0.127     2664.856           7      13        183.609          1085.577
w_take2.0_stop3.0_atr4.0_dev-1.0   528      0.351    0.121     2541.157           5      13        134.173           792.656
 w_take1.5_stop5.0_atr4.0_dev0.0   520      0.349    0.118     2498.337           6      13        129.914           784.870
 w_take2.0_stop5.0_atr4.5_dev0.0   642      0.347    0.116     2435.873           7      13        156.383          1036.686
w_take2.0_stop3.0_atr4.0_dev-3.0   546      0.335    0.104     2187.889           6      13        119.459           813.317
w_take2.0_stop3.0_atr4.5_dev-1.0   744      0.333    0.102     2143.127           6      13        159.449          1041.758
w_take1.2_stop5.0_atr4.0_dev-1.0   636      0.332    0.101     2129.368           6      13        135.428           806.033
 w_take2.0_stop4.0_atr4.0_dev0.0   474      0.331    0.100     2109.780           6      13        100.004           775.628
w_take1.2_stop5.0_atr4.0_dev-3.0   652      0.330    0.100     2102.346           6      13        137.073           819.799
 w_take2.0_stop3.0_atr4.0_dev0.0   496      0.326    0.095     2003.828           5      13         99.390           757.697
w_take2.0_stop4.0_atr4.5_dev-3.0   727      0.324    0.094     1962.807           7      13        142.696          1073.098
w_take2.0_stop3.0_atr5.0_dev-1.0   962      0.324    0.094     1953.868           7      13        187.962          1268.049
w_take1.5_stop4.0_atr4.0_dev-3.0   591      0.321    0.090     1902.080           6      13        112.413           817.437
w_take2.0_stop3.0_atr4.5_dev-3.0   774      0.320    0.089     1862.602           7      13        144.165          1073.400
 w_take2.0_stop5.0_atr5.0_dev0.0   826      0.319    0.089     1850.488          10      13        152.850          1257.955
 w_take1.2_stop5.0_atr4.0_dev0.0   607      0.318    0.087     1845.224           6      13        112.005           781.922
w_take2.0_stop3.0_atr5.0_dev-3.0  1001      0.316    0.086     1786.284           8      13        178.807          1306.317
w_take2.0_stop4.0_atr4.5_dev-1.0   703      0.316    0.085     1786.403           7      13        125.584          1052.002
w_take1.5_stop4.0_atr4.0_dev-1.0   572      0.315    0.084     1775.684           6      13        101.569           802.082
w_take2.0_stop5.0_atr5.0_dev-1.0   862      0.314    0.083     1732.043           9      13        149.302          1295.721
 w_take2.0_stop3.0_atr5.0_dev0.0   902      0.310    0.079     1657.383           7      13        149.496          1211.386
w_take2.0_stop5.0_atr5.0_dev-3.0   887      0.310    0.079     1650.100           9      13        146.364          1320.035
w_take1.5_stop5.0_atr4.5_dev-3.0   792      0.304    0.073     1532.336           8      13        121.361          1081.361
w_take1.5_stop5.0_atr4.5_dev-1.0   768      0.303    0.072     1510.953           7      13        116.041          1061.235
w_take1.2_stop5.0_atr4.5_dev-1.0   890      0.300    0.070     1465.393           6      13        130.420          1056.222
 w_take2.0_stop3.0_atr4.5_dev0.0   697      0.298    0.068     1418.707           6      13         98.884           997.479
 w_take1.5_stop4.0_atr4.0_dev0.0   542      0.297    0.066     1401.655           6      13         75.970           774.051
w_take1.2_stop5.0_atr4.5_dev-3.0   920      0.295    0.065     1359.197           7      13        125.046          1077.104
w_take1.2_stop4.0_atr4.0_dev-3.0   685      0.294    0.063     1333.767           6      13         91.363           813.018
w_take1.0_stop5.0_atr4.0_dev-3.0   741      0.292    0.062     1304.579           6      13         96.669           814.263
w_take1.0_stop5.0_atr4.0_dev-1.0   722      0.292    0.061     1294.600           6      13         93.470           800.485
 w_take1.5_stop5.0_atr4.5_dev0.0   737      0.292    0.061     1277.890           7      13         94.181          1033.062
w_take2.0_stop4.0_atr5.0_dev-3.0   936      0.290    0.060     1247.497           9      13        116.766          1311.641
 w_take1.2_stop5.0_atr4.5_dev0.0   854      0.289    0.058     1223.414           7      13        104.480          1027.974
w_take1.2_stop4.0_atr4.0_dev-1.0   664      0.289    0.058     1226.848           6      13         81.463           797.663
 w_take1.0_stop5.0_atr4.0_dev0.0   691      0.289    0.058     1225.499           6      13         84.682           774.819
w_take1.5_stop4.0_atr4.5_dev-3.0   835      0.288    0.057     1194.707           8      13         99.758          1072.595
w_take2.0_stop4.0_atr5.0_dev-1.0   906      0.283    0.052     1085.667           9      13         98.361          1284.802
 w_take2.0_stop4.0_atr4.5_dev0.0   666      0.283    0.052     1088.594           7      13         72.500          1017.060
 w_take1.5_stop3.0_atr4.0_dev0.0   571      0.281    0.051     1073.718           6      13         61.309           754.503
w_take1.5_stop3.0_atr4.0_dev-1.0   607      0.281    0.051     1068.426           6      13         64.853           790.976
w_take1.5_stop4.0_atr4.5_dev-1.0   807      0.280    0.049     1025.507           7      13         82.758          1051.462
