variant	atr_max	dev_lo	dev_hi	days	buys	gross_pct	net_pct	net_per_buy	months_pos	months
take0.8	5	0	5	856	1559	0.06682878480528691	-0.1633148970835738	-3424.8184109685694	3	13
take0.8	5	0	99	1174	2157	0.06374446590821639	-0.1663925846945914	-3490.1466031525265	2	13
take0.8	5	-8	5	1005	1906	0.06256480909009081	-0.16756970525070755	-3503.6188044071355	2	13
take0.8	5	-99	5	1007	1911	0.06212182045548824	-0.16801174145974238	-3513.0866725274727	2	13
take0.8	3	0	99	314	501	0.06153110359512606	-0.16860118827760345	-3594.777468063872	2	10
take0.8	5	-8	99	1323	2504	0.06092306412535342	-0.16920792046347027	-3541.074984624601	3	13
take0.8	5	-5	5	997	1880	0.06062355461232551	-0.16950678603136346	-3542.882632287234	2	13
take0.8	5	-99	99	1325	2509	0.060589306571716094	-0.16954096043836533	-3548.2116187724196	3	13
take0.8	5	-5	99	1315	2478	0.059434101895615855	-0.17069368142442412	-3571.2565250201774	3	13
take0.8	5	-1	5	931	1721	0.0594180662980173	-0.17070968254590946	-3578.3103400348637	3	13
take0.8	5	-1	99	1249	2319	0.05846100588088441	-0.17166468528278775	-3599.4939264769296	2	13
take0.8	5	-3	5	985	1845	0.05714075443703068	-0.17298209818630397	-3619.875722872629	2	13
take0.8	5	-3	99	1303	2443	0.05678978473081709	-0.17333231330733148	-3629.809672124437	3	13
take0.8	3	-1	99	336	540	0.05514897333163518	-0.17496959696102782	-3729.8870685185184	1	10
take0.8	99	0	5	1630	3415	0.05403864341451712	-0.17607753966952744	-3665.462310746706	1	13
take0.8	4	0	99	739	1270	0.05397510175482287	-0.17614094471581299	-3722.3303152755902	1	12
take0.8	4	0	2	233	406	0.05303812463432779	-0.17707590733944095	-3756.68388866995	3	12
take0.8	3	-3	99	350	563	0.051385828433090676	-0.17872465109804045	-3809.962781527531	1	10
take0.8	3	-5	99	350	563	0.051385828433090676	-0.17872465109804045	-3809.962781527531	1	10
take0.8	3	-8	99	350	563	0.051385828433090676	-0.17872465109804045	-3809.962781527531	1	10
take0.8	3	-99	99	350	563	0.051385828433090676	-0.17872465109804045	-3809.962781527531	1	10
take0.8	5	0	2	323	592	0.04958911210639995	-0.18051750448864196	-3799.1268037162167	1	13
take0.8	99	0	99	2601	5462	0.0494903156329979	-0.18061608854693115	-3763.1101286342005	0	13
take0.8	5	-8	2	472	939	0.04721772950006057	-0.1828837886209133	-3820.754639297125	2	13
take0.8	4	-1	99	782	1350	0.04664872585455692	-0.1834515689077823	-3878.2623347407407	1	12
take0.8	5	-99	2	474	944	0.046403642424705946	-0.1836961254090421	-3838.2413096398304	2	13
take0.8	99	-1	5	1786	3787	0.04524891736677034	-0.18484836780810707	-3845.1533570372326	1	13
take0.8	3	0	5	266	413	0.045215598171241364	-0.1848816153648268	-3939.6902409200966	1	10
take0.8	4	0	5	582	984	0.0448611120674979	-0.18523533932585107	-3915.585170630082	1	12
take0.8	99	-1	99	2757	5834	0.04407839465136255	-0.18601637389960735	-3873.525796109017	0	13
take0.8	5	-5	2	464	913	0.04276685763523089	-0.18732509111130818	-3910.6358311062436	2	13
take0.8	4	-99	99	816	1418	0.04141276119205742	-0.18867627624617622	-3982.0316099435827	1	12
take0.8	4	-8	99	815	1414	0.04029270896179318	-0.18979392036415021	-4005.3576470297025	1	12
take0.8	4	-5	99	815	1414	0.04029270896179318	-0.18979392036415021	-4005.3576470297025	1	12
take0.8	99	-5	99	3033	6606	0.03903438463381516	-0.19104953929642135	-3975.2553076899785	1	13
take0.8	3	-1	5	288	452	0.03899202247103505	-0.1910918103772777	-4071.3441924778767	1	10
take0.8	99	-3	99	2946	6339	0.03859653045953672	-0.19148645208360343	-3986.446513251301	1	13
take0.8	99	-5	5	2062	4559	0.037733898857404836	-0.19234722902883272	-3997.3640779118227	1	13
take0.8	99	-8	99	3101	6812	0.037665417656533064	-0.1924155629946026	-4004.4912898708158	1	13
take0.8	4	-3	99	811	1400	0.03707340417394841	-0.19300630364671542	-4079.1735163571434	1	12
take0.8	99	-3	5	1975	4292	0.03700660891351586	-0.19307295529844903	-4015.2681071994407	1	13
take0.8	5	-1	2	398	754	0.03639210479231777	-0.1936861382361422	-4069.0494168435016	2	13
take0.8	4	-1	5	625	1064	0.03625775071467601	-0.19382020345158263	-4098.900807706767	1	12
take0.8	99	-99	99	3135	6909	0.03586155522086344	-0.19421554712564368	-4041.3736311767257	1	13
take0.8	99	-8	5	2130	4765	0.03583136553188504	-0.1942456719075417	-4038.203763945435	1	13
take0.8	3	-99	5	302	475	0.03531226858066053	-0.1947636527967879	-4149.721271578947	1	10
take0.8	3	-5	5	302	475	0.03531226858066053	-0.1947636527967879	-4149.721271578947	1	10
take0.8	3	-3	5	302	475	0.03531226858066053	-0.1947636527967879	-4149.721271578947	1	10
take0.8	3	-8	5	302	475	0.03531226858066053	-0.1947636527967879	-4149.721271578947	1	10
take0.8	5	-3	2	452	878	0.034783081552888055	-0.19529170207517177	-4087.086416628702	2	13
take0.8	99	-99	5	2164	4862	0.03330142715426047	-0.19677017091708984	-4089.941729000412	1	13
take0.8	4	-1	2	276	486	0.03292101602419657	-0.19714976416510296	-4184.173477983539	1	12
take0.8	4	-99	5	659	1132	0.030301756735211672	-0.19976339204386206	-4215.633507420494	0	12
take0.8	99	0	2	564	1221	0.029218680372064137	-0.20084413979466098	-4190.635933251433	2	13
take0.8	4	-8	5	658	1128	0.028857246400351748	-0.20120479668150967	-4245.702145744682	0	12
take0.8	4	-5	5	658	1128	0.028857246400351748	-0.20120479668150967	-4245.702145744682	0	12
take0.8	4	-3	5	654	1114	0.02469027447429927	-0.20536280961794356	-4341.489434829443	0	12
stop1.5	3	0	99	314	401	0.021501972835848787	-0.20854425640574828	-4444.053349127183	1	10
take0.8	4	-99	2	310	554	0.021157748566190477	-0.20888774059749965	-4412.229208122744	1	12
stop1.5	5	-8	99	1323	1936	0.02093305549147602	-0.2091119505778306	-4371.421878202479	3	13
stop1.5	5	-5	99	1315	1921	0.02083663652556022	-0.20920816224296973	-4372.575841332638	2	13
stop1.5	5	-99	99	1325	1938	0.018714396925041774	-0.21132583902834706	-4417.7607307533535	3	13
take0.8	4	-5	2	309	550	0.018129673929439784	-0.21190930487381315	-4475.327038727273	1	12
take0.8	4	-8	2	309	550	0.018129673929439784	-0.21190930487381315	-4475.327038727273	1	12
stop1.5	5	0	99	1174	1670	0.01797675667661055	-0.21206189335024414	-4444.661816586826	2	13
stop1.5	3	-1	99	336	433	0.017293833936198134	-0.21274334780676468	-4532.0213741339485	1	10
l0_live	3	0	99	314	401	0.017069107204946685	-0.21296759137554394	-4538.3140922693265	1	10
stop1.5	5	-8	5	1005	1473	0.01625629636000033	-0.2137786546771737	-4464.693281670061	2	13
stop1.5	5	-5	5	997	1458	0.016079744336723135	-0.21395482711360084	-4467.173277709191	2	13
l0_live	5	0	99	1174	1676	0.016061481673027934	-0.21397305051256907	-4484.945507279236	2	13
stop1.5	5	-1	99	1249	1796	0.0159466101151291	-0.21408767509661844	-4485.373443596883	2	13
stop1.5	3	-3	99	350	452	0.015552132803250962	-0.21448130428227602	-4569.375853982301	1	10
stop1.5	3	-5	99	350	452	0.015552132803250962	-0.21448130428227602	-4569.375853982301	1	10
stop1.5	3	-8	99	350	452	0.015552132803250962	-0.21448130428227602	-4569.375853982301	1	10
stop1.5	3	-99	99	350	452	0.015552132803250962	-0.21448130428227602	-4569.375853982301	1	10
stop1.5	5	-3	99	1303	1893	0.015368802284110208	-0.2146642406408006	-4490.506260538827	2	13
l0_live	5	0	5	856	1211	0.014250134089067345	-0.21578050369922414	-4522.123109744012	3	13
take0.8	99	-1	2	720	1593	0.014089991581061232	-0.21594030190837699	-4495.171654990584	2	13
stop1.5	99	0	99	2601	4210	0.01385119772794489	-0.21617858234489	-4503.900384465558	0	13
stop1.5	99	0	5	1630	2619	0.013533853943686322	-0.21649524383770646	-4506.152572699503	1	13
stop1.5	5	-8	2	472	732	0.013467424165703753	-0.21656153079625248	-4515.252534153005	2	13
stop1.5	5	-99	5	1007	1475	0.013344851360087725	-0.21668384007033645	-4525.45135179661	2	13
stop1.5	5	-5	2	464	717	0.013047694705469175	-0.21698035783814762	-4521.3532635983265	2	13
l0_live	5	-8	99	1323	1941	0.012571093159205914	-0.21745593469108637	-4546.002925141679	3	13
l0_live	5	-5	99	1315	1926	0.012475228628135637	-0.21755159311341488	-4547.11470285566	2	13
l0_live	5	0	2	323	470	0.012384203195122399	-0.21764242284174712	-4574.152088297873	1	13
l0_live	3	-1	99	336	433	0.011374555269470338	-0.218649900024359	-4657.8472632794455	1	10
stop1.5	5	0	5	856	1207	0.011153977168551535	-0.21887000388236083	-4586.5830003314	3	13
l0_live	5	-1	99	1249	1802	0.010832848414766776	-0.219190442209325	-4592.504513706992	2	13
l0_live	3	-3	99	350	452	0.010536320741305037	-0.2194863323482888	-4676.004515486726	0	10
l0_live	3	-5	99	350	452	0.010536320741305037	-0.2194863323482888	-4676.004515486726	0	10
l0_live	3	-99	99	350	452	0.010536320741305037	-0.2194863323482888	-4676.004515486726	0	10
l0_live	3	-8	99	350	452	0.010536320741305037	-0.2194863323482888	-4676.004515486726	0	10
stop1.5	99	-1	99	2757	4499	0.010344675477139641	-0.21967756557406873	-4574.096294332074	0	13
l0_live	5	-99	99	1325	1943	0.01006412622073081	-0.21995751165064373	-4598.3596359752955	3	13
l0_live	5	-8	5	1005	1476	0.009975846982380054	-0.22004560108863205	-4595.741255691057	2	13
l0_live	5	-5	5	997	1461	0.009821994329907408	-0.22019912295790195	-4597.717545106092	2	13
take0.8	99	-5	2	996	2365	0.009725588968309183	-0.2202953210561143	-4576.404023044397	2	13
take0.8	4	-3	2	305	536	0.009256210693196813	-0.2207636901641935	-4680.405002425373	1	12
stop1.5	5	-1	5	931	1333	0.009059667528224773	-0.22095981075696086	-4628.020369392348	2	13
l0_live	99	0	99	2601	4262	0.00887291055581537	-0.22114616619906421	-4607.495322806194	0	13
stop1.5	5	-3	5	985	1430	0.008748314860257756	-0.2212704940166918	-4625.13902020979	2	13
