variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
live_from0000	202509	136	177	177	-0.1044	-1.1015	0.3162	372512590.0000	285605754.4380	-896835.0000	-1751685.7618	854850.7618	1.3043	0.9532
live_from0000	202510	223	374	374	-0.0247	-1.0568	0.4350	793427760.0000	474295608.6712	1125280.0000	-702023.2000	1827303.2000	1.6729	1.6239
live_from0000	202511	373	596	596	-0.1114	-1.6166	0.3351	1248749161.0000	784439782.3201	-2338138.0000	-5205234.0736	2867096.0736	1.5919	1.2262
live_from0000	202512	404	578	578	-0.0553	-0.9518	0.3911	1208546390.0000	848467461.0315	57665.0000	-2722115.6767	2779780.6767	1.4244	48.2057
live_from0000	202601	326	575	575	-0.0052	-1.0325	0.5092	1203978810.0000	684759198.4750	2605060.0000	-169692.1420	2774752.1420	1.7583	1.0651
live_from0000	202602	246	422	422	-0.0402	-1.2290	0.4187	871772250.0000	511600428.5550	752775.0000	-1253919.6413	2006694.6413	1.7040	2.6657
live_from0000	202603	318	651	651	-0.1527	-2.2073	0.2390	1349316272.0000	661342854.5502	-2853223.0000	-5950515.9961	3097292.9961	2.0403	1.0855
live_from0000	202604	190	306	306	-0.0426	-1.1665	0.4421	634180600.0000	395994920.3295	457845.0000	-1001754.7467	1459599.7467	1.6015	3.1880
live_from0000	202605	275	488	488	-0.1212	-2.0525	0.3418	1008000486.0000	569738868.0130	-1774596.0000	-4089181.7364	2314585.7364	1.7692	1.3043
live_from0000	202606	184	374	374	-0.1170	-2.2305	0.3043	760960065.0000	377809632.9455	-902395.0000	-2650663.0002	1748268.0002	2.0141	1.9374
live_from0000	202607	89	197	197	-0.0644	-2.1739	0.4045	411461795.0000	187192899.7237	256205.0000	-690707.9692	946912.9692	2.1981	3.6959
live_from0000	202608	128	233	233	-0.0018	-1.0604	0.5156	477500285.0000	263936399.5222	1078810.0000	-21760.0970	1100570.0970	1.8091	1.0202
live_from0000	202609	243	439	439	-0.0288	-1.3287	0.4403	915819760.0000	509441584.7770	1269400.0000	-839714.6580	2109114.6580	1.7977	1.6615
live_from0930	202509	135	177	177	-0.1041	-0.9815	0.3111	372238160.0000	283183061.0885	-880660.0000	-1734914.3490	854254.3490	1.3145	0.9700
live_from0930	202510	223	356	356	-0.0369	-1.0204	0.4170	754483265.0000	473828318.5882	686740.0000	-1050048.0005	1736788.0005	1.5923	2.5290
live_from0930	202511	373	594	594	-0.0915	-1.4742	0.3566	1245617182.0000	784602333.6991	-1395468.0000	-4257387.2624	2861919.2624	1.5876	2.0509
live_from0930	202512	403	548	548	-0.0629	-0.8929	0.3672	1146517262.0000	845099177.8648	-463467.0000	-3099460.2486	2635993.2486	1.3567	5.6876
