variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
l0_live	202509	136	177	177	-0.1044	-1.1015	0.3162	372512590.0000	285605754.4380	-896835.0000	-1751685.7618	854850.7618	1.3043	0.9532
l0_live	202510	223	374	374	-0.0247	-1.0568	0.4350	793427760.0000	474295608.6712	1125280.0000	-702023.2000	1827303.2000	1.6729	1.6239
l0_live	202511	373	596	596	-0.1114	-1.6166	0.3351	1248749161.0000	784439782.3201	-2338138.0000	-5205234.0736	2867096.0736	1.5919	1.2262
l0_live	202512	404	578	578	-0.0553	-0.9518	0.3911	1208546390.0000	848467461.0315	57665.0000	-2722115.6767	2779780.6767	1.4244	48.2057
l0_live	202601	326	575	575	-0.0052	-1.0325	0.5092	1203978810.0000	684759198.4750	2605060.0000	-169692.1420	2774752.1420	1.7583	1.0651
l0_live	202602	246	422	422	-0.0402	-1.2290	0.4187	871772250.0000	511600428.5550	752775.0000	-1253919.6413	2006694.6413	1.7040	2.6657
l0_live	202603	318	651	651	-0.1527	-2.2073	0.2390	1349316272.0000	661342854.5502	-2853223.0000	-5950515.9961	3097292.9961	2.0403	1.0855
l0_live	202604	190	306	306	-0.0426	-1.1665	0.4421	634180600.0000	395994920.3295	457845.0000	-1001754.7467	1459599.7467	1.6015	3.1880
l0_live	202605	275	488	488	-0.1212	-2.0525	0.3418	1008000486.0000	569738868.0130	-1774596.0000	-4089181.7364	2314585.7364	1.7692	1.3043
l0_live	202606	184	374	374	-0.1170	-2.2305	0.3043	760960065.0000	377809632.9455	-902395.0000	-2650663.0002	1748268.0002	2.0141	1.9374
l0_live	202607	89	197	197	-0.0644	-2.1739	0.4045	411461795.0000	187192899.7237	256205.0000	-690707.9692	946912.9692	2.1981	3.6959
l0_live	202608	128	233	233	-0.0018	-1.0604	0.5156	477500285.0000	263936399.5222	1078810.0000	-21760.0970	1100570.0970	1.8091	1.0202
l0_live	202609	243	439	439	-0.0288	-1.3287	0.4403	915819760.0000	509441584.7770	1269400.0000	-839714.6580	2109114.6580	1.7977	1.6615
old_09-04	202509	136	136	144	-0.1158	-1.0519	0.2647	285255090.0000	285297878.2635	-1304060.0000	-1957342.9780	653282.9780	0.9999	0.5010
old_09-04	202510	223	224	237	-0.0511	-0.8075	0.4260	474881710.0000	472779016.2165	-386655.0000	-1478051.6247	1091396.6247	1.0044	2.8227
old_09-04	202511	373	377	411	-0.0903	-1.4760	0.3539	789752942.0000	781472995.3688	-2397242.0000	-4208519.6963	1811277.6963	1.0106	0.7556
old_09-04	202512	404	408	433	-0.0574	-0.7253	0.3564	853827010.0000	846647438.0690	-898905.0000	-2860774.4773	1961869.4773	1.0085	2.1825
old_09-04	202601	326	334	380	0.0006	-0.8430	0.4785	699039850.0000	682353517.6770	1650305.0000	38965.1893	1611339.8107	1.0245	0.9764
old_09-04	202602	246	247	272	-0.0148	-0.8384	0.4593	511175560.0000	509251036.1990	682175.0000	-494995.4643	1177170.4643	1.0038	1.7256
old_09-04	202603	318	344	478	-0.2356	-2.9165	0.3333	710767944.0000	658255907.5776	-7732674.0000	-9350815.0221	1618141.0221	1.0798	0.2093
old_09-04	202604	190	193	213	-0.0621	-1.0005	0.4158	400904120.0000	394652228.9560	-480265.0000	-1401311.9062	921046.9062	1.0158	1.9178
old_09-04	202605	275	282	342	-0.0865	-1.9832	0.4036	580748346.0000	567313730.2969	-1567136.0000	-2899487.8534	1332351.8534	1.0237	0.8502
old_09-04	202606	184	208	271	-0.0840	-2.7743	0.4293	421655470.0000	375479963.5475	-1073560.0000	-2041059.4270	967499.4270	1.1230	0.9012
old_09-04	202607	89	95	128	-0.1481	-2.5463	0.4157	198788515.0000	186152663.7118	-1204775.0000	-1659398.3183	454623.3183	1.0679	0.3774
old_09-04	202608	128	129	141	0.0309	-0.8457	0.4844	264964115.0000	262902144.4072	1105570.0000	493775.5600	611794.4400	1.0078	0.5534
old_09-04	202609	243	245	255	-0.0148	-0.9158	0.4403	511031310.0000	506997548.2265	739860.0000	-437102.7120	1176962.7120	1.0080	1.5908
stop0.0	202509	136	177	177	-0.1090	-1.1015	0.3162	372512590.0000	285605754.4380	-982125.0000	-1836792.3883	854667.3883	1.3043	0.8702
stop0.0	202510	223	375	375	-0.0465	-1.0568	0.4395	795515960.0000	474290807.9513	511050.0000	-1319735.4655	1830785.4655	1.6773	3.5824
stop0.0	202511	373	636	636	-0.0921	-1.6166	0.3968	1333782868.0000	784222677.7593	-1210860.0000	-4275957.2474	3065097.2474	1.7008	2.5313
stop0.0	202512	404	578	578	-0.0608	-0.9518	0.3911	1208406890.0000	848481463.1315	-242790.0000	-3021603.8485	2778813.8485	1.4242	11.4453
stop0.0	202601	326	581	581	-0.0060	-1.0325	0.5337	1216909950.0000	684774470.7655	2596535.0000	-207940.4352	2804475.4352	1.7771	1.0801
stop0.0	202602	246	430	430	-0.0416	-1.2290	0.4553	888479950.0000	511824112.1025	759660.0000	-1285477.1540	2045137.1540	1.7359	2.6922
stop0.0	202603	318	731	731	-0.2856	-3.2318	0.3365	1517594846.0000	661671005.7655	-7797231.0000	-11270935.0991	3473704.0991	2.2936	0.4455
stop0.0	202604	190	313	313	-0.0565	-1.1665	0.4421	649008045.0000	395793550.1285	217165.0000	-1276020.4082	1493185.4082	1.6398	6.8758
stop0.0	202605	275	506	506	-0.0996	-2.2406	0.4291	1045861101.0000	569925546.0105	-940106.0000	-3343565.3044	2403459.3044	1.8351	2.5566
stop0.0	202606	184	416	416	-0.1390	-3.3198	0.4348	845932065.0000	378153664.5425	-1233205.0000	-3176197.3588	1942992.3588	2.2370	1.5756
stop0.0	202607	89	219	219	-0.1010	-2.6774	0.4944	456458845.0000	187316388.2442	-90525.0000	-1140185.7147	1049660.7147	2.4368	11.5953
stop0.0	202608	128	237	237	0.0226	-1.0604	0.5391	486081485.0000	263952701.9672	1481380.0000	360207.6175	1121172.3825	1.8415	0.7568
stop0.0	202609	243	443	443	-0.0283	-1.3287	0.4650	924406030.0000	509549180.9140	1297210.0000	-831712.8705	2128922.8705	1.8142	1.6412
stop1.5	202509	136	177	177	-0.0972	-1.1015	0.3015	372512590.0000	285605754.4380	-773480.0000	-1628595.9750	855115.9750	1.3043	1.1055
stop1.5	202510	223	374	374	-0.0203	-1.0568	0.4350	793430360.0000	474286607.3213	1248335.0000	-579238.7483	1827573.7483	1.6729	1.4640
stop1.5	202511	373	583	583	-0.1081	-1.5251	0.3110	1221211061.0000	784381135.5244	-2234603.0000	-5038584.0439	2803981.0439	1.5569	1.2548
