variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
n1000만	202509	73	92	45	0.0543	-0.9685	0.3973	451964380.0000	358715329.2295	1700000.0000	1183915.3500	516084.6500	1.2600	0.3036
n1000만	202510	97	134	89	0.0867	-1.1436	0.5773	658015730.0000	477703174.7295	3521700.0000	2507828.9410	1013871.0590	1.3775	0.2879
n1000만	202511	125	174	106	0.0928	-1.1364	0.5520	858445420.0000	618147888.2770	4658240.0000	3447046.5870	1211193.4130	1.3887	0.2600
n1000만	202512	144	185	97	0.0402	-0.9540	0.4444	906231320.0000	706548016.3075	2843310.0000	1743086.5615	1100223.4385	1.2826	0.3870
n1000만	202601	148	235	169	0.1006	-0.8772	0.6351	1151518500.0000	727384291.2800	6410500.0000	4493861.9900	1916638.0100	1.5831	0.2990
n1000만	202602	85	125	80	0.0628	-1.2152	0.4941	616817070.0000	420541291.7330	2515990.0000	1601502.5855	914487.4145	1.4667	0.3635
n1000만	202603	23	35	26	-0.1922	-3.1097	0.3043	172029220.0000	113268007.6530	-994950.0000	-1286608.3725	291658.3725	1.5188	0.2931
n1000만	202604	54	75	45	0.0513	-0.8364	0.5000	368346955.0000	265328388.2893	1372520.0000	860393.3800	512126.6200	1.3883	0.3731
n1000만	202605	57	89	73	0.0687	-1.5478	0.5789	434262200.0000	281622737.0750	1965550.0000	1142035.0875	823514.9125	1.5420	0.4190
n1000만	202606	8	10	6	-0.0551	-2.4255	0.3750	49087500.0000	39373105.0800	-57900.0000	-125778.0050	67878.0050	1.2467	1.1723
n1000만	202607	2	6	4	0.3322	-1.5903	1.0000	29948980.0000	9996539.2560	245680.0000	199241.7640	46438.2360	2.9959	0.1890
n1000만	202608	45	64	41	0.1159	-1.2956	0.5778	316849950.0000	223159018.8325	2047150.0000	1575067.2025	472082.7975	1.4198	0.2306
n1000만	202609	74	119	85	0.1458	-1.0049	0.6351	584839000.0000	365322390.1400	4172300.0000	3201425.1650	970874.8350	1.6009	0.2327
n1500만	202509	73	92	45	0.0545	-0.9685	0.3973	680655460.0000	540233582.8840	2553000.0000	1777407.8000	775592.2000	1.2599	0.3038
n1500만	202510	97	134	89	0.0871	-1.1436	0.5773	994830210.0000	722151656.5025	5319500.0000	3787926.6740	1531573.3260	1.3776	0.2879
n1500만	202511	125	174	106	0.0929	-1.1364	0.5520	1293572070.0000	930902524.4365	7013340.0000	5187668.0610	1825671.9390	1.3896	0.2603
n1500만	202512	144	185	97	0.0399	-0.9540	0.4444	1371860050.0000	1069935146.2020	4244810.0000	2581030.2165	1663779.7835	1.2822	0.3920
n1500만	202601	148	235	169	0.1016	-0.8772	0.6351	1742496400.0000	1099773441.2750	9670400.0000	6770583.8700	2899816.1300	1.5844	0.2999
n1500만	202602	85	125	80	0.0623	-1.2152	0.4941	928349700.0000	631924494.4580	3754900.0000	2379203.7940	1375696.2060	1.4691	0.3664
n1500만	202603	23	35	26	-0.1916	-3.1097	0.3043	259104990.0000	170600176.1885	-1507350.0000	-1946328.0125	438978.0125	1.5188	0.2912
n1500만	202604	54	75	45	0.0513	-0.8364	0.5000	555693025.0000	400484688.6938	2040100.0000	1268283.0200	771816.9800	1.3876	0.3783
n1500만	202605	57	89	73	0.0692	-1.5478	0.5789	658606900.0000	424641536.6775	2989650.0000	1740191.2775	1249458.7225	1.5510	0.4179
n1500만	202606	8	10	6	-0.0542	-2.4255	0.3750	74311700.0000	59411410.3750	-89200.0000	-191204.1200	102004.1200	1.2508	1.1435
n1500만	202607	2	6	4	0.3325	-1.5903	1.0000	44962030.0000	14997259.2515	368990.0000	299242.9475	69747.0525	2.9980	0.1890
n1500만	202608	45	64	41	0.1160	-1.2956	0.5778	473167500.0000	332066002.4300	3109000.0000	2402303.8650	706696.1350	1.4249	0.2273
n1500만	202609	74	119	85	0.1457	-1.0049	0.6351	880676890.0000	549924116.2460	6286000.0000	4824067.4600	1461932.5400	1.6015	0.2326
n435만	202509	73	92	45	0.0543	-0.9685	0.3973	192309420.0000	152751629.3080	730100.0000	509103.1550	220996.8450	1.2590	0.3027
n435만	202510	97	134	89	0.0865	-1.1436	0.5773	281327970.0000	205282787.8000	1503210.0000	1069578.2475	433631.7525	1.3704	0.2885
n435만	202511	125	174	106	0.0929	-1.1364	0.5520	365945042.0000	264457262.6400	2014468.0000	1497854.9222	516613.0778	1.3838	0.2565
n435만	202512	144	185	97	0.0404	-0.9540	0.4444	385253720.0000	301697317.8105	1237290.0000	770338.8085	466951.1915	1.2770	0.3774
n435만	202601	148	235	169	0.1002	-0.8772	0.6351	488933850.0000	309131862.8250	2720950.0000	1910345.1375	810604.8625	1.5816	0.2979
n435만	202602	85	125	80	0.0618	-1.2152	0.4941	262770460.0000	179215808.3395	1062700.0000	673152.8330	389547.1670	1.4662	0.3666
n435만	202603	23	35	26	-0.1895	-3.1097	0.3043	73224770.0000	48468239.1455	-424750.0000	-548461.4825	123711.4825	1.5108	0.2913
n435만	202604	54	75	45	0.0508	-0.8364	0.5000	156337430.0000	112797327.0615	594340.0000	376176.5850	218163.4150	1.3860	0.3671
n435만	202605	57	89	73	0.0685	-1.5478	0.5789	183666950.0000	120462716.6975	818950.0000	470344.5425	348605.4575	1.5247	0.4257
n435만	202606	8	10	6	-0.0553	-2.4255	0.3750	20901000.0000	16654197.7550	-23900.0000	-52587.8050	28687.8050	1.2550	1.2003
n435만	202607	2	6	4	0.3316	-1.5903	1.0000	12989450.0000	4336470.3730	106520.0000	86385.6320	20134.3680	2.9954	0.1890
n435만	202608	45	64	41	0.1151	-1.2956	0.5778	134706250.0000	94661097.0350	894700.0000	693051.7550	201648.2450	1.4230	0.2254
n435만	202609	74	119	85	0.1452	-1.0049	0.6351	248977650.0000	155962040.7975	1780050.0000	1366751.9375	413298.0625	1.5964	0.2322
n700만	202509	73	92	45	0.0542	-0.9685	0.3973	313304860.0000	248533984.5065	1175950.0000	817778.1125	358171.8875	1.2606	0.3046
n700만	202510	97	134	89	0.0866	-1.1436	0.5773	458136600.0000	333438578.2855	2446300.0000	1740885.1730	705414.8270	1.3740	0.2884
n700만	202511	125	174	106	0.0928	-1.1364	0.5520	598282762.0000	431066312.2493	3253398.0000	2409715.9517	843682.0483	1.3879	0.2593
n700만	202512	144	185	97	0.0394	-0.9540	0.4444	630855860.0000	493486211.8300	1943830.0000	1177565.0855	766264.9145	1.2784	0.3942
n700만	202601	148	235	169	0.1006	-0.8772	0.6351	798038850.0000	503497063.2325	4483000.0000	3155174.9700	1327825.0300	1.5850	0.2962
n700만	202602	85	125	80	0.0625	-1.2152	0.4941	428677610.0000	292274784.6425	1748180.0000	1111876.2410	636303.7590	1.4667	0.3640
n700만	202603	23	35	26	-0.1937	-3.1097	0.3043	119444920.0000	78641114.3980	-694100.0000	-896169.5300	202069.5300	1.5189	0.2911
n700만	202604	54	75	45	0.0508	-0.8364	0.5000	256429690.0000	184860224.8750	955530.0000	598911.2675	356618.7325	1.3872	0.3732
n700만	202605	57	89	73	0.0687	-1.5478	0.5789	301983150.0000	196122814.0100	1355550.0000	782622.0825	572927.9175	1.5398	0.4227
n700만	202606	8	10	6	-0.0553	-2.4255	0.3750	34186500.0000	27542530.7600	-41500.0000	-88898.6450	47398.6450	1.2412	1.1421
n700만	202607	2	6	4	0.3327	-1.5903	1.0000	20926740.0000	6977886.5260	171800.0000	139326.2180	32473.7820	2.9990	0.1890
n700만	202608	45	64	41	0.1160	-1.2956	0.5778	220496550.0000	155547978.6975	1438400.0000	1109392.9550	329007.0450	1.4175	0.2287
n700만	202609	74	119	85	0.1457	-1.0049	0.6351	408172180.0000	254789192.6470	2918150.0000	2240203.2975	677946.7025	1.6020	0.2323
