variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
l0_live	202609	243	439	439	-0.0288	-1.3287	0.4403	915819760.0000	509441584.7770	1269400.0000	-839714.6580	2109114.6580	1.7977	1.6615
old_09-04	202609	243	245	255	-0.0148	-0.9158	0.4403	511031310.0000	506997548.2265	739860.0000	-437102.7120	1176962.7120	1.0080	1.5908
stop0.0	202609	243	443	443	-0.0283	-1.3287	0.4650	924406030.0000	509549180.9140	1297210.0000	-831712.8705	2128922.8705	1.8142	1.6412
stop1.5	202609	243	429	429	-0.0387	-1.3287	0.4198	895512290.0000	509331138.2125	935110.0000	-1126578.7535	2061688.7535	1.7582	2.2048
stop2.5	202609	243	443	443	-0.0269	-1.3287	0.4609	924362380.0000	509445365.3440	1352380.0000	-776561.0910	2128941.0910	1.8144	1.5742
stop3.0	202609	243	443	443	-0.0310	-1.3287	0.4650	924427380.0000	509488371.7940	1215620.0000	-913176.5570	2128796.5570	1.8144	1.7512
take0.8	202609	243	566	566	-0.0394	-1.3672	0.4074	1180135270.0000	509914975.7750	1540450.0000	-1177173.0885	2717623.0885	2.3144	1.7642
take1.0	202609	243	484	484	-0.0358	-1.3353	0.4362	1009350560.0000	509663848.1115	1263240.0000	-1060982.2540	2324222.2540	1.9804	1.8399
take1.5	202609	243	388	388	-0.0236	-1.2278	0.4362	809285710.0000	509065168.3230	1189470.0000	-674444.4935	1863914.4935	1.5897	1.5670
take2.0	202609	243	334	334	-0.0204	-1.1254	0.4321	695463340.0000	508667168.6320	1019980.0000	-581778.6390	1601758.6390	1.3672	1.5704
take3.0	202609	243	283	283	-0.0198	-1.0211	0.4362	589528130.0000	507892422.4375	799090.0000	-558542.7425	1357632.7425	1.1607	1.6990
trail_arm0.7_t0.7	202609	243	276	276	-0.0175	-0.4502	0.4280	575024960.0000	507699133.4485	811720.0000	-512582.6060	1324302.6060	1.1326	1.6315
trail_arm1.0_t0.7	202609	243	274	274	-0.0188	-0.6598	0.5185	570972440.0000	507676390.0375	766060.0000	-548823.6410	1314883.6410	1.1247	1.7164
trail_arm1.0_t1.0	202609	243	274	274	-0.0181	-0.6849	0.4321	571489700.0000	507565273.3725	794180.0000	-521953.7970	1316133.7970	1.1259	1.6572
trail_arm1.0_t1.0_take1.2	202609	243	426	426	-0.0318	-1.1173	0.3951	888769630.0000	509383276.0320	1109560.0000	-936995.7030	2046555.7030	1.7448	1.8445
trail_arm1.0_t1.0_take2.0	202609	243	319	319	-0.0208	-0.7947	0.4074	664469810.0000	508315315.8620	920030.0000	-610228.6275	1530258.6275	1.3072	1.6633
trail_arm1.5_t1.0	202609	243	273	273	-0.0081	-0.8083	0.5267	569647050.0000	507604279.2225	1107140.0000	-205428.5660	1312568.5660	1.1222	1.1855
trail_arm2.0_t1.0	202609	243	274	274	-0.0187	-0.9146	0.4815	571688050.0000	507655286.8725	783140.0000	-533426.2660	1316566.2660	1.1261	1.6811
